sub,eye,measure,window,compare,cond,value
sub001,open,vis,stim500pre,accuracy,correct,1.52
sub001,open,vis,stim500pre,accuracy,incorrect,0.412
sub001,open,vis,stim500pre,accuracy_e,correct_e,0.701
sub001,open,vis,stim500pre,accuracy_e,incorrect_e,0.412
sub001,open,vis,stim500pre,rt,fast,1.506
sub001,open,vis,stim500pre,rt,slow,1.552
sub001,open,lat,stim500pre,accuracy,correct,0.077
sub001,open,lat,stim500pre,accuracy,incorrect,-0.08
sub001,open,lat,stim500pre,accuracy_e,correct_e,0.211
sub001,open,lat,stim500pre,accuracy_e,incorrect_e,-0.08
sub001,open,lat,stim500pre,rt,fast,0.132
sub001,open,lat,stim500pre,rt,slow,0.016
sub001,open,bal_ip_v,stim500pre,accuracy,correct,0.257
sub001,open,bal_ip_v,stim500pre,accuracy,incorrect,0.445
sub001,open,bal_ip_v,stim500pre,accuracy_e,correct_e,0.226
sub001,open,bal_ip_v,stim500pre,accuracy_e,incorrect_e,0.445
sub001,open,bal_ip_v,stim500pre,rt,fast,0.176
sub001,open,bal_ip_v,stim500pre,rt,slow,0.334
sub001,open,bal_ip_i,stim500pre,accuracy,correct,-0.035
sub001,open,bal_ip_i,stim500pre,accuracy,incorrect,0.184
sub001,open,bal_ip_i,stim500pre,accuracy_e,correct_e,-0.142
sub001,open,bal_ip_i,stim500pre,accuracy_e,incorrect_e,0.184
sub001,open,bal_ip_i,stim500pre,rt,fast,-0.11
sub001,open,bal_ip_i,stim500pre,rt,slow,0.044
sub001,closed,vis,stim500pre,accuracy,correct,0.558
sub001,closed,vis,stim500pre,accuracy,incorrect,-0.065
sub001,closed,vis,stim500pre,accuracy_e,correct_e,0.473
sub001,closed,vis,stim500pre,accuracy_e,incorrect_e,-0.065
sub001,closed,vis,stim500pre,rt,fast,0.7
sub001,closed,vis,stim500pre,rt,slow,0.416
sub001,closed,lat,stim500pre,accuracy,correct,0.021
sub001,closed,lat,stim500pre,accuracy,incorrect,0.054
sub001,closed,lat,stim500pre,accuracy_e,correct_e,0.087
sub001,closed,lat,stim500pre,accuracy_e,incorrect_e,0.054
sub001,closed,lat,stim500pre,rt,fast,0.049
sub001,closed,lat,stim500pre,rt,slow,-0.001
sub001,closed,bal_ip_v,stim500pre,accuracy,correct,0.035
sub001,closed,bal_ip_v,stim500pre,accuracy,incorrect,0.038
sub001,closed,bal_ip_v,stim500pre,accuracy_e,correct_e,-0.018
sub001,closed,bal_ip_v,stim500pre,accuracy_e,incorrect_e,0.038
sub001,closed,bal_ip_v,stim500pre,rt,fast,0.017
sub001,closed,bal_ip_v,stim500pre,rt,slow,0.057
sub001,closed,bal_ip_i,stim500pre,accuracy,correct,-0.074
