sub,eye,roi,window,compare,cond,value
sub001,open,contra with V1d,stim500pre,accuracy,correct,0.208897337522002
sub001,open,contra with V1d,stim500pre,accuracy,incorrect,0.509536604252736
sub001,open,contra with V1d,stim500pre,accuracy_e,correct_e,0.236347450522875
sub001,open,contra with V1d,stim500pre,accuracy_e,incorrect_e,0.509536604252736
sub001,open,contra with V1d,stim500pre,rt,fast,0.172573823561402
sub001,open,contra with V1d,stim500pre,rt,slow,0.242312156785123
sub001,open,contra with V1v,stim500pre,accuracy,correct,0.286530682971861
sub001,open,contra with V1v,stim500pre,accuracy,incorrect,0.513296530225679
sub001,open,contra with V1v,stim500pre,accuracy_e,correct_e,0.298371972730576
sub001,open,contra with V1v,stim500pre,accuracy_e,incorrect_e,0.513296530225679
sub001,open,contra with V1v,stim500pre,rt,fast,0.262007392989534
sub001,open,contra with V1v,stim500pre,rt,slow,0.307175107473566
sub001,open,contra with V2d,stim500pre,accuracy,correct,0.408864169707749
sub001,open,contra with V2d,stim500pre,accuracy,incorrect,0.670570017777007
sub001,open,contra with V2d,stim500pre,accuracy_e,correct_e,0.273578659192922
sub001,open,contra with V2d,stim500pre,accuracy_e,incorrect_e,0.670570017777007
sub001,open,contra with V2d,stim500pre,rt,fast,0.382895186532469
sub001,open,contra with V2d,stim500pre,rt,slow,0.432407792711829
sub001,open,contra with V2v,stim500pre,accuracy,correct,0.0659414160898371
sub001,open,contra with V2v,stim500pre,accuracy,incorrect,0.266442007604483
sub001,open,contra with V2v,stim500pre,accuracy_e,correct_e,0.0918270102409684
sub001,open,contra with V2v,stim500pre,accuracy_e,incorrect_e,0.266442007604483
sub001,open,contra with V2v,stim500pre,rt,fast,0.0537152723229911
sub001,open,contra with V2v,stim500pre,rt,slow,0.0758332149878334
sub001,open,contra with V3a,stim500pre,accuracy,correct,0.239667437011182
sub001,open,contra with V3a,stim500pre,accuracy,incorrect,0.415900172551662
sub001,open,contra with V3a,stim500pre,accuracy_e,correct_e,0.018206991118365
sub001,open,contra with V3a,stim500pre,accuracy_e,incorrect_e,0.415900172551662
sub001,open,contra with V3a,stim500pre,rt,fast,0.175450533029566
sub001,open,contra with V3a,stim500pre,rt,slow,0.303292070756068
sub001,open,contra with V3b,stim500pre,accuracy,correct,0.514038880610232
sub001,open,contra with V3b,stim500pre,accuracy,incorrect,0.631569077140214
sub001,open,contra with V3b,stim500pre,accuracy_e,correct_e,0.351796112230401
sub001,open,contra with V3b,stim500pre,accuracy_e,incorrect_e,0.631569077140214
sub001,open,contra with V3b,stim500pre,rt,fast,0.459940257458846
sub001,open,contra with V3b,stim500pre,rt,slow,0.565100729517242
sub001,open,contra with V3d,stim500pre,accuracy,correct,0.729578930214268
sub001,open,contra with V3d,stim500pre,accuracy,incorrect,0.735406468489639
sub001,open,contra with V3d,stim500pre,accuracy_e,correct_e,0.666895703964741
sub001,open,contra with V3d,stim500pre,accuracy_e,incorrect_e,0.735406468489639
sub001,open,contra with V3d,stim500pre,rt,fast,0.691987344491129
sub001,open,contra with V3d,stim500pre,rt,slow,0.765451945169126
sub001,open,contra with V3v,stim500pre,accuracy,correct,-0.550507385441593
sub001,open,contra with V3v,stim500pre,accuracy,incorrect,-0.400680903299323
sub001,open,contra with V3v,stim500pre,accuracy_e,correct_e,-0.615444193918302
sub001,open,contra with V3v,stim500pre,accuracy_e,incorrect_e,-0.400680903299323
sub001,open,contra with V3v,stim500pre,rt,fast,-0.566822198821586
sub001,open,contra with V3v,stim500pre,rt,slow,-0.533830090589177
sub001,closed,contra with V1d,stim500pre,accuracy,correct,0.0658740910266738
sub001,closed,contra with V1d,stim500pre,accuracy,incorrect,-0.0490747974399042
sub001,closed,contra with V1d,stim500pre,accuracy_e,correct_e,-0.0495845730636895
sub001,closed,contra with V1d,stim500pre,accuracy_e,incorrect_e,-0.0490747974399042
sub001,closed,contra with V1d,stim500pre,rt,fast,-0.00897888296615652
sub001,closed,contra with V1d,stim500pre,rt,slow,0.141254732576817
sub001,closed,contra with V1v,stim500pre,accuracy,correct,0.107373832408468
sub001,closed,contra with V1v,stim500pre,accuracy,incorrect,0.0148245374818109
sub001,closed,contra with V1v,stim500pre,accuracy_e,correct_e,0.0547435374291222
sub001,closed,contra with V1v,stim500pre,accuracy_e,incorrect_e,0.0148245374818109
sub001,closed,contra with V1v,stim500pre,rt,fast,0.0679982604030671
sub001,closed,contra with V1v,stim500pre,rt,slow,0.147724604385838
sub001,closed,contra with V2d,stim500pre,accuracy,correct,0.300325722540173
sub001,closed,contra with V2d,stim500pre,accuracy,incorrect,0.17587965472769
sub001,closed,contra with V2d,stim500pre,accuracy_e,correct_e,0.154623833240961
sub001,closed,contra with V2d,stim500pre,accuracy_e,incorrect_e,0.17587965472769
sub001,closed,contra with V2d,stim500pre,rt,fast,0.239056160854102
sub001,closed,contra with V2d,stim500pre,rt,slow,0.35887710129576
sub001,closed,contra with V2v,stim500pre,accuracy,correct,-0.0687501184293593
sub001,closed,contra with V2v,stim500pre,accuracy,incorrect,-0.168419172548849
sub001,closed,contra with V2v,stim500pre,accuracy_e,correct_e,-0.0450402426091118
sub001,closed,contra with V2v,stim500pre,accuracy_e,incorrect_e,-0.168419172548849
sub001,closed,contra with V2v,stim500pre,rt,fast,-0.0726782509446983
sub001,closed,contra with V2v,stim500pre,rt,slow,-0.0638646662186673
sub001,closed,contra with V3a,stim500pre,accuracy,correct,0.201214378822165
sub001,closed,contra with V3a,stim500pre,accuracy,incorrect,0.121402760994576
sub001,closed,contra with V3a,stim500pre,accuracy_e,correct_e,0.0971677038585893
sub001,closed,contra with V3a,stim500pre,accuracy_e,incorrect_e,0.121402760994576
sub001,closed,contra with V3a,stim500pre,rt,fast,0.184299454933695
sub001,closed,contra with V3a,stim500pre,rt,slow,0.221004681902903
sub001,closed,contra with V3b,stim500pre,accuracy,correct,0.431470169890384
sub001,closed,contra with V3b,stim500pre,accuracy,incorrect,0.340234226271624
sub001,closed,contra with V3b,stim500pre,accuracy_e,correct_e,0.351095612239592
