sub,eye,roi,window,compare,cond,value
sub001,open,contra with all visual,stim500pre,accuracy,correct,-0.189609210508197
sub001,open,contra with all visual,stim500pre,accuracy,incorrect,-0.323910810518834
sub001,open,contra with all visual,stim500pre,accuracy_e,correct_e,-0.118671327424662
sub001,open,contra with all visual,stim500pre,accuracy_e,incorrect_e,-0.323910810518834
sub001,open,contra with all visual,stim500pre,rt,fast,-0.148084944867545
sub001,open,contra with all visual,stim500pre,rt,slow,-0.229433140123987
sub001,closed,contra with all visual,stim500pre,accuracy,correct,-0.0847045496889032
sub001,closed,contra with all visual,stim500pre,accuracy,incorrect,0.0184775944862377
sub001,closed,contra with all visual,stim500pre,accuracy_e,correct_e,-0.106481161040271
sub001,closed,contra with all visual,stim500pre,accuracy_e,incorrect_e,0.0184775944862377
sub001,closed,contra with all visual,stim500pre,rt,fast,-0.0458981414403616
sub001,closed,contra with all visual,stim500pre,rt,slow,-0.122238994750939
sub002,open,contra with all visual,stim500pre,accuracy,correct,-0.735067546157107
sub002,open,contra with all visual,stim500pre,accuracy,incorrect,-0.789985575693147
sub002,open,contra with all visual,stim500pre,accuracy_e,correct_e,-0.709094051255253
sub002,open,contra with all visual,stim500pre,accuracy_e,incorrect_e,-0.789985575693147
sub002,open,contra with all visual,stim500pre,rt,fast,-0.743765106385321
sub002,open,contra with all visual,stim500pre,rt,slow,-0.731063313648416
sub002,closed,contra with all visual,stim500pre,accuracy,correct,-0.543418707951105
sub002,closed,contra with all visual,stim500pre,accuracy,incorrect,-0.444644982891595
sub002,closed,contra with all visual,stim500pre,accuracy_e,correct_e,-0.551199579496032
sub002,closed,contra with all visual,stim500pre,accuracy_e,incorrect_e,-0.444644982891595
sub002,closed,contra with all visual,stim500pre,rt,fast,-0.565506341382576
sub002,closed,contra with all visual,stim500pre,rt,slow,-0.519072823686615
sub003,open,contra with all visual,stim500pre,accuracy,correct,-0.436270806588527
sub003,open,contra with all visual,stim500pre,accuracy,incorrect,-0.535739679409788
sub003,open,contra with all visual,stim500pre,accuracy_e,correct_e,-0.425712784940961
sub003,open,contra with all visual,stim500pre,accuracy_e,incorrect_e,-0.535739679409788
sub003,open,contra with all visual,stim500pre,rt,fast,-0.466182856093876
sub003,open,contra with all visual,stim500pre,rt,slow,-0.407757109698864
sub003,closed,contra with all visual,stim500pre,accuracy,correct,-0.328936686802159
sub003,closed,contra with all visual,stim500pre,accuracy,incorrect,-0.326830054360234
sub003,closed,contra with all visual,stim500pre,accuracy_e,correct_e,-0.28370037785755
sub003,closed,contra with all visual,stim500pre,accuracy_e,incorrect_e,-0.326830054360234
sub003,closed,contra with all visual,stim500pre,rt,fast,-0.323554774913061
sub003,closed,contra with all visual,stim500pre,rt,slow,-0.329958935031944
sub004,open,contra with all visual,stim500pre,accuracy,correct,-0.731820263631135
sub004,open,contra with all visual,stim500pre,accuracy,incorrect,-0.668906551849775
sub004,open,contra with all visual,stim500pre,accuracy_e,correct_e,-0.747007336397945
sub004,open,contra with all visual,stim500pre,accuracy_e,incorrect_e,-0.668906551849775
sub004,open,contra with all visual,stim500pre,rt,fast,-0.696765410761501
sub004,open,contra with all visual,stim500pre,rt,slow,-0.769051602738681
sub004,closed,contra with all visual,stim500pre,accuracy,correct,-0.491697825048939
sub004,closed,contra with all visual,stim500pre,accuracy,incorrect,-0.481836543578682
