sub,eye,measure,window,compare,cond,value
sub001,open,somato lat,stim500pre,accuracy,correct,0.08
sub001,open,somato lat,stim500pre,accuracy,incorrect,-0.079
sub001,open,somato lat,stim500pre,accuracy_e,correct_e,-0.235
sub001,open,somato lat,stim500pre,accuracy_e,incorrect_e,-0.079
sub001,open,somato lat,stim500pre,rt,fast,0.137
sub001,open,somato lat,stim500pre,rt,slow,0.017
sub001,open,Brodmann area 1 lat,stim500pre,accuracy,correct,0.044
sub001,open,Brodmann area 1 lat,stim500pre,accuracy,incorrect,0.183
sub001,open,Brodmann area 1 lat,stim500pre,accuracy_e,correct_e,-0.298
sub001,open,Brodmann area 1 lat,stim500pre,accuracy_e,incorrect_e,0.183
sub001,open,Brodmann area 1 lat,stim500pre,rt,fast,0.132
sub001,open,Brodmann area 1 lat,stim500pre,rt,slow,-0.045
sub001,open,Brodmann area 2 lat,stim500pre,accuracy,correct,0.039
sub001,open,Brodmann area 2 lat,stim500pre,accuracy,incorrect,0.147
sub001,open,Brodmann area 2 lat,stim500pre,accuracy_e,correct_e,-0.305
sub001,open,Brodmann area 2 lat,stim500pre,accuracy_e,incorrect_e,0.147
sub001,open,Brodmann area 2 lat,stim500pre,rt,fast,0.107
sub001,open,Brodmann area 2 lat,stim500pre,rt,slow,-0.03
sub001,open,Brodmann area 3 lat,stim500pre,accuracy,correct,0.065
sub001,open,Brodmann area 3 lat,stim500pre,accuracy,incorrect,-0.045
sub001,open,Brodmann area 3 lat,stim500pre,accuracy_e,correct_e,-0.191
sub001,open,Brodmann area 3 lat,stim500pre,accuracy_e,incorrect_e,-0.045
sub001,open,Brodmann area 3 lat,stim500pre,rt,fast,0.09
sub001,open,Brodmann area 3 lat,stim500pre,rt,slow,0.035
sub001,closed,somato lat,stim500pre,accuracy,correct,0.021
sub001,closed,somato lat,stim500pre,accuracy,incorrect,0.056
sub001,closed,somato lat,stim500pre,accuracy_e,correct_e,0.203
sub001,closed,somato lat,stim500pre,accuracy_e,incorrect_e,0.056
sub001,closed,somato lat,stim500pre,rt,fast,0.048
sub001,closed,somato lat,stim500pre,rt,slow,-0.001
sub001,closed,Brodmann area 1 lat,stim500pre,accuracy,correct,0.016
sub001,closed,Brodmann area 1 lat,stim500pre,accuracy,incorrect,0.351
sub001,closed,Brodmann area 1 lat,stim500pre,accuracy_e,correct_e,0.041
sub001,closed,Brodmann area 1 lat,stim500pre,accuracy_e,incorrect_e,0.351
sub001,closed,Brodmann area 1 lat,stim500pre,rt,fast,0.043
sub001,closed,Brodmann area 1 lat,stim500pre,rt,slow,-0.011
sub001,closed,Brodmann area 2 lat,stim500pre,accuracy,correct,-0.008
sub001,closed,Brodmann area 2 lat,stim500pre,accuracy,incorrect,0.297
sub001,closed,Brodmann area 2 lat,stim500pre,accuracy_e,correct_e,0.018
sub001,closed,Brodmann area 2 lat,stim500pre,accuracy_e,incorrect_e,0.297
sub001,closed,Brodmann area 2 lat,stim500pre,rt,fast,0.06
sub001,closed,Brodmann area 2 lat,stim500pre,rt,slow,-0.068
sub001,closed,Brodmann area 3 lat,stim500pre,accuracy,correct,-0.019
sub001,closed,Brodmann area 3 lat,stim500pre,accuracy,incorrect,0.163
sub001,closed,Brodmann area 3 lat,stim500pre,accuracy_e,correct_e,-0.051
sub001,closed,Brodmann area 3 lat,stim500pre,accuracy_e,incorrect_e,0.163
sub001,closed,Brodmann area 3 lat,stim500pre,rt,fast,0.071
sub001,closed,Brodmann area 3 lat,stim500pre,rt,slow,-0.1
sub001,open,somato lat,stim1000pre,accuracy,correct,0.118
sub001,open,somato lat,stim1000pre,accuracy,incorrect,-0.168
sub001,open,somato lat,stim1000pre,accuracy_e,correct_e,0.275
sub001,open,somato lat,stim1000pre,accuracy_e,incorrect_e,-0.168
sub001,open,somato lat,stim1000pre,rt,fast,0.146
sub001,open,somato lat,stim1000pre,rt,slow,0.094
sub001,open,Brodmann area 1 lat,stim1000pre,accuracy,correct,-0.001
sub001,open,Brodmann area 1 lat,stim1000pre,accuracy,incorrect,0.123
sub001,open,Brodmann area 1 lat,stim1000pre,accuracy_e,correct_e,0.047
sub001,open,Brodmann area 1 lat,stim1000pre,accuracy_e,incorrect_e,0.123
sub001,open,Brodmann area 1 lat,stim1000pre,rt,fast,0.061
sub001,open,Brodmann area 1 lat,stim1000pre,rt,slow,-0.061
sub001,open,Brodmann area 2 lat,stim1000pre,accuracy,correct,0.001
sub001,open,Brodmann area 2 lat,stim1000pre,accuracy,incorrect,0.208
sub001,open,Brodmann area 2 lat,stim1000pre,accuracy_e,correct_e,0.002
sub001,open,Brodmann area 2 lat,stim1000pre,accuracy_e,incorrect_e,0.208
sub001,open,Brodmann area 2 lat,stim1000pre,rt,fast,0.079
sub001,open,Brodmann area 2 lat,stim1000pre,rt,slow,-0.073
sub001,open,Brodmann area 3 lat,stim1000pre,accuracy,correct,0.054
sub001,open,Brodmann area 3 lat,stim1000pre,accuracy,incorrect,-0.002
sub001,open,Brodmann area 3 lat,stim1000pre,accuracy_e,correct_e,0.134
sub001,open,Brodmann area 3 lat,stim1000pre,accuracy_e,incorrect_e,-0.002
sub001,open,Brodmann area 3 lat,stim1000pre,rt,fast,0.117
sub001,open,Brodmann area 3 lat,stim1000pre,rt,slow,-0.002
sub001,closed,somato lat,stim1000pre,accuracy,correct,0.077
sub001,closed,somato lat,stim1000pre,accuracy,incorrect,0.111
sub001,closed,somato lat,stim1000pre,accuracy_e,correct_e,0.11
sub001,closed,somato lat,stim1000pre,accuracy_e,incorrect_e,0.111
sub001,closed,somato lat,stim1000pre,rt,fast,0.076
sub001,closed,somato lat,stim1000pre,rt,slow,0.092
sub001,closed,Brodmann area 1 lat,stim1000pre,accuracy,correct,0.003
sub001,closed,Brodmann area 1 lat,stim1000pre,accuracy,incorrect,0.297
sub001,closed,Brodmann area 1 lat,stim1000pre,accuracy_e,correct_e,0.222
sub001,closed,Brodmann area 1 lat,stim1000pre,accuracy_e,incorrect_e,0.297
sub001,closed,Brodmann area 1 lat,stim1000pre,rt,fast,-0.016
sub001,closed,Brodmann area 1 lat,stim1000pre,rt,slow,0.033
sub001,closed,Brodmann area 2 lat,stim1000pre,accuracy,correct,0.018
sub001,closed,Brodmann area 2 lat,stim1000pre,accuracy,incorrect,0.354
sub001,closed,Brodmann area 2 lat,stim1000pre,accuracy_e,correct_e,0.222
sub001,closed,Brodmann area 2 lat,stim1000pre,accuracy_e,incorrect_e,0.354
sub001,closed,Brodmann area 2 lat,stim1000pre,rt,fast,0.019
sub001,closed,Brodmann area 2 lat,stim1000pre,rt,slow,0.029
sub001,closed,Brodmann area 3 lat,stim1000pre,accuracy,correct,0.04
sub001,closed,Brodmann area 3 lat,stim1000pre,accuracy,incorrect,0.098
sub001,closed,Brodmann area 3 lat,stim1000pre,accuracy_e,correct_e,0.107
sub001,closed,Brodmann area 3 lat,stim1000pre,accuracy_e,incorrect_e,0.098
sub001,closed,Brodmann area 3 lat,stim1000pre,rt,fast,0.03
sub001,closed,Brodmann area 3 lat,stim1000pre,rt,slow,0.055
sub002,open,somato lat,stim500pre,accuracy,correct,0.01
sub002,open,somato lat,stim500pre,accuracy,incorrect,-0.116
sub002,open,somato lat,stim500pre,accuracy_e,correct_e,0.031
sub002,open,somato lat,stim500pre,accuracy_e,incorrect_e,-0.116
sub002,open,somato lat,stim500pre,rt,fast,0.044
sub002,open,somato lat,stim500pre,rt,slow,-0.032
sub002,open,Brodmann area 1 lat,stim500pre,accuracy,correct,-0.008
sub002,open,Brodmann area 1 lat,stim500pre,accuracy,incorrect,-0.055
sub002,open,Brodmann area 1 lat,stim500pre,accuracy_e,correct_e,0.069
sub002,open,Brodmann area 1 lat,stim500pre,accuracy_e,incorrect_e,-0.055
sub002,open,Brodmann area 1 lat,stim500pre,rt,fast,0.016
sub002,open,Brodmann area 1 lat,stim500pre,rt,slow,-0.032
sub002,open,Brodmann area 2 lat,stim500pre,accuracy,correct,0.005
sub002,open,Brodmann area 2 lat,stim500pre,accuracy,incorrect,0.001
sub002,open,Brodmann area 2 lat,stim500pre,accuracy_e,correct_e,0.036
sub002,open,Brodmann area 2 lat,stim500pre,accuracy_e,incorrect_e,0.001
sub002,open,Brodmann area 2 lat,stim500pre,rt,fast,-0.006
sub002,open,Brodmann area 2 lat,stim500pre,rt,slow,0.019
sub002,open,Brodmann area 3 lat,stim500pre,accuracy,correct,0.032
sub002,open,Brodmann area 3 lat,stim500pre,accuracy,incorrect,-0.121
sub002,open,Brodmann area 3 lat,stim500pre,accuracy_e,correct_e,0.046
sub002,open,Brodmann area 3 lat,stim500pre,accuracy_e,incorrect_e,-0.121
sub002,open,Brodmann area 3 lat,stim500pre,rt,fast,0.025
sub002,open,Brodmann area 3 lat,stim500pre,rt,slow,0.044
sub002,closed,somato lat,stim500pre,accuracy,correct,-0.028
sub002,closed,somato lat,stim500pre,accuracy,incorrect,0.07
sub002,closed,somato lat,stim500pre,accuracy_e,correct_e,-0.019
sub002,closed,somato lat,stim500pre,accuracy_e,incorrect_e,0.07
sub002,closed,somato lat,stim500pre,rt,fast,0.036
sub002,closed,somato lat,stim500pre,rt,slow,-0.091
sub002,closed,Brodmann area 1 lat,stim500pre,accuracy,correct,0.047
sub002,closed,Brodmann area 1 lat,stim500pre,accuracy,incorrect,-0.026
sub002,closed,Brodmann area 1 lat,stim500pre,accuracy_e,correct_e,0.05
sub002,closed,Brodmann area 1 lat,stim500pre,accuracy_e,incorrect_e,-0.026
sub002,closed,Brodmann area 1 lat,stim500pre,rt,fast,-0.094
sub002,closed,Brodmann area 1 lat,stim500pre,rt,slow,0.182
sub002,closed,Brodmann area 2 lat,stim500pre,accuracy,correct,0.014
sub002,closed,Brodmann area 2 lat,stim500pre,accuracy,incorrect,-0.021
sub002,closed,Brodmann area 2 lat,stim500pre,accuracy_e,correct_e,0.064
sub002,closed,Brodmann area 2 lat,stim500pre,accuracy_e,incorrect_e,-0.021
sub002,closed,Brodmann area 2 lat,stim500pre,rt,fast,-0.115
sub002,closed,Brodmann area 2 lat,stim500pre,rt,slow,0.134
sub002,closed,Brodmann area 3 lat,stim500pre,accuracy,correct,-0.005
sub002,closed,Brodmann area 3 lat,stim500pre,accuracy,incorrect,0.053
sub002,closed,Brodmann area 3 lat,stim500pre,accuracy_e,correct_e,0.009
sub002,closed,Brodmann area 3 lat,stim500pre,accuracy_e,incorrect_e,0.053
sub002,closed,Brodmann area 3 lat,stim500pre,rt,fast,-0.087
sub002,closed,Brodmann area 3 lat,stim500pre,rt,slow,0.07
sub002,open,somato lat,stim1000pre,accuracy,correct,0.073
sub002,open,somato lat,stim1000pre,accuracy,incorrect,0.036
sub002,open,somato lat,stim1000pre,accuracy_e,correct_e,0.004
sub002,open,somato lat,stim1000pre,accuracy_e,incorrect_e,0.036
sub002,open,somato lat,stim1000pre,rt,fast,0.065
sub002,open,somato lat,stim1000pre,rt,slow,0.076
sub002,open,Brodmann area 1 lat,stim1000pre,accuracy,correct,0.026
sub002,open,Brodmann area 1 lat,stim1000pre,accuracy,incorrect,0.146
sub002,open,Brodmann area 1 lat,stim1000pre,accuracy_e,correct_e,0.029
sub002,open,Brodmann area 1 lat,stim1000pre,accuracy_e,incorrect_e,0.146
sub002,open,Brodmann area 1 lat,stim1000pre,rt,fast,0.022
sub002,open,Brodmann area 1 lat,stim1000pre,rt,slow,0.039
sub002,open,Brodmann area 2 lat,stim1000pre,accuracy,correct,-0.004
sub002,open,Brodmann area 2 lat,stim1000pre,accuracy,incorrect,0.108
sub002,open,Brodmann area 2 lat,stim1000pre,accuracy_e,correct_e,0.026
sub002,open,Brodmann area 2 lat,stim1000pre,accuracy_e,incorrect_e,0.108
sub002,open,Brodmann area 2 lat,stim1000pre,rt,fast,-0.016
sub002,open,Brodmann area 2 lat,stim1000pre,rt,slow,0.021
sub002,open,Brodmann area 3 lat,stim1000pre,accuracy,correct,-0.003
sub002,open,Brodmann area 3 lat,stim1000pre,accuracy,incorrect,0.09
sub002,open,Brodmann area 3 lat,stim1000pre,accuracy_e,correct_e,0.081
sub002,open,Brodmann area 3 lat,stim1000pre,accuracy_e,incorrect_e,0.09
sub002,open,Brodmann area 3 lat,stim1000pre,rt,fast,-0.011
sub002,open,Brodmann area 3 lat,stim1000pre,rt,slow,0.013
sub002,closed,somato lat,stim1000pre,accuracy,correct,0.024
sub002,closed,somato lat,stim1000pre,accuracy,incorrect,0.035
sub002,closed,somato lat,stim1000pre,accuracy_e,correct_e,0.063
sub002,closed,somato lat,stim1000pre,accuracy_e,incorrect_e,0.035
sub002,closed,somato lat,stim1000pre,rt,fast,0.054
sub002,closed,somato lat,stim1000pre,rt,slow,-0.004
