sub,eye,measure,window,compare,cond,value
sub001,open,somato lat,stim500pre,accuracy,correct,0.08
sub001,open,somato lat,stim500pre,accuracy,incorrect,-0.079
sub001,open,somato lat,stim500pre,accuracy_e,correct_e,0.101
sub001,open,somato lat,stim500pre,accuracy_e,incorrect_e,-0.079
sub001,open,somato lat,stim500pre,rt,fast,0.137
sub001,open,somato lat,stim500pre,rt,slow,0.017
sub001,open,Brodmann area 1 lat,stim500pre,accuracy,correct,0.079
sub001,open,Brodmann area 1 lat,stim500pre,accuracy,incorrect,0.196
sub001,open,Brodmann area 1 lat,stim500pre,accuracy_e,correct_e,-0.026
sub001,open,Brodmann area 1 lat,stim500pre,accuracy_e,incorrect_e,0.196
sub001,open,Brodmann area 1 lat,stim500pre,rt,fast,0.172
sub001,open,Brodmann area 1 lat,stim500pre,rt,slow,-0.009
sub001,open,Brodmann area 2 lat,stim500pre,accuracy,correct,0.061
sub001,open,Brodmann area 2 lat,stim500pre,accuracy,incorrect,0.165
sub001,open,Brodmann area 2 lat,stim500pre,accuracy_e,correct_e,0.113
sub001,open,Brodmann area 2 lat,stim500pre,accuracy_e,incorrect_e,0.165
sub001,open,Brodmann area 2 lat,stim500pre,rt,fast,0.137
sub001,open,Brodmann area 2 lat,stim500pre,rt,slow,-0.013
sub001,open,Brodmann area 3 lat,stim500pre,accuracy,correct,0.065
sub001,open,Brodmann area 3 lat,stim500pre,accuracy,incorrect,-0.045
sub001,open,Brodmann area 3 lat,stim500pre,accuracy_e,correct_e,0.116
sub001,open,Brodmann area 3 lat,stim500pre,accuracy_e,incorrect_e,-0.045
sub001,open,Brodmann area 3 lat,stim500pre,rt,fast,0.09
sub001,open,Brodmann area 3 lat,stim500pre,rt,slow,0.035
sub001,closed,somato lat,stim500pre,accuracy,correct,0.008
sub001,closed,somato lat,stim500pre,accuracy,incorrect,0.034
sub001,closed,somato lat,stim500pre,accuracy_e,correct_e,0.039
sub001,closed,somato lat,stim500pre,accuracy_e,incorrect_e,0.034
sub001,closed,somato lat,stim500pre,rt,fast,0.032
sub001,closed,somato lat,stim500pre,rt,slow,-0.011
sub001,closed,Brodmann area 1 lat,stim500pre,accuracy,correct,0.021
sub001,closed,Brodmann area 1 lat,stim500pre,accuracy,incorrect,0.346
sub001,closed,Brodmann area 1 lat,stim500pre,accuracy_e,correct_e,0.088
sub001,closed,Brodmann area 1 lat,stim500pre,accuracy_e,incorrect_e,0.346
sub001,closed,Brodmann area 1 lat,stim500pre,rt,fast,0.034
sub001,closed,Brodmann area 1 lat,stim500pre,rt,slow,0.006
sub001,closed,Brodmann area 2 lat,stim500pre,accuracy,correct,-0.005
sub001,closed,Brodmann area 2 lat,stim500pre,accuracy,incorrect,0.276
sub001,closed,Brodmann area 2 lat,stim500pre,accuracy_e,correct_e,0.102
sub001,closed,Brodmann area 2 lat,stim500pre,accuracy_e,incorrect_e,0.276
sub001,closed,Brodmann area 2 lat,stim500pre,rt,fast,0.057
sub001,closed,Brodmann area 2 lat,stim500pre,rt,slow,-0.062
sub001,closed,Brodmann area 3 lat,stim500pre,accuracy,correct,-0.019
sub001,closed,Brodmann area 3 lat,stim500pre,accuracy,incorrect,0.163
sub001,closed,Brodmann area 3 lat,stim500pre,accuracy_e,correct_e,0.045
sub001,closed,Brodmann area 3 lat,stim500pre,accuracy_e,incorrect_e,0.163
sub001,closed,Brodmann area 3 lat,stim500pre,rt,fast,0.071
sub001,closed,Brodmann area 3 lat,stim500pre,rt,slow,-0.1
sub001,open,somato lat,stim1000pre,accuracy,correct,0.118
sub001,open,somato lat,stim1000pre,accuracy,incorrect,-0.168
sub001,open,somato lat,stim1000pre,accuracy_e,correct_e,0.002
sub001,open,somato lat,stim1000pre,accuracy_e,incorrect_e,-0.168
sub001,open,somato lat,stim1000pre,rt,fast,0.146
sub001,open,somato lat,stim1000pre,rt,slow,0.094
sub001,open,Brodmann area 1 lat,stim1000pre,accuracy,correct,0.034
sub001,open,Brodmann area 1 lat,stim1000pre,accuracy,incorrect,0.19
sub001,open,Brodmann area 1 lat,stim1000pre,accuracy_e,correct_e,-0.038
sub001,open,Brodmann area 1 lat,stim1000pre,accuracy_e,incorrect_e,0.19
sub001,open,Brodmann area 1 lat,stim1000pre,rt,fast,0.099
sub001,open,Brodmann area 1 lat,stim1000pre,rt,slow,-0.029
sub001,open,Brodmann area 2 lat,stim1000pre,accuracy,correct,0.037
sub001,open,Brodmann area 2 lat,stim1000pre,accuracy,incorrect,0.211
sub001,open,Brodmann area 2 lat,stim1000pre,accuracy_e,correct_e,-0.06
sub001,open,Brodmann area 2 lat,stim1000pre,accuracy_e,incorrect_e,0.211
sub001,open,Brodmann area 2 lat,stim1000pre,rt,fast,0.109
sub001,open,Brodmann area 2 lat,stim1000pre,rt,slow,-0.03
sub001,open,Brodmann area 3 lat,stim1000pre,accuracy,correct,0.054
sub001,open,Brodmann area 3 lat,stim1000pre,accuracy,incorrect,-0.002
sub001,open,Brodmann area 3 lat,stim1000pre,accuracy_e,correct_e,-0.109
sub001,open,Brodmann area 3 lat,stim1000pre,accuracy_e,incorrect_e,-0.002
sub001,open,Brodmann area 3 lat,stim1000pre,rt,fast,0.117
sub001,open,Brodmann area 3 lat,stim1000pre,rt,slow,-0.002
sub001,closed,somato lat,stim1000pre,accuracy,correct,0.074
sub001,closed,somato lat,stim1000pre,accuracy,incorrect,0.094
sub001,closed,somato lat,stim1000pre,accuracy_e,correct_e,0.1
sub001,closed,somato lat,stim1000pre,accuracy_e,incorrect_e,0.094
sub001,closed,somato lat,stim1000pre,rt,fast,0.054
sub001,closed,somato lat,stim1000pre,rt,slow,0.107
sub001,closed,Brodmann area 1 lat,stim1000pre,accuracy,correct,0.007
sub001,closed,Brodmann area 1 lat,stim1000pre,accuracy,incorrect,0.284
sub001,closed,Brodmann area 1 lat,stim1000pre,accuracy_e,correct_e,0.009
sub001,closed,Brodmann area 1 lat,stim1000pre,accuracy_e,incorrect_e,0.284
sub001,closed,Brodmann area 1 lat,stim1000pre,rt,fast,-0.028
sub001,closed,Brodmann area 1 lat,stim1000pre,rt,slow,0.052
sub001,closed,Brodmann area 2 lat,stim1000pre,accuracy,correct,0.022
sub001,closed,Brodmann area 2 lat,stim1000pre,accuracy,incorrect,0.297
sub001,closed,Brodmann area 2 lat,stim1000pre,accuracy_e,correct_e,0.029
sub001,closed,Brodmann area 2 lat,stim1000pre,accuracy_e,incorrect_e,0.297
sub001,closed,Brodmann area 2 lat,stim1000pre,rt,fast,0.005
sub001,closed,Brodmann area 2 lat,stim1000pre,rt,slow,0.051
sub001,closed,Brodmann area 3 lat,stim1000pre,accuracy,correct,0.04
sub001,closed,Brodmann area 3 lat,stim1000pre,accuracy,incorrect,0.098
sub001,closed,Brodmann area 3 lat,stim1000pre,accuracy_e,correct_e,0.085
sub001,closed,Brodmann area 3 lat,stim1000pre,accuracy_e,incorrect_e,0.098
sub001,closed,Brodmann area 3 lat,stim1000pre,rt,fast,0.03
sub001,closed,Brodmann area 3 lat,stim1000pre,rt,slow,0.055
sub002,open,somato lat,stim500pre,accuracy,correct,0.038
sub002,open,somato lat,stim500pre,accuracy,incorrect,-0.058
sub002,open,somato lat,stim500pre,accuracy_e,correct_e,0.086
sub002,open,somato lat,stim500pre,accuracy_e,incorrect_e,-0.058
sub002,open,somato lat,stim500pre,rt,fast,0.072
sub002,open,somato lat,stim500pre,rt,slow,-0.003
sub002,open,Brodmann area 1 lat,stim500pre,accuracy,correct,0.018
sub002,open,Brodmann area 1 lat,stim500pre,accuracy,incorrect,0.12
sub002,open,Brodmann area 1 lat,stim500pre,accuracy_e,correct_e,0.075
sub002,open,Brodmann area 1 lat,stim500pre,accuracy_e,incorrect_e,0.12
sub002,open,Brodmann area 1 lat,stim500pre,rt,fast,0.087
sub002,open,Brodmann area 1 lat,stim500pre,rt,slow,-0.041
sub002,open,Brodmann area 2 lat,stim500pre,accuracy,correct,0.027
sub002,open,Brodmann area 2 lat,stim500pre,accuracy,incorrect,0.094
sub002,open,Brodmann area 2 lat,stim500pre,accuracy_e,correct_e,0.065
sub002,open,Brodmann area 2 lat,stim500pre,accuracy_e,incorrect_e,0.094
sub002,open,Brodmann area 2 lat,stim500pre,rt,fast,0.037
sub002,open,Brodmann area 2 lat,stim500pre,rt,slow,0.027
sub002,open,Brodmann area 3 lat,stim500pre,accuracy,correct,0.026
sub002,open,Brodmann area 3 lat,stim500pre,accuracy,incorrect,0.057
sub002,open,Brodmann area 3 lat,stim500pre,accuracy_e,correct_e,0.028
sub002,open,Brodmann area 3 lat,stim500pre,accuracy_e,incorrect_e,0.057
sub002,open,Brodmann area 3 lat,stim500pre,rt,fast,0.029
sub002,open,Brodmann area 3 lat,stim500pre,rt,slow,0.031
sub002,closed,somato lat,stim500pre,accuracy,correct,-0.037
sub002,closed,somato lat,stim500pre,accuracy,incorrect,0.035
sub002,closed,somato lat,stim500pre,accuracy_e,correct_e,-0.02
sub002,closed,somato lat,stim500pre,accuracy_e,incorrect_e,0.035
sub002,closed,somato lat,stim500pre,rt,fast,0.017
sub002,closed,somato lat,stim500pre,rt,slow,-0.092
sub002,closed,Brodmann area 1 lat,stim500pre,accuracy,correct,0.027
sub002,closed,Brodmann area 1 lat,stim500pre,accuracy,incorrect,0.015
sub002,closed,Brodmann area 1 lat,stim500pre,accuracy_e,correct_e,0.063
sub002,closed,Brodmann area 1 lat,stim500pre,accuracy_e,incorrect_e,0.015
sub002,closed,Brodmann area 1 lat,stim500pre,rt,fast,-0.073
sub002,closed,Brodmann area 1 lat,stim500pre,rt,slow,0.123
sub002,closed,Brodmann area 2 lat,stim500pre,accuracy,correct,-0.011
sub002,closed,Brodmann area 2 lat,stim500pre,accuracy,incorrect,0.021
sub002,closed,Brodmann area 2 lat,stim500pre,accuracy_e,correct_e,0.012
sub002,closed,Brodmann area 2 lat,stim500pre,accuracy_e,incorrect_e,0.021
sub002,closed,Brodmann area 2 lat,stim500pre,rt,fast,-0.096
sub002,closed,Brodmann area 2 lat,stim500pre,rt,slow,0.07
sub002,closed,Brodmann area 3 lat,stim500pre,accuracy,correct,-0.019
sub002,closed,Brodmann area 3 lat,stim500pre,accuracy,incorrect,0.052
sub002,closed,Brodmann area 3 lat,stim500pre,accuracy_e,correct_e,-0.002
sub002,closed,Brodmann area 3 lat,stim500pre,accuracy_e,incorrect_e,0.052
sub002,closed,Brodmann area 3 lat,stim500pre,rt,fast,-0.088
sub002,closed,Brodmann area 3 lat,stim500pre,rt,slow,0.049
sub002,open,somato lat,stim1000pre,accuracy,correct,0.081
sub002,open,somato lat,stim1000pre,accuracy,incorrect,0.046
sub002,open,somato lat,stim1000pre,accuracy_e,correct_e,0.154
sub002,open,somato lat,stim1000pre,accuracy_e,incorrect_e,0.046
sub002,open,somato lat,stim1000pre,rt,fast,0.108
sub002,open,somato lat,stim1000pre,rt,slow,0.048
sub002,open,Brodmann area 1 lat,stim1000pre,accuracy,correct,0.054
sub002,open,Brodmann area 1 lat,stim1000pre,accuracy,incorrect,0.052
sub002,open,Brodmann area 1 lat,stim1000pre,accuracy_e,correct_e,0.139
sub002,open,Brodmann area 1 lat,stim1000pre,accuracy_e,incorrect_e,0.052
sub002,open,Brodmann area 1 lat,stim1000pre,rt,fast,0.11
sub002,open,Brodmann area 1 lat,stim1000pre,rt,slow,0.005
sub002,open,Brodmann area 2 lat,stim1000pre,accuracy,correct,0.014
sub002,open,Brodmann area 2 lat,stim1000pre,accuracy,incorrect,0.033
sub002,open,Brodmann area 2 lat,stim1000pre,accuracy_e,correct_e,0.091
sub002,open,Brodmann area 2 lat,stim1000pre,accuracy_e,incorrect_e,0.033
sub002,open,Brodmann area 2 lat,stim1000pre,rt,fast,0.028
sub002,open,Brodmann area 2 lat,stim1000pre,rt,slow,0.012
sub002,open,Brodmann area 3 lat,stim1000pre,accuracy,correct,-0.001
sub002,open,Brodmann area 3 lat,stim1000pre,accuracy,incorrect,0.044
sub002,open,Brodmann area 3 lat,stim1000pre,accuracy_e,correct_e,0.104
sub002,open,Brodmann area 3 lat,stim1000pre,accuracy_e,incorrect_e,0.044
sub002,open,Brodmann area 3 lat,stim1000pre,rt,fast,0.013
sub002,open,Brodmann area 3 lat,stim1000pre,rt,slow,-0.001
sub002,closed,somato lat,stim1000pre,accuracy,correct,0.001
sub002,closed,somato lat,stim1000pre,accuracy,incorrect,0.052
sub002,closed,somato lat,stim1000pre,accuracy_e,correct_e,0.037
sub002,closed,somato lat,stim1000pre,accuracy_e,incorrect_e,0.052
sub002,closed,somato lat,stim1000pre,rt,fast,0.053
sub002,closed,somato lat,stim1000pre,rt,slow,-0.054
