sub,eye,cue,measure,window,compare,cond,value
sub001,open,left,vis,stim500pre,accuracy,correct,1.397
sub001,open,left,vis,stim500pre,accuracy,incorrect,1.271
sub001,open,left,vis,stim500pre,accuracy_e,correct_e,1.729
sub001,open,left,vis,stim500pre,accuracy_e,incorrect_e,1.271
sub001,open,left,vis,stim500pre,rt,fast,2.254
sub001,open,left,vis,stim500pre,rt,slow,0.571
sub001,open,left,lat,stim500pre,accuracy,correct,0.19
sub001,open,left,lat,stim500pre,accuracy,incorrect,0.14
sub001,open,left,lat,stim500pre,accuracy_e,correct_e,0.346
sub001,open,left,lat,stim500pre,accuracy_e,incorrect_e,0.14
sub001,open,left,lat,stim500pre,rt,fast,0.345
sub001,open,left,lat,stim500pre,rt,slow,0.031
sub001,open,left,bal_ip_v,stim500pre,accuracy,correct,0.25
sub001,open,left,bal_ip_v,stim500pre,accuracy,incorrect,0.201
sub001,open,left,bal_ip_v,stim500pre,accuracy_e,correct_e,0.133
sub001,open,left,bal_ip_v,stim500pre,accuracy_e,incorrect_e,0.201
sub001,open,left,bal_ip_v,stim500pre,rt,fast,0.122
sub001,open,left,bal_ip_v,stim500pre,rt,slow,0.371
sub001,open,left,bal_ip_i,stim500pre,accuracy,correct,-0.115
sub001,open,left,bal_ip_i,stim500pre,accuracy,incorrect,-0.056
sub001,open,left,bal_ip_i,stim500pre,accuracy_e,correct_e,-0.204
sub001,open,left,bal_ip_i,stim500pre,accuracy_e,incorrect_e,-0.056
sub001,open,left,bal_ip_i,stim500pre,rt,fast,-0.284
sub001,open,left,bal_ip_i,stim500pre,rt,slow,0.054
sub001,open,right,vis,stim500pre,accuracy,correct,1.645
sub001,open,right,vis,stim500pre,accuracy,incorrect,0.016
sub001,open,right,vis,stim500pre,accuracy_e,correct_e,0.356
sub001,open,right,vis,stim500pre,accuracy_e,incorrect_e,0.016
sub001,open,right,vis,stim500pre,rt,fast,0.739
sub001,open,right,vis,stim500pre,rt,slow,2.551
sub001,open,right,lat,stim500pre,accuracy,correct,-0.037
sub001,open,right,lat,stim500pre,accuracy,incorrect,-0.182
sub001,open,right,lat,stim500pre,accuracy_e,correct_e,0.124
sub001,open,right,lat,stim500pre,accuracy_e,incorrect_e,-0.182
sub001,open,right,lat,stim500pre,rt,fast,-0.056
sub001,open,right,lat,stim500pre,rt,slow,-0.018
sub001,open,right,bal_ip_v,stim500pre,accuracy,correct,0.263
sub001,open,right,bal_ip_v,stim500pre,accuracy,incorrect,0.558
sub001,open,right,bal_ip_v,stim500pre,accuracy_e,correct_e,0.343
sub001,open,right,bal_ip_v,stim500pre,accuracy_e,incorrect_e,0.558
sub001,open,right,bal_ip_v,stim500pre,rt,fast,0.24
sub001,open,right,bal_ip_v,stim500pre,rt,slow,0.287
