sub,eye,corr,rt,roi,hemi,pow
sub001,open,incorrect,fast,visual,left,0.550834353033463
sub001,open,incorrect,slow,visual,left,0.74690302976144
sub001,open,incorrect,all,visual,left,0.686165809255968
sub001,open,incorrect,fast,visual,right,-0.377867591846639
sub001,open,incorrect,slow,visual,right,0.0134252498323098
sub001,open,incorrect,all,visual,right,-0.28626221209434
sub001,open,correct,fast,visual,left,0.450363732203257
sub001,open,correct,slow,visual,left,0.360084448893384
sub001,open,correct,all,visual,left,0.405337675597117
sub001,open,correct,fast,visual,right,0.0359073582175683
sub001,open,correct,slow,visual,right,0.30369115366168
sub001,open,correct,all,visual,right,0.16773857570517
sub001,close,incorrect,fast,visual,left,0.179829201709724
sub001,close,incorrect,slow,visual,left,-0.160772370853791
sub001,close,incorrect,all,visual,left,0.0019907059411812
sub001,close,incorrect,fast,visual,right,-0.0667247015172044
sub001,close,incorrect,slow,visual,right,-0.368477655996615
sub001,close,incorrect,all,visual,right,-0.248403372138849
sub001,close,correct,fast,visual,left,0.0130549060036372
sub001,close,correct,slow,visual,left,-0.0482715407866041
sub001,close,correct,all,visual,left,-0.01664598548875
sub001,close,correct,fast,visual,right,0.212758214827935
sub001,close,correct,slow,visual,right,0.229700253955387
sub001,close,correct,all,visual,right,0.213025549029041
sub002,open,incorrect,fast,visual,left,1.05203851142959
sub002,open,incorrect,slow,visual,left,0.528483838375507
sub002,open,incorrect,all,visual,left,0.806099799703551
sub002,open,incorrect,fast,visual,right,-0.00376786757795438
sub002,open,incorrect,slow,visual,right,-0.200704688292764
sub002,open,incorrect,all,visual,right,-0.0882955225773923
sub002,open,correct,fast,visual,left,0.275183609405217
sub002,open,correct,slow,visual,left,-0.151754484061258
sub002,open,correct,all,visual,left,0.0390808810302878
sub002,open,correct,fast,visual,right,0.246234437484957
sub002,open,correct,slow,visual,right,-0.0792243417499928
sub002,open,correct,all,visual,right,0.0655447122815061
sub002,close,incorrect,fast,visual,left,0.163053664263113
sub002,close,incorrect,slow,visual,left,0.0445537634420329
sub002,close,incorrect,all,visual,left,0.106219230735156
sub002,close,incorrect,fast,visual,right,0.416256971104623
sub002,close,incorrect,slow,visual,right,0.481625050529616
sub002,close,incorrect,all,visual,right,0.453029151813965
sub002,close,correct,fast,visual,left,0.294114506540007
sub002,close,correct,slow,visual,left,0.263129891533767
sub002,close,correct,all,visual,left,0.278261173700246
sub002,close,correct,fast,visual,right,0.604876818619271
sub002,close,correct,slow,visual,right,0.465109849298766
sub002,close,correct,all,visual,right,0.521541145230066
sub003,open,incorrect,fast,visual,left,0.195787871445232
sub003,open,incorrect,slow,visual,left,0.404308749061065
sub003,open,incorrect,all,visual,left,0.280508148708643
sub003,open,incorrect,fast,visual,right,0.0261342158218205
sub003,open,incorrect,slow,visual,right,0.407004679086847
sub003,open,incorrect,all,visual,right,0.189172113746876
sub003,open,correct,fast,visual,left,0.32278864043781
sub003,open,correct,slow,visual,left,0.32100646155711
sub003,open,correct,all,visual,left,0.300111056863552
sub003,open,correct,fast,visual,right,0.156930239072597
sub003,open,correct,slow,visual,right,0.198067845914681
sub003,open,correct,all,visual,right,0.160716904546286
sub003,close,incorrect,fast,visual,left,0.242070282485471
sub003,close,incorrect,slow,visual,left,0.589718604295841
sub003,close,incorrect,all,visual,left,0.392567973356289
sub003,close,incorrect,fast,visual,right,-0.09347942267569
sub003,close,incorrect,slow,visual,right,0.0364903787186
sub003,close,incorrect,all,visual,right,-0.0315086052903831
sub003,close,correct,fast,visual,left,0.612624522150121
sub003,close,correct,slow,visual,left,0.210382210704248
sub003,close,correct,all,visual,left,0.400907705772852
sub003,close,correct,fast,visual,right,0.261144230117783
sub003,close,correct,slow,visual,right,0.0912876871509019
sub003,close,correct,all,visual,right,0.174200237900412
sub004,open,incorrect,fast,visual,left,0.509489510676069
sub004,open,incorrect,slow,visual,left,0.260761739524136
sub004,open,incorrect,all,visual,left,0.412341421345297
sub004,open,incorrect,fast,visual,right,-0.50234497931552
sub004,open,incorrect,slow,visual,right,-0.540376021501757
sub004,open,incorrect,all,visual,right,-0.516382455904706
sub004,open,correct,fast,visual,left,0.105027047839876
sub004,open,correct,slow,visual,left,0.142189640381413
sub004,open,correct,all,visual,left,0.179956956336286
sub004,open,correct,fast,visual,right,0.313485752481488
sub004,open,correct,slow,visual,right,0.108596742698327
sub004,open,correct,all,visual,right,0.208184592240545
sub004,close,incorrect,fast,visual,left,-0.183903284464686
sub004,close,incorrect,slow,visual,left,0.420274027853811
sub004,close,incorrect,all,visual,left,0.0635905907023599
sub004,close,incorrect,fast,visual,right,0.401035336740521
sub004,close,incorrect,slow,visual,right,0.459129452423934
sub004,close,incorrect,all,visual,right,0.452892639637622
sub004,close,correct,fast,visual,left,0.17948639878266
sub004,close,correct,slow,visual,left,0.526742403918774
sub004,close,correct,all,visual,left,0.331562231736686
sub004,close,correct,fast,visual,right,0.438972029474997
sub004,close,correct,slow,visual,right,0.631303528349273
sub004,close,correct,all,visual,right,0.537245930312962
sub005,open,incorrect,fast,visual,left,-0.146552860567041
sub005,open,incorrect,slow,visual,left,0.402057875633964
sub005,open,incorrect,all,visual,left,0.0821706751305608
sub005,open,incorrect,fast,visual,right,0.168318575400716
sub005,open,incorrect,slow,visual,right,0.00933867130641234
sub005,open,incorrect,all,visual,right,0.0856477733666635
sub005,open,correct,fast,visual,left,0.0689882528548204
sub005,open,correct,slow,visual,left,0.1120950147514
sub005,open,correct,all,visual,left,0.0877866062316419
sub005,open,correct,fast,visual,right,0.467959684833165
sub005,open,correct,slow,visual,right,0.0662966149986303
sub005,open,correct,all,visual,right,0.286498929014742
sub005,close,incorrect,fast,visual,left,-0.0027334718149901
sub005,close,incorrect,slow,visual,left,0.14585140561259
sub005,close,incorrect,all,visual,left,0.0705325316602968
sub005,close,incorrect,fast,visual,right,-0.168366597094503
sub005,close,incorrect,slow,visual,right,-0.00369714982912954
sub005,close,incorrect,all,visual,right,-0.0904681908068736
sub005,close,correct,fast,visual,left,0.216817809925036
sub005,close,correct,slow,visual,left,0.083056404052528
sub005,close,correct,all,visual,left,0.169665592767006
sub005,close,correct,fast,visual,right,-0.0871682424084199
sub005,close,correct,slow,visual,right,-0.0626689105151392
sub005,close,correct,all,visual,right,-0.0887746759409311
sub006,open,incorrect,fast,visual,left,0.0942582299198924
sub006,open,incorrect,slow,visual,left,-0.00631938784273087
sub006,open,incorrect,all,visual,left,0.0402891688294923
sub006,open,incorrect,fast,visual,right,1.12728633574947
sub006,open,incorrect,slow,visual,right,0.190938236921508
sub006,open,incorrect,all,visual,right,0.588004310067196
sub006,open,correct,fast,visual,left,0.239187037559727
sub006,open,correct,slow,visual,left,0.0961899404303273
sub006,open,correct,all,visual,left,0.151085811749424
sub006,open,correct,fast,visual,right,0.191603978041784
sub006,open,correct,slow,visual,right,0.0209695622062713
sub006,open,correct,all,visual,right,0.0953790702019129
sub006,close,incorrect,fast,visual,left,0.0388490406589105
sub006,close,incorrect,slow,visual,left,0.364931170111874
sub006,close,incorrect,all,visual,left,0.189660323657359
sub006,close,incorrect,fast,visual,right,0.128841632291936
sub006,close,incorrect,slow,visual,right,0.36554707892706
