sub,eye,corr,rt,pow
sub001,open,incorrect,fast,-0.0338652564746743
sub001,open,incorrect,slow,0.201622636707968
sub001,open,incorrect,all,0.000549871129202434
sub001,open,correct,fast,0.127290091842398
sub001,open,correct,slow,0.205377503439472
sub001,open,correct,all,0.162985667291807
sub001,close,incorrect,fast,0.0626569013403342
sub001,close,incorrect,slow,-0.0370392015481621
sub001,close,incorrect,all,0.00199841406295895
sub001,close,correct,fast,0.174823218791905
sub001,close,correct,slow,0.0638145873942307
sub001,close,correct,all,0.0987337336007923
sub002,open,incorrect,fast,-0.220942749564753
sub002,open,incorrect,slow,0.396674059517936
sub002,open,incorrect,all,-0.0329808206193802
sub002,open,correct,fast,-0.105982393729928
sub002,open,correct,slow,-0.179858105128971
sub002,open,correct,all,-0.146647376718711
sub002,close,incorrect,fast,0.314102262463013
sub002,close,incorrect,slow,0.584817768775181
sub002,close,incorrect,all,0.418158807008119
sub002,close,correct,fast,0.274646932831354
sub002,close,correct,slow,-0.0368220798795029
sub002,close,correct,all,0.0955363242042554
sub003,open,incorrect,fast,0.746701634679255
sub003,open,incorrect,slow,0.368381697199336
sub003,open,incorrect,all,0.510249502458151
sub003,open,correct,fast,0.204728261261875
sub003,open,correct,slow,0.318867240174917
sub003,open,correct,all,0.257171460061484
sub003,close,incorrect,fast,-0.0255005488963127
sub003,close,incorrect,slow,0.00192905126793062
sub003,close,incorrect,all,-0.0109198958507565
sub003,close,correct,fast,0.1144850160204
sub003,close,correct,slow,0.312158130980807
sub003,close,correct,all,0.199562853149155
sub004,open,incorrect,fast,-0.0993710311041554
sub004,open,incorrect,slow,0.652765193542348
sub004,open,incorrect,all,0.213641906857259
sub004,open,correct,fast,0.207943156714853
sub004,open,correct,slow,0.391190227397258
sub004,open,correct,all,0.28813310274481
sub004,close,incorrect,fast,0.35460565543541
sub004,close,incorrect,slow,0.208719569862857
sub004,close,incorrect,all,0.286691049455032
sub004,close,correct,fast,0.369038068630717
sub004,close,correct,slow,0.386396656045115
sub004,close,correct,all,0.372276319807337
sub005,open,incorrect,fast,0.328135868143149
sub005,open,incorrect,slow,-0.0140684022424309
sub005,open,incorrect,all,0.138625620875527
sub005,open,correct,fast,0.230735078668715
sub005,open,correct,slow,0.261483880339955
sub005,open,correct,all,0.246052562868571
sub005,close,incorrect,fast,0.205832472028664
sub005,close,incorrect,slow,-0.0465407125659342
sub005,close,incorrect,all,0.0653304689312218
sub005,close,correct,fast,0.193315825339467
sub005,close,correct,slow,0.100695930288771
sub005,close,correct,all,0.144447789357852
sub006,open,incorrect,fast,0.144779896540108
sub006,open,incorrect,slow,0.263272145797087
sub006,open,incorrect,all,0.198914057163665
sub006,open,correct,fast,0.257914416216429
sub006,open,correct,slow,0.236564739876231
sub006,open,correct,all,0.23307210640376
sub006,close,incorrect,fast,0.125014066086748
sub006,close,incorrect,slow,0.603697549024168
sub006,close,incorrect,all,0.355252695104476
sub006,close,correct,fast,0.662643289912639
sub006,close,correct,slow,0.623527133951558
sub006,close,correct,all,0.642870894969005
sub007,open,incorrect,fast,-0.155758163818293
sub007,open,incorrect,slow,-0.293888185006792
sub007,open,incorrect,all,-0.230284758619306
sub007,open,correct,fast,0.160564474477861
sub007,open,correct,slow,0.144459458372918
sub007,open,correct,all,0.0905567003255309
sub007,close,incorrect,fast,-0.430331805703203
sub007,close,incorrect,slow,-0.400485223116487
sub007,close,incorrect,all,-0.41512188596409
sub007,close,correct,fast,0.112914021307897
sub007,close,correct,slow,-0.216853086420723
sub007,close,correct,all,-0.0502874964516684
sub008,open,incorrect,fast,0.115873324817287
sub008,open,incorrect,slow,0.328293646786904
sub008,open,incorrect,all,0.181164305330342
sub008,open,correct,fast,-0.0401931623550613
sub008,open,correct,slow,0.275831620307578
sub008,open,correct,all,0.101483456423577
sub008,close,incorrect,fast,1.07315009303397
sub008,close,incorrect,slow,0.260608643559787
sub008,close,incorrect,all,0.746726108555289
sub008,close,correct,fast,0.235379537258324
sub008,close,correct,slow,-0.104337632249619
sub008,close,correct,all,0.0702233738069186
sub009,open,incorrect,fast,-0.0868117146818748
sub009,open,incorrect,slow,0.78072385188396
sub009,open,incorrect,all,0.255286902735068
sub009,open,correct,fast,0.246659840501603
sub009,open,correct,slow,0.349207938241417
sub009,open,correct,all,0.291354174149057
sub009,close,incorrect,fast,0.190432495059204
sub009,close,incorrect,slow,0.55635135023354
sub009,close,incorrect,all,0.350209392000627
sub009,close,correct,fast,0.0657054651973884
sub009,close,correct,slow,0.190222708982505
sub009,close,correct,all,0.118675535343716
sub010,open,incorrect,fast,0.609643218314269
sub010,open,incorrect,slow,0.147482287898169
sub010,open,incorrect,all,0.335098260175473
sub010,open,correct,fast,0.246099382390073
sub010,open,correct,slow,0.406090395567577
sub010,open,correct,all,0.322994587969996
sub010,close,incorrect,fast,0.0801632660670731
sub010,close,incorrect,slow,0.016405060843479
sub010,close,incorrect,all,0.0393119633770822
sub010,close,correct,fast,-0.0125580517869496
sub010,close,correct,slow,0.055266660840977
sub010,close,correct,all,0.024799130461412
sub011,open,incorrect,fast,0.106323827950132
sub011,open,incorrect,slow,0.874964294893669
sub011,open,incorrect,all,0.54419683718679
sub011,open,correct,fast,0.361596297026386
sub011,open,correct,slow,0.190307921762578
sub011,open,correct,all,0.267665506071595
sub011,close,incorrect,fast,-0.173680843747495
sub011,close,incorrect,slow,0.0736892363587245
sub011,close,incorrect,all,-0.070829982797442
sub011,close,correct,fast,-0.0904705843024001
