sub,eye,roi,window,compare,cond,value
sub001,open,Brodmann area 17,stim500pre,accuracy,correct,0.251886741456864
sub001,open,Brodmann area 17,stim500pre,accuracy,incorrect,0.579249311782197
sub001,open,Brodmann area 17,stim500pre,accuracy_e,correct_e,0.334279951031098
sub001,open,Brodmann area 17,stim500pre,accuracy_e,incorrect_e,0.579249311782197
sub001,open,Brodmann area 17,stim500pre,rt,fast,0.186303273960183
sub001,open,Brodmann area 17,stim500pre,rt,slow,0.32838426659681
sub001,open,Brodmann area 18,stim500pre,accuracy,correct,0.367457343541486
sub001,open,Brodmann area 18,stim500pre,accuracy,incorrect,-0.104375408972398
sub001,open,Brodmann area 18,stim500pre,accuracy_e,correct_e,0.268355794742177
sub001,open,Brodmann area 18,stim500pre,accuracy_e,incorrect_e,-0.104375408972398
sub001,open,Brodmann area 18,stim500pre,rt,fast,0.409551338746375
sub001,open,Brodmann area 18,stim500pre,rt,slow,0.396191673127387
sub001,open,Brodmann area 19,stim500pre,accuracy,correct,0.232027687976178
sub001,open,Brodmann area 19,stim500pre,accuracy,incorrect,0.124274936123285
sub001,open,Brodmann area 19,stim500pre,accuracy_e,correct_e,0.120404368273443
sub001,open,Brodmann area 19,stim500pre,accuracy_e,incorrect_e,0.124274936123285
sub001,open,Brodmann area 19,stim500pre,rt,fast,0.244722761904877
sub001,open,Brodmann area 19,stim500pre,rt,slow,0.239728270356021
sub001,closed,Brodmann area 17,stim500pre,accuracy,correct,-0.162084759409569
sub001,closed,Brodmann area 17,stim500pre,accuracy,incorrect,-0.195720224162753
sub001,closed,Brodmann area 17,stim500pre,accuracy_e,correct_e,0.146211524322968
sub001,closed,Brodmann area 17,stim500pre,accuracy_e,incorrect_e,-0.195720224162753
sub001,closed,Brodmann area 17,stim500pre,rt,fast,-0.166151701627111
sub001,closed,Brodmann area 17,stim500pre,rt,slow,-0.154930604119284
sub001,closed,Brodmann area 18,stim500pre,accuracy,correct,-0.0320759130000148
sub001,closed,Brodmann area 18,stim500pre,accuracy,incorrect,0.371386411644126
sub001,closed,Brodmann area 18,stim500pre,accuracy_e,correct_e,0.348252115630234
sub001,closed,Brodmann area 18,stim500pre,accuracy_e,incorrect_e,0.371386411644126
sub001,closed,Brodmann area 18,stim500pre,rt,fast,-0.0647155093075672
sub001,closed,Brodmann area 18,stim500pre,rt,slow,-0.00131855720368252
sub001,closed,Brodmann area 19,stim500pre,accuracy,correct,-0.124229008107653
sub001,closed,Brodmann area 19,stim500pre,accuracy,incorrect,0.261786499093502
sub001,closed,Brodmann area 19,stim500pre,accuracy_e,correct_e,0.182457946860604
sub001,closed,Brodmann area 19,stim500pre,accuracy_e,incorrect_e,0.261786499093502
sub001,closed,Brodmann area 19,stim500pre,rt,fast,-0.0459267558815397
sub001,closed,Brodmann area 19,stim500pre,rt,slow,-0.199769784004097
sub002,open,Brodmann area 17,stim500pre,accuracy,correct,-0.12290866986336
sub002,open,Brodmann area 17,stim500pre,accuracy,incorrect,-0.160160072411563
sub002,open,Brodmann area 17,stim500pre,accuracy_e,correct_e,-0.302783829174698
sub002,open,Brodmann area 17,stim500pre,accuracy_e,incorrect_e,-0.160160072411563
sub002,open,Brodmann area 17,stim500pre,rt,fast,-0.0564314612355002
sub002,open,Brodmann area 17,stim500pre,rt,slow,-0.174828145095103
sub002,open,Brodmann area 18,stim500pre,accuracy,correct,-0.289445530661789
sub002,open,Brodmann area 18,stim500pre,accuracy,incorrect,-0.256442439172672
sub002,open,Brodmann area 18,stim500pre,accuracy_e,correct_e,-0.379072857543962
sub002,open,Brodmann area 18,stim500pre,accuracy_e,incorrect_e,-0.256442439172672
sub002,open,Brodmann area 18,stim500pre,rt,fast,-0.306764473142734
sub002,open,Brodmann area 18,stim500pre,rt,slow,-0.261995379763137
sub002,open,Brodmann area 19,stim500pre,accuracy,correct,-0.0771205008117379
sub002,open,Brodmann area 19,stim500pre,accuracy,incorrect,0.0943469954152796
sub002,open,Brodmann area 19,stim500pre,accuracy_e,correct_e,0.203335184530764
sub002,open,Brodmann area 19,stim500pre,accuracy_e,incorrect_e,0.0943469954152796
sub002,open,Brodmann area 19,stim500pre,rt,fast,-0.0847649097965962
sub002,open,Brodmann area 19,stim500pre,rt,slow,-0.0664884315483013
sub002,closed,Brodmann area 17,stim500pre,accuracy,correct,0.508411897443779
sub002,closed,Brodmann area 17,stim500pre,accuracy,incorrect,0.765437043331682
sub002,closed,Brodmann area 17,stim500pre,accuracy_e,correct_e,0.340139220116082
sub002,closed,Brodmann area 17,stim500pre,accuracy_e,incorrect_e,0.765437043331682
sub002,closed,Brodmann area 17,stim500pre,rt,fast,0.64901167438891
sub002,closed,Brodmann area 17,stim500pre,rt,slow,0.424198685506241
sub002,closed,Brodmann area 18,stim500pre,accuracy,correct,0.268841115767221
sub002,closed,Brodmann area 18,stim500pre,accuracy,incorrect,0.631484907252715
sub002,closed,Brodmann area 18,stim500pre,accuracy_e,correct_e,0.225265882837508
sub002,closed,Brodmann area 18,stim500pre,accuracy_e,incorrect_e,0.631484907252715
sub002,closed,Brodmann area 18,stim500pre,rt,fast,0.20728832139496
sub002,closed,Brodmann area 18,stim500pre,rt,slow,0.31439333080236
sub002,closed,Brodmann area 19,stim500pre,accuracy,correct,0.187340669039087
sub002,closed,Brodmann area 19,stim500pre,accuracy,incorrect,-0.000182814352120158
sub002,closed,Brodmann area 19,stim500pre,accuracy_e,correct_e,0.252148273067982
sub002,closed,Brodmann area 19,stim500pre,accuracy_e,incorrect_e,-0.000182814352120158
sub002,closed,Brodmann area 19,stim500pre,rt,fast,0.207836339677905
sub002,closed,Brodmann area 19,stim500pre,rt,slow,0.172895564189137
sub003,open,Brodmann area 17,stim500pre,accuracy,correct,0.0147178844770511
sub003,open,Brodmann area 17,stim500pre,accuracy,incorrect,0.583163509936875
sub003,open,Brodmann area 17,stim500pre,accuracy_e,correct_e,-0.143669822624449
sub003,open,Brodmann area 17,stim500pre,accuracy_e,incorrect_e,0.583163509936875
sub003,open,Brodmann area 17,stim500pre,rt,fast,0.107196495636788
sub003,open,Brodmann area 17,stim500pre,rt,slow,-0.0412952247312451
sub003,open,Brodmann area 18,stim500pre,accuracy,correct,0.216757980857718
sub003,open,Brodmann area 18,stim500pre,accuracy,incorrect,0.281703858967704
sub003,open,Brodmann area 18,stim500pre,accuracy_e,correct_e,0.00641317661840245
sub003,open,Brodmann area 18,stim500pre,accuracy_e,incorrect_e,0.281703858967704
sub003,open,Brodmann area 18,stim500pre,rt,fast,0.367812650665211
sub003,open,Brodmann area 18,stim500pre,rt,slow,0.119205140420538
sub003,open,Brodmann area 19,stim500pre,accuracy,correct,0.408131685645687
sub003,open,Brodmann area 19,stim500pre,accuracy,incorrect,0.0977608473031494
sub003,open,Brodmann area 19,stim500pre,accuracy_e,correct_e,0.37374288249204
sub003,open,Brodmann area 19,stim500pre,accuracy_e,incorrect_e,0.0977608473031494
sub003,open,Brodmann area 19,stim500pre,rt,fast,0.588783190611361
sub003,open,Brodmann area 19,stim500pre,rt,slow,0.285234505629259
sub003,closed,Brodmann area 17,stim500pre,accuracy,correct,0.239730562203801
sub003,closed,Brodmann area 17,stim500pre,accuracy,incorrect,-0.209334160961456
sub003,closed,Brodmann area 17,stim500pre,accuracy_e,correct_e,0.0344852184108402
sub003,closed,Brodmann area 17,stim500pre,accuracy_e,incorrect_e,-0.209334160961456
sub003,closed,Brodmann area 17,stim500pre,rt,fast,0.0833088985293126
sub003,closed,Brodmann area 17,stim500pre,rt,slow,0.388039496394524
sub003,closed,Brodmann area 18,stim500pre,accuracy,correct,0.159839793778868
sub003,closed,Brodmann area 18,stim500pre,accuracy,incorrect,-0.0847116654362682
sub003,closed,Brodmann area 18,stim500pre,accuracy_e,correct_e,-0.0922652309400107
sub003,closed,Brodmann area 18,stim500pre,accuracy_e,incorrect_e,-0.0847116654362682
sub003,closed,Brodmann area 18,stim500pre,rt,fast,0.0440386212926897
sub003,closed,Brodmann area 18,stim500pre,rt,slow,0.266514750336415
sub003,closed,Brodmann area 19,stim500pre,accuracy,correct,-0.0193441996325926
sub003,closed,Brodmann area 19,stim500pre,accuracy,incorrect,-0.228384300958435
sub003,closed,Brodmann area 19,stim500pre,accuracy_e,correct_e,-0.0946191647702294
sub003,closed,Brodmann area 19,stim500pre,accuracy_e,incorrect_e,-0.228384300958435
sub003,closed,Brodmann area 19,stim500pre,rt,fast,0.135171040878311
sub003,closed,Brodmann area 19,stim500pre,rt,slow,-0.14696727844166
sub004,open,Brodmann area 17,stim500pre,accuracy,correct,0.286688401283752
sub004,open,Brodmann area 17,stim500pre,accuracy,incorrect,0.573634868743388
sub004,open,Brodmann area 17,stim500pre,accuracy_e,correct_e,0.457846686601571
sub004,open,Brodmann area 17,stim500pre,accuracy_e,incorrect_e,0.573634868743388
sub004,open,Brodmann area 17,stim500pre,rt,fast,0.322397693405647
sub004,open,Brodmann area 17,stim500pre,rt,slow,0.239011179841758
sub004,open,Brodmann area 18,stim500pre,accuracy,correct,0.492082294232789
sub004,open,Brodmann area 18,stim500pre,accuracy,incorrect,0.40849934546481
sub004,open,Brodmann area 18,stim500pre,accuracy_e,correct_e,0.868561296685495
sub004,open,Brodmann area 18,stim500pre,accuracy_e,incorrect_e,0.40849934546481
sub004,open,Brodmann area 18,stim500pre,rt,fast,0.590522050714982
sub004,open,Brodmann area 18,stim500pre,rt,slow,0.358083036532711
sub004,open,Brodmann area 19,stim500pre,accuracy,correct,-0.00323346195540323
sub004,open,Brodmann area 19,stim500pre,accuracy,incorrect,0.272526200879166
sub004,open,Brodmann area 19,stim500pre,accuracy_e,correct_e,-0.161061668466622
sub004,open,Brodmann area 19,stim500pre,accuracy_e,incorrect_e,0.272526200879166
sub004,open,Brodmann area 19,stim500pre,rt,fast,0.149864274423422
sub004,open,Brodmann area 19,stim500pre,rt,slow,-0.148584923430766
sub004,closed,Brodmann area 17,stim500pre,accuracy,correct,0.36577558447042
sub004,closed,Brodmann area 17,stim500pre,accuracy,incorrect,0.151789507533115
sub004,closed,Brodmann area 17,stim500pre,accuracy_e,correct_e,0.178535708553064
sub004,closed,Brodmann area 17,stim500pre,accuracy_e,incorrect_e,0.151789507533115
sub004,closed,Brodmann area 17,stim500pre,rt,fast,0.422550075091111
sub004,closed,Brodmann area 17,stim500pre,rt,slow,0.307523611167269
sub004,closed,Brodmann area 18,stim500pre,accuracy,correct,0.186363617765331
sub004,closed,Brodmann area 18,stim500pre,accuracy,incorrect,0.0502510439126848
sub004,closed,Brodmann area 18,stim500pre,accuracy_e,correct_e,0.00871981151983444
sub004,closed,Brodmann area 18,stim500pre,accuracy_e,incorrect_e,0.0502510439126848
sub004,closed,Brodmann area 18,stim500pre,rt,fast,0.209895285776988
sub004,closed,Brodmann area 18,stim500pre,rt,slow,0.184989894884076
sub004,closed,Brodmann area 19,stim500pre,accuracy,correct,0.0847710800134427
sub004,closed,Brodmann area 19,stim500pre,accuracy,incorrect,0.0151981229624061
sub004,closed,Brodmann area 19,stim500pre,accuracy_e,correct_e,-0.16593722074373
sub004,closed,Brodmann area 19,stim500pre,accuracy_e,incorrect_e,0.0151981229624061
sub004,closed,Brodmann area 19,stim500pre,rt,fast,0.229469880573221
sub004,closed,Brodmann area 19,stim500pre,rt,slow,-0.038103781847277
sub005,open,Brodmann area 17,stim500pre,accuracy,correct,0.0911723865697528
sub005,open,Brodmann area 17,stim500pre,accuracy,incorrect,-0.169498414097252
sub005,open,Brodmann area 17,stim500pre,accuracy_e,correct_e,0.0840041688974908
sub005,open,Brodmann area 17,stim500pre,accuracy_e,incorrect_e,-0.169498414097252
sub005,open,Brodmann area 17,stim500pre,rt,fast,3.01694860059476e-06
sub005,open,Brodmann area 17,stim500pre,rt,slow,0.195138119399309
sub005,open,Brodmann area 18,stim500pre,accuracy,correct,0.225774720853578
sub005,open,Brodmann area 18,stim500pre,accuracy,incorrect,-0.0490287973647807
sub005,open,Brodmann area 18,stim500pre,accuracy_e,correct_e,0.26445719661484
sub005,open,Brodmann area 18,stim500pre,accuracy_e,incorrect_e,-0.0490287973647807
sub005,open,Brodmann area 18,stim500pre,rt,fast,0.113196979811574
sub005,open,Brodmann area 18,stim500pre,rt,slow,0.363217816893177
sub005,open,Brodmann area 19,stim500pre,accuracy,correct,0.240565055242084
sub005,open,Brodmann area 19,stim500pre,accuracy,incorrect,-0.0361363461096709
sub005,open,Brodmann area 19,stim500pre,accuracy_e,correct_e,0.407976967263825
sub005,open,Brodmann area 19,stim500pre,accuracy_e,incorrect_e,-0.0361363461096709
sub005,open,Brodmann area 19,stim500pre,rt,fast,0.273715412580417
sub005,open,Brodmann area 19,stim500pre,rt,slow,0.208068875913775
sub005,closed,Brodmann area 17,stim500pre,accuracy,correct,-0.459434542406975
sub005,closed,Brodmann area 17,stim500pre,accuracy,incorrect,-0.3746500290415
sub005,closed,Brodmann area 17,stim500pre,accuracy_e,correct_e,-0.483133251146924
sub005,closed,Brodmann area 17,stim500pre,accuracy_e,incorrect_e,-0.3746500290415
sub005,closed,Brodmann area 17,stim500pre,rt,fast,-0.447285708533013
sub005,closed,Brodmann area 17,stim500pre,rt,slow,-0.47847416404532
sub005,closed,Brodmann area 18,stim500pre,accuracy,correct,-0.467881632177182
sub005,closed,Brodmann area 18,stim500pre,accuracy,incorrect,-0.410414229930174
sub005,closed,Brodmann area 18,stim500pre,accuracy_e,correct_e,-0.421503425983353
sub005,closed,Brodmann area 18,stim500pre,accuracy_e,incorrect_e,-0.410414229930174
sub005,closed,Brodmann area 18,stim500pre,rt,fast,-0.438109450561127
sub005,closed,Brodmann area 18,stim500pre,rt,slow,-0.503258183098482
sub005,closed,Brodmann area 19,stim500pre,accuracy,correct,-0.226052632993038
sub005,closed,Brodmann area 19,stim500pre,accuracy,incorrect,-0.0996170030649527
sub005,closed,Brodmann area 19,stim500pre,accuracy_e,correct_e,-0.265647382718598
sub005,closed,Brodmann area 19,stim500pre,accuracy_e,incorrect_e,-0.0996170030649527
sub005,closed,Brodmann area 19,stim500pre,rt,fast,-0.225843967996001
sub005,closed,Brodmann area 19,stim500pre,rt,slow,-0.221557145497959
sub006,open,Brodmann area 17,stim500pre,accuracy,correct,0.13216701510481
sub006,open,Brodmann area 17,stim500pre,accuracy,incorrect,0.286116740565269
sub006,open,Brodmann area 17,stim500pre,accuracy_e,correct_e,0.151167654951541
