sub,eye,roi,window,compare,cond,value
sub001,open,Brodmann area 17,stim500pre,accuracy,correct,0.251886741456864
sub001,open,Brodmann area 17,stim500pre,accuracy,incorrect,0.579249311782197
sub001,open,Brodmann area 17,stim500pre,accuracy_e,correct_e,0.555291083237844
sub001,open,Brodmann area 17,stim500pre,accuracy_e,incorrect_e,0.579249311782197
sub001,open,Brodmann area 17,stim500pre,rt,fast,0.186303273960183
sub001,open,Brodmann area 17,stim500pre,rt,slow,0.32838426659681
sub001,open,Brodmann area 18,stim500pre,accuracy,correct,0.367457343541486
sub001,open,Brodmann area 18,stim500pre,accuracy,incorrect,-0.104375408972398
sub001,open,Brodmann area 18,stim500pre,accuracy_e,correct_e,0.089414755974786
sub001,open,Brodmann area 18,stim500pre,accuracy_e,incorrect_e,-0.104375408972398
sub001,open,Brodmann area 18,stim500pre,rt,fast,0.409551338746375
sub001,open,Brodmann area 18,stim500pre,rt,slow,0.396191673127387
sub001,open,Brodmann area 19,stim500pre,accuracy,correct,0.232027687976178
sub001,open,Brodmann area 19,stim500pre,accuracy,incorrect,0.124274936123285
sub001,open,Brodmann area 19,stim500pre,accuracy_e,correct_e,-0.181326056804493
sub001,open,Brodmann area 19,stim500pre,accuracy_e,incorrect_e,0.124274936123285
sub001,open,Brodmann area 19,stim500pre,rt,fast,0.244722761904877
sub001,open,Brodmann area 19,stim500pre,rt,slow,0.239728270356021
sub001,closed,Brodmann area 17,stim500pre,accuracy,correct,-0.162084759409569
sub001,closed,Brodmann area 17,stim500pre,accuracy,incorrect,-0.195720224162753
sub001,closed,Brodmann area 17,stim500pre,accuracy_e,correct_e,0.0115514710453515
sub001,closed,Brodmann area 17,stim500pre,accuracy_e,incorrect_e,-0.195720224162753
sub001,closed,Brodmann area 17,stim500pre,rt,fast,-0.166151701627111
sub001,closed,Brodmann area 17,stim500pre,rt,slow,-0.154930604119284
sub001,closed,Brodmann area 18,stim500pre,accuracy,correct,-0.0320759130000148
sub001,closed,Brodmann area 18,stim500pre,accuracy,incorrect,0.371386411644126
sub001,closed,Brodmann area 18,stim500pre,accuracy_e,correct_e,0.233583291342851
sub001,closed,Brodmann area 18,stim500pre,accuracy_e,incorrect_e,0.371386411644126
sub001,closed,Brodmann area 18,stim500pre,rt,fast,-0.0647155093075672
sub001,closed,Brodmann area 18,stim500pre,rt,slow,-0.00131855720368252
sub001,closed,Brodmann area 19,stim500pre,accuracy,correct,-0.124229008107653
sub001,closed,Brodmann area 19,stim500pre,accuracy,incorrect,0.261786499093502
sub001,closed,Brodmann area 19,stim500pre,accuracy_e,correct_e,0.203974707319793
sub001,closed,Brodmann area 19,stim500pre,accuracy_e,incorrect_e,0.261786499093502
sub001,closed,Brodmann area 19,stim500pre,rt,fast,-0.0459267558815397
sub001,closed,Brodmann area 19,stim500pre,rt,slow,-0.199769784004097
sub002,open,Brodmann area 17,stim500pre,accuracy,correct,-0.190218111061464
sub002,open,Brodmann area 17,stim500pre,accuracy,incorrect,-0.204736342162937
sub002,open,Brodmann area 17,stim500pre,accuracy_e,correct_e,0.0533401671246646
sub002,open,Brodmann area 17,stim500pre,accuracy_e,incorrect_e,-0.204736342162937
sub002,open,Brodmann area 17,stim500pre,rt,fast,-0.159750457686843
sub002,open,Brodmann area 17,stim500pre,rt,slow,-0.212173808162796
sub002,open,Brodmann area 18,stim500pre,accuracy,correct,-0.286791078421739
sub002,open,Brodmann area 18,stim500pre,accuracy,incorrect,-0.232468619755743
sub002,open,Brodmann area 18,stim500pre,accuracy_e,correct_e,-0.176930939680878
sub002,open,Brodmann area 18,stim500pre,accuracy_e,incorrect_e,-0.232468619755743
sub002,open,Brodmann area 18,stim500pre,rt,fast,-0.33566111877611
sub002,open,Brodmann area 18,stim500pre,rt,slow,-0.223748948067253
sub002,open,Brodmann area 19,stim500pre,accuracy,correct,-0.133591726880098
sub002,open,Brodmann area 19,stim500pre,accuracy,incorrect,-0.165645847217158
sub002,open,Brodmann area 19,stim500pre,accuracy_e,correct_e,-0.2075362625713
sub002,open,Brodmann area 19,stim500pre,accuracy_e,incorrect_e,-0.165645847217158
sub002,open,Brodmann area 19,stim500pre,rt,fast,-0.161495901963108
sub002,open,Brodmann area 19,stim500pre,rt,slow,-0.10656898324509
sub002,closed,Brodmann area 17,stim500pre,accuracy,correct,0.508411897443779
sub002,closed,Brodmann area 17,stim500pre,accuracy,incorrect,0.765437043331682
sub002,closed,Brodmann area 17,stim500pre,accuracy_e,correct_e,0.510500214467965
sub002,closed,Brodmann area 17,stim500pre,accuracy_e,incorrect_e,0.765437043331682
sub002,closed,Brodmann area 17,stim500pre,rt,fast,0.64901167438891
sub002,closed,Brodmann area 17,stim500pre,rt,slow,0.424198685506241
sub002,closed,Brodmann area 18,stim500pre,accuracy,correct,0.268841115767221
sub002,closed,Brodmann area 18,stim500pre,accuracy,incorrect,0.631484907252715
sub002,closed,Brodmann area 18,stim500pre,accuracy_e,correct_e,0.291928732640568
sub002,closed,Brodmann area 18,stim500pre,accuracy_e,incorrect_e,0.631484907252715
sub002,closed,Brodmann area 18,stim500pre,rt,fast,0.20728832139496
sub002,closed,Brodmann area 18,stim500pre,rt,slow,0.31439333080236
sub002,closed,Brodmann area 19,stim500pre,accuracy,correct,0.187340669039087
sub002,closed,Brodmann area 19,stim500pre,accuracy,incorrect,-0.000182814352120158
sub002,closed,Brodmann area 19,stim500pre,accuracy_e,correct_e,0.0788188234617852
sub002,closed,Brodmann area 19,stim500pre,accuracy_e,incorrect_e,-0.000182814352120158
sub002,closed,Brodmann area 19,stim500pre,rt,fast,0.207836339677905
sub002,closed,Brodmann area 19,stim500pre,rt,slow,0.172895564189137
sub003,open,Brodmann area 17,stim500pre,accuracy,correct,0.0147178844770511
sub003,open,Brodmann area 17,stim500pre,accuracy,incorrect,0.583163509936875
sub003,open,Brodmann area 17,stim500pre,accuracy_e,correct_e,-0.105759597614282
sub003,open,Brodmann area 17,stim500pre,accuracy_e,incorrect_e,0.583163509936875
sub003,open,Brodmann area 17,stim500pre,rt,fast,0.107196495636788
sub003,open,Brodmann area 17,stim500pre,rt,slow,-0.0412952247312451
sub003,open,Brodmann area 18,stim500pre,accuracy,correct,0.216757980857718
sub003,open,Brodmann area 18,stim500pre,accuracy,incorrect,0.281703858967704
sub003,open,Brodmann area 18,stim500pre,accuracy_e,correct_e,0.069516114836482
sub003,open,Brodmann area 18,stim500pre,accuracy_e,incorrect_e,0.281703858967704
sub003,open,Brodmann area 18,stim500pre,rt,fast,0.367812650665211
sub003,open,Brodmann area 18,stim500pre,rt,slow,0.119205140420538
sub003,open,Brodmann area 19,stim500pre,accuracy,correct,0.408131685645687
sub003,open,Brodmann area 19,stim500pre,accuracy,incorrect,0.0977608473031494
sub003,open,Brodmann area 19,stim500pre,accuracy_e,correct_e,0.461992994734485
sub003,open,Brodmann area 19,stim500pre,accuracy_e,incorrect_e,0.0977608473031494
sub003,open,Brodmann area 19,stim500pre,rt,fast,0.588783190611361
sub003,open,Brodmann area 19,stim500pre,rt,slow,0.285234505629259
sub003,closed,Brodmann area 17,stim500pre,accuracy,correct,0.117992735719413
sub003,closed,Brodmann area 17,stim500pre,accuracy,incorrect,-0.19369268494533
sub003,closed,Brodmann area 17,stim500pre,accuracy_e,correct_e,0.329073442501503
sub003,closed,Brodmann area 17,stim500pre,accuracy_e,incorrect_e,-0.19369268494533
sub003,closed,Brodmann area 17,stim500pre,rt,fast,-0.0406569638157545
sub003,closed,Brodmann area 17,stim500pre,rt,slow,0.272278945315186
sub003,closed,Brodmann area 18,stim500pre,accuracy,correct,0.0727983549042765
sub003,closed,Brodmann area 18,stim500pre,accuracy,incorrect,-0.136555920408346
sub003,closed,Brodmann area 18,stim500pre,accuracy_e,correct_e,0.274208134804304
sub003,closed,Brodmann area 18,stim500pre,accuracy_e,incorrect_e,-0.136555920408346
sub003,closed,Brodmann area 18,stim500pre,rt,fast,-0.0595740279767721
sub003,closed,Brodmann area 18,stim500pre,rt,slow,0.204101066010986
sub003,closed,Brodmann area 19,stim500pre,accuracy,correct,-0.0555693231324454
sub003,closed,Brodmann area 19,stim500pre,accuracy,incorrect,-0.144093141892675
sub003,closed,Brodmann area 19,stim500pre,accuracy_e,correct_e,-0.142057656781009
sub003,closed,Brodmann area 19,stim500pre,accuracy_e,incorrect_e,-0.144093141892675
sub003,closed,Brodmann area 19,stim500pre,rt,fast,0.025793068581564
sub003,closed,Brodmann area 19,stim500pre,rt,slow,-0.125118539052862
sub004,open,Brodmann area 17,stim500pre,accuracy,correct,0.286688401283752
sub004,open,Brodmann area 17,stim500pre,accuracy,incorrect,0.573634868743388
sub004,open,Brodmann area 17,stim500pre,accuracy_e,correct_e,0.506377217177813
sub004,open,Brodmann area 17,stim500pre,accuracy_e,incorrect_e,0.573634868743388
sub004,open,Brodmann area 17,stim500pre,rt,fast,0.322397693405647
sub004,open,Brodmann area 17,stim500pre,rt,slow,0.239011179841758
sub004,open,Brodmann area 18,stim500pre,accuracy,correct,0.492082294232789
sub004,open,Brodmann area 18,stim500pre,accuracy,incorrect,0.40849934546481
sub004,open,Brodmann area 18,stim500pre,accuracy_e,correct_e,0.48728055867092
sub004,open,Brodmann area 18,stim500pre,accuracy_e,incorrect_e,0.40849934546481
sub004,open,Brodmann area 18,stim500pre,rt,fast,0.590522050714982
sub004,open,Brodmann area 18,stim500pre,rt,slow,0.358083036532711
sub004,open,Brodmann area 19,stim500pre,accuracy,correct,-0.00323346195540323
sub004,open,Brodmann area 19,stim500pre,accuracy,incorrect,0.272526200879166
sub004,open,Brodmann area 19,stim500pre,accuracy_e,correct_e,-0.148541530527411
sub004,open,Brodmann area 19,stim500pre,accuracy_e,incorrect_e,0.272526200879166
sub004,open,Brodmann area 19,stim500pre,rt,fast,0.149864274423422
sub004,open,Brodmann area 19,stim500pre,rt,slow,-0.148584923430766
sub004,closed,Brodmann area 17,stim500pre,accuracy,correct,0.36577558447042
sub004,closed,Brodmann area 17,stim500pre,accuracy,incorrect,0.151789507533115
sub004,closed,Brodmann area 17,stim500pre,accuracy_e,correct_e,0.424991375736735
sub004,closed,Brodmann area 17,stim500pre,accuracy_e,incorrect_e,0.151789507533115
sub004,closed,Brodmann area 17,stim500pre,rt,fast,0.422550075091111
sub004,closed,Brodmann area 17,stim500pre,rt,slow,0.307523611167269
sub004,closed,Brodmann area 18,stim500pre,accuracy,correct,0.186363617765331
sub004,closed,Brodmann area 18,stim500pre,accuracy,incorrect,0.0502510439126848
sub004,closed,Brodmann area 18,stim500pre,accuracy_e,correct_e,0.369890552386053
sub004,closed,Brodmann area 18,stim500pre,accuracy_e,incorrect_e,0.0502510439126848
sub004,closed,Brodmann area 18,stim500pre,rt,fast,0.209895285776988
sub004,closed,Brodmann area 18,stim500pre,rt,slow,0.184989894884076
sub004,closed,Brodmann area 19,stim500pre,accuracy,correct,0.0847710800134427
sub004,closed,Brodmann area 19,stim500pre,accuracy,incorrect,0.0151981229624061
sub004,closed,Brodmann area 19,stim500pre,accuracy_e,correct_e,0.684227443936611
sub004,closed,Brodmann area 19,stim500pre,accuracy_e,incorrect_e,0.0151981229624061
sub004,closed,Brodmann area 19,stim500pre,rt,fast,0.229469880573221
sub004,closed,Brodmann area 19,stim500pre,rt,slow,-0.038103781847277
sub005,open,Brodmann area 17,stim500pre,accuracy,correct,0.0911723865697528
sub005,open,Brodmann area 17,stim500pre,accuracy,incorrect,-0.169498414097252
sub005,open,Brodmann area 17,stim500pre,accuracy_e,correct_e,0.24172971140149
sub005,open,Brodmann area 17,stim500pre,accuracy_e,incorrect_e,-0.169498414097252
sub005,open,Brodmann area 17,stim500pre,rt,fast,3.01694860059476e-06
sub005,open,Brodmann area 17,stim500pre,rt,slow,0.195138119399309
sub005,open,Brodmann area 18,stim500pre,accuracy,correct,0.225774720853578
sub005,open,Brodmann area 18,stim500pre,accuracy,incorrect,-0.0490287973647807
sub005,open,Brodmann area 18,stim500pre,accuracy_e,correct_e,0.360174662850444
sub005,open,Brodmann area 18,stim500pre,accuracy_e,incorrect_e,-0.0490287973647807
sub005,open,Brodmann area 18,stim500pre,rt,fast,0.113196979811574
sub005,open,Brodmann area 18,stim500pre,rt,slow,0.363217816893177
sub005,open,Brodmann area 19,stim500pre,accuracy,correct,0.240565055242084
sub005,open,Brodmann area 19,stim500pre,accuracy,incorrect,-0.0361363461096709
sub005,open,Brodmann area 19,stim500pre,accuracy_e,correct_e,0.340838384846798
sub005,open,Brodmann area 19,stim500pre,accuracy_e,incorrect_e,-0.0361363461096709
sub005,open,Brodmann area 19,stim500pre,rt,fast,0.273715412580417
sub005,open,Brodmann area 19,stim500pre,rt,slow,0.208068875913775
sub005,closed,Brodmann area 17,stim500pre,accuracy,correct,-0.459434542406975
sub005,closed,Brodmann area 17,stim500pre,accuracy,incorrect,-0.3746500290415
sub005,closed,Brodmann area 17,stim500pre,accuracy_e,correct_e,-0.417958364017439
sub005,closed,Brodmann area 17,stim500pre,accuracy_e,incorrect_e,-0.3746500290415
sub005,closed,Brodmann area 17,stim500pre,rt,fast,-0.447285708533013
sub005,closed,Brodmann area 17,stim500pre,rt,slow,-0.47847416404532
sub005,closed,Brodmann area 18,stim500pre,accuracy,correct,-0.467881632177182
sub005,closed,Brodmann area 18,stim500pre,accuracy,incorrect,-0.410414229930174
sub005,closed,Brodmann area 18,stim500pre,accuracy_e,correct_e,-0.47371236544197
sub005,closed,Brodmann area 18,stim500pre,accuracy_e,incorrect_e,-0.410414229930174
sub005,closed,Brodmann area 18,stim500pre,rt,fast,-0.438109450561127
sub005,closed,Brodmann area 18,stim500pre,rt,slow,-0.503258183098482
sub005,closed,Brodmann area 19,stim500pre,accuracy,correct,-0.226052632993038
sub005,closed,Brodmann area 19,stim500pre,accuracy,incorrect,-0.0996170030649527
sub005,closed,Brodmann area 19,stim500pre,accuracy_e,correct_e,-0.289803151589981
sub005,closed,Brodmann area 19,stim500pre,accuracy_e,incorrect_e,-0.0996170030649527
sub005,closed,Brodmann area 19,stim500pre,rt,fast,-0.225843967996001
sub005,closed,Brodmann area 19,stim500pre,rt,slow,-0.221557145497959
sub006,open,Brodmann area 17,stim500pre,accuracy,correct,-0.0194960001895128
sub006,open,Brodmann area 17,stim500pre,accuracy,incorrect,0.232131411887149
sub006,open,Brodmann area 17,stim500pre,accuracy_e,correct_e,-0.184949569000745
