sub,eye,roi,window,compare,cond,value
sub001,open,Brodmann area 17,stim500pre,accuracy,correct,0.122742003245259
sub001,open,Brodmann area 17,stim500pre,accuracy,incorrect,0.213292815427189
sub001,open,Brodmann area 17,stim500pre,accuracy_e,correct_e,0.251141516040206
sub001,open,Brodmann area 17,stim500pre,accuracy_e,incorrect_e,0.213292815427189
sub001,open,Brodmann area 17,stim500pre,rt,fast,0.251063550577557
sub001,open,Brodmann area 17,stim500pre,rt,slow,0.0188251226242688
sub001,open,Brodmann area 18,stim500pre,accuracy,correct,0.21248930569558
sub001,open,Brodmann area 18,stim500pre,accuracy,incorrect,0.47401318708431
sub001,open,Brodmann area 18,stim500pre,accuracy_e,correct_e,0.0601769185552363
sub001,open,Brodmann area 18,stim500pre,accuracy_e,incorrect_e,0.47401318708431
sub001,open,Brodmann area 18,stim500pre,rt,fast,0.254840730312585
sub001,open,Brodmann area 18,stim500pre,rt,slow,0.222949226287482
sub001,open,Brodmann area 19,stim500pre,accuracy,correct,0.0919511667392946
sub001,open,Brodmann area 19,stim500pre,accuracy,incorrect,0.152468229080833
sub001,open,Brodmann area 19,stim500pre,accuracy_e,correct_e,-0.0573713040098832
sub001,open,Brodmann area 19,stim500pre,accuracy_e,incorrect_e,0.152468229080833
sub001,open,Brodmann area 19,stim500pre,rt,fast,0.102547104851702
sub001,open,Brodmann area 19,stim500pre,rt,slow,0.0767715737707709
sub001,closed,Brodmann area 17,stim500pre,accuracy,correct,0.00695737535086791
sub001,closed,Brodmann area 17,stim500pre,accuracy,incorrect,0.019902014614637
sub001,closed,Brodmann area 17,stim500pre,accuracy_e,correct_e,-0.31441628893183
sub001,closed,Brodmann area 17,stim500pre,accuracy_e,incorrect_e,0.019902014614637
sub001,closed,Brodmann area 17,stim500pre,rt,fast,-0.062121637662785
sub001,closed,Brodmann area 17,stim500pre,rt,slow,0.102049670152044
sub001,closed,Brodmann area 18,stim500pre,accuracy,correct,-0.119014047502501
