sub,eye,roi,window,compare,cond,value
sub001,open,Brodmann area 17,stim500pre,accuracy,correct,0.251886741456864
sub001,open,Brodmann area 17,stim500pre,accuracy,incorrect,0.579249311782197
sub001,open,Brodmann area 17,stim500pre,accuracy_e,correct_e,0.492006792071922
sub001,open,Brodmann area 17,stim500pre,accuracy_e,incorrect_e,0.579249311782197
sub001,open,Brodmann area 17,stim500pre,rt,fast,0.186303273960183
sub001,open,Brodmann area 17,stim500pre,rt,slow,0.32838426659681
sub001,open,Brodmann area 18,stim500pre,accuracy,correct,0.367457343541486
sub001,open,Brodmann area 18,stim500pre,accuracy,incorrect,-0.104375408972398
sub001,open,Brodmann area 18,stim500pre,accuracy_e,correct_e,0.388289736346952
sub001,open,Brodmann area 18,stim500pre,accuracy_e,incorrect_e,-0.104375408972398
sub001,open,Brodmann area 18,stim500pre,rt,fast,0.409551338746375
sub001,open,Brodmann area 18,stim500pre,rt,slow,0.396191673127387
sub001,open,Brodmann area 19,stim500pre,accuracy,correct,0.232027687976178
sub001,open,Brodmann area 19,stim500pre,accuracy,incorrect,0.124274936123285
sub001,open,Brodmann area 19,stim500pre,accuracy_e,correct_e,0.413753298518001
sub001,open,Brodmann area 19,stim500pre,accuracy_e,incorrect_e,0.124274936123285
sub001,open,Brodmann area 19,stim500pre,rt,fast,0.244722761904877
sub001,open,Brodmann area 19,stim500pre,rt,slow,0.239728270356021
sub001,closed,Brodmann area 17,stim500pre,accuracy,correct,-0.162084759409569
sub001,closed,Brodmann area 17,stim500pre,accuracy,incorrect,-0.195720224162753
sub001,closed,Brodmann area 17,stim500pre,accuracy_e,correct_e,-0.261334341659969
sub001,closed,Brodmann area 17,stim500pre,accuracy_e,incorrect_e,-0.195720224162753
sub001,closed,Brodmann area 17,stim500pre,rt,fast,-0.166151701627111
sub001,closed,Brodmann area 17,stim500pre,rt,slow,-0.154930604119284
sub001,closed,Brodmann area 18,stim500pre,accuracy,correct,-0.0320759130000148
sub001,closed,Brodmann area 18,stim500pre,accuracy,incorrect,0.371386411644126
sub001,closed,Brodmann area 18,stim500pre,accuracy_e,correct_e,-0.0483438681377457
sub001,closed,Brodmann area 18,stim500pre,accuracy_e,incorrect_e,0.371386411644126
sub001,closed,Brodmann area 18,stim500pre,rt,fast,-0.0647155093075672
sub001,closed,Brodmann area 18,stim500pre,rt,slow,-0.00131855720368252
sub001,closed,Brodmann area 19,stim500pre,accuracy,correct,-0.164590558168557
sub001,closed,Brodmann area 19,stim500pre,accuracy,incorrect,0.0410479695867512
sub001,closed,Brodmann area 19,stim500pre,accuracy_e,correct_e,0.154106078637095
sub001,closed,Brodmann area 19,stim500pre,accuracy_e,incorrect_e,0.0410479695867512
sub001,closed,Brodmann area 19,stim500pre,rt,fast,-0.111194259946106
sub001,closed,Brodmann area 19,stim500pre,rt,slow,-0.218169198568229
sub002,open,Brodmann area 17,stim500pre,accuracy,correct,-0.190218111061464
sub002,open,Brodmann area 17,stim500pre,accuracy,incorrect,-0.204736342162937
sub002,open,Brodmann area 17,stim500pre,accuracy_e,correct_e,-0.199073272583483
sub002,open,Brodmann area 17,stim500pre,accuracy_e,incorrect_e,-0.204736342162937
sub002,open,Brodmann area 17,stim500pre,rt,fast,-0.159750457686843
sub002,open,Brodmann area 17,stim500pre,rt,slow,-0.212173808162796
sub002,open,Brodmann area 18,stim500pre,accuracy,correct,-0.286791078421739
sub002,open,Brodmann area 18,stim500pre,accuracy,incorrect,-0.232468619755743
sub002,open,Brodmann area 18,stim500pre,accuracy_e,correct_e,-0.275656302802661
sub002,open,Brodmann area 18,stim500pre,accuracy_e,incorrect_e,-0.232468619755743
sub002,open,Brodmann area 18,stim500pre,rt,fast,-0.33566111877611
sub002,open,Brodmann area 18,stim500pre,rt,slow,-0.223748948067253
sub002,open,Brodmann area 19,stim500pre,accuracy,correct,-0.169750340488229
sub002,open,Brodmann area 19,stim500pre,accuracy,incorrect,-0.297080757461446
sub002,open,Brodmann area 19,stim500pre,accuracy_e,correct_e,-0.220060494755975
sub002,open,Brodmann area 19,stim500pre,accuracy_e,incorrect_e,-0.297080757461446
sub002,open,Brodmann area 19,stim500pre,rt,fast,-0.226232471119714
sub002,open,Brodmann area 19,stim500pre,rt,slow,-0.117615980666618
sub002,closed,Brodmann area 17,stim500pre,accuracy,correct,0.508411897443779
sub002,closed,Brodmann area 17,stim500pre,accuracy,incorrect,0.765437043331682
sub002,closed,Brodmann area 17,stim500pre,accuracy_e,correct_e,0.444969991083526
sub002,closed,Brodmann area 17,stim500pre,accuracy_e,incorrect_e,0.765437043331682
sub002,closed,Brodmann area 17,stim500pre,rt,fast,0.64901167438891
sub002,closed,Brodmann area 17,stim500pre,rt,slow,0.424198685506241
sub002,closed,Brodmann area 18,stim500pre,accuracy,correct,0.268841115767221
sub002,closed,Brodmann area 18,stim500pre,accuracy,incorrect,0.631484907252715
sub002,closed,Brodmann area 18,stim500pre,accuracy_e,correct_e,0.0772797774210752
sub002,closed,Brodmann area 18,stim500pre,accuracy_e,incorrect_e,0.631484907252715
sub002,closed,Brodmann area 18,stim500pre,rt,fast,0.20728832139496
sub002,closed,Brodmann area 18,stim500pre,rt,slow,0.31439333080236
sub002,closed,Brodmann area 19,stim500pre,accuracy,correct,0.130163352302512
sub002,closed,Brodmann area 19,stim500pre,accuracy,incorrect,-0.0815977101395214
sub002,closed,Brodmann area 19,stim500pre,accuracy_e,correct_e,0.183429601819902
sub002,closed,Brodmann area 19,stim500pre,accuracy_e,incorrect_e,-0.0815977101395214
sub002,closed,Brodmann area 19,stim500pre,rt,fast,0.192516731006393
sub002,closed,Brodmann area 19,stim500pre,rt,slow,0.0897345251484769
sub003,open,Brodmann area 17,stim500pre,accuracy,correct,0.0147178844770511
sub003,open,Brodmann area 17,stim500pre,accuracy,incorrect,0.583163509936875
sub003,open,Brodmann area 17,stim500pre,accuracy_e,correct_e,-0.0114440093873233
sub003,open,Brodmann area 17,stim500pre,accuracy_e,incorrect_e,0.583163509936875
sub003,open,Brodmann area 17,stim500pre,rt,fast,0.107196495636788
sub003,open,Brodmann area 17,stim500pre,rt,slow,-0.0412952247312451
sub003,open,Brodmann area 18,stim500pre,accuracy,correct,0.216757980857718
sub003,open,Brodmann area 18,stim500pre,accuracy,incorrect,0.281703858967704
sub003,open,Brodmann area 18,stim500pre,accuracy_e,correct_e,0.239661566133427
sub003,open,Brodmann area 18,stim500pre,accuracy_e,incorrect_e,0.281703858967704
sub003,open,Brodmann area 18,stim500pre,rt,fast,0.367812650665211
sub003,open,Brodmann area 18,stim500pre,rt,slow,0.119205140420538
sub003,open,Brodmann area 19,stim500pre,accuracy,correct,0.408131685645687
sub003,open,Brodmann area 19,stim500pre,accuracy,incorrect,0.0977608473031494
sub003,open,Brodmann area 19,stim500pre,accuracy_e,correct_e,0.615896550934371
sub003,open,Brodmann area 19,stim500pre,accuracy_e,incorrect_e,0.0977608473031494
sub003,open,Brodmann area 19,stim500pre,rt,fast,0.588783190611361
sub003,open,Brodmann area 19,stim500pre,rt,slow,0.285234505629259
sub003,closed,Brodmann area 17,stim500pre,accuracy,correct,0.117992735719413
sub003,closed,Brodmann area 17,stim500pre,accuracy,incorrect,-0.19369268494533
sub003,closed,Brodmann area 17,stim500pre,accuracy_e,correct_e,-0.219137651176291
sub003,closed,Brodmann area 17,stim500pre,accuracy_e,incorrect_e,-0.19369268494533
sub003,closed,Brodmann area 17,stim500pre,rt,fast,-0.0406569638157545
sub003,closed,Brodmann area 17,stim500pre,rt,slow,0.272278945315186
sub003,closed,Brodmann area 18,stim500pre,accuracy,correct,0.0727983549042765
sub003,closed,Brodmann area 18,stim500pre,accuracy,incorrect,-0.136555920408346
sub003,closed,Brodmann area 18,stim500pre,accuracy_e,correct_e,-0.0174128054028293
sub003,closed,Brodmann area 18,stim500pre,accuracy_e,incorrect_e,-0.136555920408346
sub003,closed,Brodmann area 18,stim500pre,rt,fast,-0.0595740279767721
sub003,closed,Brodmann area 18,stim500pre,rt,slow,0.204101066010986
sub003,closed,Brodmann area 19,stim500pre,accuracy,correct,-0.0555693231324454
sub003,closed,Brodmann area 19,stim500pre,accuracy,incorrect,-0.144093141892675
sub003,closed,Brodmann area 19,stim500pre,accuracy_e,correct_e,-0.0357427757502457
sub003,closed,Brodmann area 19,stim500pre,accuracy_e,incorrect_e,-0.144093141892675
sub003,closed,Brodmann area 19,stim500pre,rt,fast,0.025793068581564
sub003,closed,Brodmann area 19,stim500pre,rt,slow,-0.125118539052862
sub004,open,Brodmann area 17,stim500pre,accuracy,correct,0.286688401283752
sub004,open,Brodmann area 17,stim500pre,accuracy,incorrect,0.573634868743388
sub004,open,Brodmann area 17,stim500pre,accuracy_e,correct_e,-0.07639609489533
sub004,open,Brodmann area 17,stim500pre,accuracy_e,incorrect_e,0.573634868743388
sub004,open,Brodmann area 17,stim500pre,rt,fast,0.322397693405647
sub004,open,Brodmann area 17,stim500pre,rt,slow,0.239011179841758
sub004,open,Brodmann area 18,stim500pre,accuracy,correct,0.492082294232789
sub004,open,Brodmann area 18,stim500pre,accuracy,incorrect,0.40849934546481
sub004,open,Brodmann area 18,stim500pre,accuracy_e,correct_e,0.156485124153485
sub004,open,Brodmann area 18,stim500pre,accuracy_e,incorrect_e,0.40849934546481
sub004,open,Brodmann area 18,stim500pre,rt,fast,0.590522050714982
sub004,open,Brodmann area 18,stim500pre,rt,slow,0.358083036532711
sub004,open,Brodmann area 19,stim500pre,accuracy,correct,-0.00323346195540323
sub004,open,Brodmann area 19,stim500pre,accuracy,incorrect,0.272526200879166
sub004,open,Brodmann area 19,stim500pre,accuracy_e,correct_e,-0.386058921820146
sub004,open,Brodmann area 19,stim500pre,accuracy_e,incorrect_e,0.272526200879166
sub004,open,Brodmann area 19,stim500pre,rt,fast,0.149864274423422
sub004,open,Brodmann area 19,stim500pre,rt,slow,-0.148584923430766
sub004,closed,Brodmann area 17,stim500pre,accuracy,correct,0.36577558447042
sub004,closed,Brodmann area 17,stim500pre,accuracy,incorrect,0.151789507533115
sub004,closed,Brodmann area 17,stim500pre,accuracy_e,correct_e,0.477466489787601
sub004,closed,Brodmann area 17,stim500pre,accuracy_e,incorrect_e,0.151789507533115
sub004,closed,Brodmann area 17,stim500pre,rt,fast,0.422550075091111
sub004,closed,Brodmann area 17,stim500pre,rt,slow,0.307523611167269
sub004,closed,Brodmann area 18,stim500pre,accuracy,correct,0.186363617765331
sub004,closed,Brodmann area 18,stim500pre,accuracy,incorrect,0.0502510439126848
sub004,closed,Brodmann area 18,stim500pre,accuracy_e,correct_e,0.560568071735879
sub004,closed,Brodmann area 18,stim500pre,accuracy_e,incorrect_e,0.0502510439126848
sub004,closed,Brodmann area 18,stim500pre,rt,fast,0.209895285776988
sub004,closed,Brodmann area 18,stim500pre,rt,slow,0.184989894884076
sub004,closed,Brodmann area 19,stim500pre,accuracy,correct,0.0847710800134427
sub004,closed,Brodmann area 19,stim500pre,accuracy,incorrect,0.0151981229624061
sub004,closed,Brodmann area 19,stim500pre,accuracy_e,correct_e,-0.189735602336863
sub004,closed,Brodmann area 19,stim500pre,accuracy_e,incorrect_e,0.0151981229624061
sub004,closed,Brodmann area 19,stim500pre,rt,fast,0.229469880573221
sub004,closed,Brodmann area 19,stim500pre,rt,slow,-0.038103781847277
sub005,open,Brodmann area 17,stim500pre,accuracy,correct,0.126279516278107
sub005,open,Brodmann area 17,stim500pre,accuracy,incorrect,-0.158594116456196
sub005,open,Brodmann area 17,stim500pre,accuracy_e,correct_e,0.0435201380801874
sub005,open,Brodmann area 17,stim500pre,accuracy_e,incorrect_e,-0.158594116456196
sub005,open,Brodmann area 17,stim500pre,rt,fast,0.0704975813916535
sub005,open,Brodmann area 17,stim500pre,rt,slow,0.190012994205446
sub005,open,Brodmann area 18,stim500pre,accuracy,correct,0.265638909990875
sub005,open,Brodmann area 18,stim500pre,accuracy,incorrect,-0.0629571553249579
sub005,open,Brodmann area 18,stim500pre,accuracy_e,correct_e,0.170292986607166
sub005,open,Brodmann area 18,stim500pre,accuracy_e,incorrect_e,-0.0629571553249579
sub005,open,Brodmann area 18,stim500pre,rt,fast,0.156029524416137
sub005,open,Brodmann area 18,stim500pre,rt,slow,0.394973969430477
sub005,open,Brodmann area 19,stim500pre,accuracy,correct,0.210349721821881
sub005,open,Brodmann area 19,stim500pre,accuracy,incorrect,-0.094843506895556
sub005,open,Brodmann area 19,stim500pre,accuracy_e,correct_e,0.345826603167797
sub005,open,Brodmann area 19,stim500pre,accuracy_e,incorrect_e,-0.094843506895556
sub005,open,Brodmann area 19,stim500pre,rt,fast,0.339383492180463
sub005,open,Brodmann area 19,stim500pre,rt,slow,0.0930050231129523
sub005,closed,Brodmann area 17,stim500pre,accuracy,correct,-0.459434542406975
sub005,closed,Brodmann area 17,stim500pre,accuracy,incorrect,-0.3746500290415
sub005,closed,Brodmann area 17,stim500pre,accuracy_e,correct_e,-0.387519420402453
sub005,closed,Brodmann area 17,stim500pre,accuracy_e,incorrect_e,-0.3746500290415
sub005,closed,Brodmann area 17,stim500pre,rt,fast,-0.447285708533013
sub005,closed,Brodmann area 17,stim500pre,rt,slow,-0.47847416404532
sub005,closed,Brodmann area 18,stim500pre,accuracy,correct,-0.467881632177182
sub005,closed,Brodmann area 18,stim500pre,accuracy,incorrect,-0.410414229930174
sub005,closed,Brodmann area 18,stim500pre,accuracy_e,correct_e,-0.432183786612918
sub005,closed,Brodmann area 18,stim500pre,accuracy_e,incorrect_e,-0.410414229930174
sub005,closed,Brodmann area 18,stim500pre,rt,fast,-0.438109450561127
sub005,closed,Brodmann area 18,stim500pre,rt,slow,-0.503258183098482
sub005,closed,Brodmann area 19,stim500pre,accuracy,correct,-0.226052632993038
sub005,closed,Brodmann area 19,stim500pre,accuracy,incorrect,-0.0996170030649527
sub005,closed,Brodmann area 19,stim500pre,accuracy_e,correct_e,-0.253878622613204
sub005,closed,Brodmann area 19,stim500pre,accuracy_e,incorrect_e,-0.0996170030649527
sub005,closed,Brodmann area 19,stim500pre,rt,fast,-0.225843967996001
sub005,closed,Brodmann area 19,stim500pre,rt,slow,-0.221557145497959
sub006,open,Brodmann area 17,stim500pre,accuracy,correct,-0.135534767118805
sub006,open,Brodmann area 17,stim500pre,accuracy,incorrect,0.122858803268861
