sub,eye,roi,window,compare,cond,value
sub001,open,Brodmann area 17,stim500pre,accuracy,correct,0.206306229384341
sub001,open,Brodmann area 17,stim500pre,accuracy,incorrect,0.701655569690737
sub001,open,Brodmann area 17,stim500pre,accuracy_e,correct_e,-0.216933627427629
sub001,open,Brodmann area 17,stim500pre,accuracy_e,incorrect_e,0.701655569690737
sub001,open,Brodmann area 17,stim500pre,rt,fast,0.271443999688715
sub001,open,Brodmann area 17,stim500pre,rt,slow,0.151822898516527
sub001,open,Brodmann area 18,stim500pre,accuracy,correct,0.327988228802975
sub001,open,Brodmann area 18,stim500pre,accuracy,incorrect,0.696828453835972
sub001,open,Brodmann area 18,stim500pre,accuracy_e,correct_e,0.0737010299271906
sub001,open,Brodmann area 18,stim500pre,accuracy_e,incorrect_e,0.696828453835972
sub001,open,Brodmann area 18,stim500pre,rt,fast,0.396452520459241
sub001,open,Brodmann area 18,stim500pre,rt,slow,0.290265521827286
sub001,open,Brodmann area 19,stim500pre,accuracy,correct,0.0490949360616328
sub001,open,Brodmann area 19,stim500pre,accuracy,incorrect,0.10169830393678
sub001,open,Brodmann area 19,stim500pre,accuracy_e,correct_e,-0.255290161233152
sub001,open,Brodmann area 19,stim500pre,accuracy_e,incorrect_e,0.10169830393678
sub001,open,Brodmann area 19,stim500pre,rt,fast,0.0638205369449868
sub001,open,Brodmann area 19,stim500pre,rt,slow,0.0336633053077125
sub001,closed,Brodmann area 17,stim500pre,accuracy,correct,0.00695737535086791
sub001,closed,Brodmann area 17,stim500pre,accuracy,incorrect,0.019902014614637
sub001,closed,Brodmann area 17,stim500pre,accuracy_e,correct_e,0.357487336632981
sub001,closed,Brodmann area 17,stim500pre,accuracy_e,incorrect_e,0.019902014614637
sub001,closed,Brodmann area 17,stim500pre,rt,fast,-0.062121637662785
sub001,closed,Brodmann area 17,stim500pre,rt,slow,0.102049670152044
sub001,closed,Brodmann area 18,stim500pre,accuracy,correct,-0.119014047502501
sub001,closed,Brodmann area 18,stim500pre,accuracy,incorrect,-0.294880066830096
sub001,closed,Brodmann area 18,stim500pre,accuracy_e,correct_e,-0.118636681135347
sub001,closed,Brodmann area 18,stim500pre,accuracy_e,incorrect_e,-0.294880066830096
sub001,closed,Brodmann area 18,stim500pre,rt,fast,-0.0629693815480934
sub001,closed,Brodmann area 18,stim500pre,rt,slow,-0.163170199196626
sub001,closed,Brodmann area 19,stim500pre,accuracy,correct,-0.283982089776435
sub001,closed,Brodmann area 19,stim500pre,accuracy,incorrect,-0.135417327242519
sub001,closed,Brodmann area 19,stim500pre,accuracy_e,correct_e,-0.630191501520837
sub001,closed,Brodmann area 19,stim500pre,accuracy_e,incorrect_e,-0.135417327242519
sub001,closed,Brodmann area 19,stim500pre,rt,fast,-0.113797999890346
sub001,closed,Brodmann area 19,stim500pre,rt,slow,-0.418656911539764
sub002,open,Brodmann area 17,stim500pre,accuracy,correct,-0.100259925077708
sub002,open,Brodmann area 17,stim500pre,accuracy,incorrect,0.116872996425524
sub002,open,Brodmann area 17,stim500pre,accuracy_e,correct_e,-0.141215190771017
sub002,open,Brodmann area 17,stim500pre,accuracy_e,incorrect_e,0.116872996425524
sub002,open,Brodmann area 17,stim500pre,rt,fast,-0.0499113288464979
sub002,open,Brodmann area 17,stim500pre,rt,slow,-0.13955732443618
sub002,open,Brodmann area 18,stim500pre,accuracy,correct,-0.254359587944197
sub002,open,Brodmann area 18,stim500pre,accuracy,incorrect,0.0805788269070888
sub002,open,Brodmann area 18,stim500pre,accuracy_e,correct_e,-0.36046870666285
sub002,open,Brodmann area 18,stim500pre,accuracy_e,incorrect_e,0.0805788269070888
sub002,open,Brodmann area 18,stim500pre,rt,fast,-0.292777150315597
sub002,open,Brodmann area 18,stim500pre,rt,slow,-0.219433012722717
sub002,open,Brodmann area 19,stim500pre,accuracy,correct,-0.144396435866793
sub002,open,Brodmann area 19,stim500pre,accuracy,incorrect,0.681775111881384
sub002,open,Brodmann area 19,stim500pre,accuracy_e,correct_e,-0.112526995372976
sub002,open,Brodmann area 19,stim500pre,accuracy_e,incorrect_e,0.681775111881384
sub002,open,Brodmann area 19,stim500pre,rt,fast,-0.280948559462111
sub002,open,Brodmann area 19,stim500pre,rt,slow,-0.00653300716786015
sub002,closed,Brodmann area 17,stim500pre,accuracy,correct,0.000745594867592393
sub002,closed,Brodmann area 17,stim500pre,accuracy,incorrect,-0.0122587870400773
sub002,closed,Brodmann area 17,stim500pre,accuracy_e,correct_e,-0.0445689882023403
sub002,closed,Brodmann area 17,stim500pre,accuracy_e,incorrect_e,-0.0122587870400773
sub002,closed,Brodmann area 17,stim500pre,rt,fast,0.257138013607461
sub002,closed,Brodmann area 17,stim500pre,rt,slow,-0.17094106375429
sub002,closed,Brodmann area 18,stim500pre,accuracy,correct,-0.0250556899211165
sub002,closed,Brodmann area 18,stim500pre,accuracy,incorrect,-0.237280961391685
sub002,closed,Brodmann area 18,stim500pre,accuracy_e,correct_e,-0.0911568323271502
sub002,closed,Brodmann area 18,stim500pre,accuracy_e,incorrect_e,-0.237280961391685
sub002,closed,Brodmann area 18,stim500pre,rt,fast,0.184574119957632
sub002,closed,Brodmann area 18,stim500pre,rt,slow,-0.1885118101611
sub002,closed,Brodmann area 19,stim500pre,accuracy,correct,0.041170560104168
sub002,closed,Brodmann area 19,stim500pre,accuracy,incorrect,-0.109076739863253
sub002,closed,Brodmann area 19,stim500pre,accuracy_e,correct_e,0.0486886125732415
sub002,closed,Brodmann area 19,stim500pre,accuracy_e,incorrect_e,-0.109076739863253
sub002,closed,Brodmann area 19,stim500pre,rt,fast,0.184708843461036
sub002,closed,Brodmann area 19,stim500pre,rt,slow,-0.0924067404406591
sub003,open,Brodmann area 17,stim500pre,accuracy,correct,0.177843719141836
sub003,open,Brodmann area 17,stim500pre,accuracy,incorrect,-0.0222717542338052
sub003,open,Brodmann area 17,stim500pre,accuracy_e,correct_e,0.184710543752418
sub003,open,Brodmann area 17,stim500pre,accuracy_e,incorrect_e,-0.0222717542338052
sub003,open,Brodmann area 17,stim500pre,rt,fast,0.287405323827898
sub003,open,Brodmann area 17,stim500pre,rt,slow,0.0599301485884252
sub003,open,Brodmann area 18,stim500pre,accuracy,correct,0.123062640867142
sub003,open,Brodmann area 18,stim500pre,accuracy,incorrect,0.213518922000823
sub003,open,Brodmann area 18,stim500pre,accuracy_e,correct_e,0.33978131498523
sub003,open,Brodmann area 18,stim500pre,accuracy_e,incorrect_e,0.213518922000823
sub003,open,Brodmann area 18,stim500pre,rt,fast,0.299667997445009
sub003,open,Brodmann area 18,stim500pre,rt,slow,-0.0807716622899957
sub003,open,Brodmann area 19,stim500pre,accuracy,correct,0.0236617246252213
sub003,open,Brodmann area 19,stim500pre,accuracy,incorrect,0.10722899464504
sub003,open,Brodmann area 19,stim500pre,accuracy_e,correct_e,0.131419004009367
sub003,open,Brodmann area 19,stim500pre,accuracy_e,incorrect_e,0.10722899464504
sub003,open,Brodmann area 19,stim500pre,rt,fast,0.137647851662246
sub003,open,Brodmann area 19,stim500pre,rt,slow,-0.081854871638536
sub003,closed,Brodmann area 17,stim500pre,accuracy,correct,0.0615235896159689
sub003,closed,Brodmann area 17,stim500pre,accuracy,incorrect,-0.00386311197419382
sub003,closed,Brodmann area 17,stim500pre,accuracy_e,correct_e,0.246712750591107
sub003,closed,Brodmann area 17,stim500pre,accuracy_e,incorrect_e,-0.00386311197419382
sub003,closed,Brodmann area 17,stim500pre,rt,fast,0.173207742498684
sub003,closed,Brodmann area 17,stim500pre,rt,slow,-0.0371761981318568
sub003,closed,Brodmann area 18,stim500pre,accuracy,correct,0.0295161595957017
sub003,closed,Brodmann area 18,stim500pre,accuracy,incorrect,0.0720598802218109
sub003,closed,Brodmann area 18,stim500pre,accuracy_e,correct_e,-0.0830255302574213
sub003,closed,Brodmann area 18,stim500pre,accuracy_e,incorrect_e,0.0720598802218109
