sub,eye,roi,window,compare,cond,value
sub001,open,V1d,stim500pre,accuracy,correct,0.259085658808828
sub001,open,V1d,stim500pre,accuracy,incorrect,0.283186237964755
sub001,open,V1d,stim500pre,accuracy_e,correct_e,-0.0569369547229948
sub001,open,V1d,stim500pre,accuracy_e,incorrect_e,0.283186237964755
sub001,open,V1d,stim500pre,rt,fast,0.345044623999563
sub001,open,V1d,stim500pre,rt,slow,0.202794914885927
sub001,open,V1v,stim500pre,accuracy,correct,0.129709675518388
sub001,open,V1v,stim500pre,accuracy,incorrect,0.0960828949382216
sub001,open,V1v,stim500pre,accuracy_e,correct_e,0.166461920482603
sub001,open,V1v,stim500pre,accuracy_e,incorrect_e,0.0960828949382216
sub001,open,V1v,stim500pre,rt,fast,0.193430021286109
sub001,open,V1v,stim500pre,rt,slow,0.0782162431651839
sub001,open,V2d,stim500pre,accuracy,correct,0.241788322804425
sub001,open,V2d,stim500pre,accuracy,incorrect,0.526600092014123
sub001,open,V2d,stim500pre,accuracy_e,correct_e,-0.145121374347251
sub001,open,V2d,stim500pre,accuracy_e,incorrect_e,0.526600092014123
sub001,open,V2d,stim500pre,rt,fast,0.35968777203489
sub001,open,V2d,stim500pre,rt,slow,0.158834975621483
sub001,open,V3a,stim500pre,accuracy,correct,0.0425598432314173
sub001,open,V3a,stim500pre,accuracy,incorrect,0.164772613090524
sub001,open,V3a,stim500pre,accuracy_e,correct_e,0.307871348806694
sub001,open,V3a,stim500pre,accuracy_e,incorrect_e,0.164772613090524
sub001,open,V3a,stim500pre,rt,fast,0.154283344843159
sub001,open,V3a,stim500pre,rt,slow,-0.0519111648404432
sub001,open,V3b,stim500pre,accuracy,correct,-0.00223807909227066
sub001,open,V3b,stim500pre,accuracy,incorrect,0.498424207112918
sub001,open,V3b,stim500pre,accuracy_e,correct_e,0.134573035870852
sub001,open,V3b,stim500pre,accuracy_e,incorrect_e,0.498424207112918
sub001,open,V3b,stim500pre,rt,fast,-0.0823678829901481
sub001,open,V3b,stim500pre,rt,slow,0.0881004687657562
sub001,open,V3d,stim500pre,accuracy,correct,0.0992394113520086
sub001,open,V3d,stim500pre,accuracy,incorrect,-0.0330739636960235
sub001,open,V3d,stim500pre,accuracy_e,correct_e,0.24677130038459
sub001,open,V3d,stim500pre,accuracy_e,incorrect_e,-0.0330739636960235
sub001,open,V3d,stim500pre,rt,fast,0.226793931673815
sub001,open,V3d,stim500pre,rt,slow,-0.0116934445102197
sub001,open,V3v,stim500pre,accuracy,correct,0.112348931949365
sub001,open,V3v,stim500pre,accuracy,incorrect,0.156763889888009
sub001,open,V3v,stim500pre,accuracy_e,correct_e,0.167869971855477
sub001,open,V3v,stim500pre,accuracy_e,incorrect_e,0.156763889888009
sub001,open,V3v,stim500pre,rt,fast,0.286390154805801
sub001,open,V3v,stim500pre,rt,slow,-0.0497375555115351
sub001,closed,V1d,stim500pre,accuracy,correct,0.0467206332989521
sub001,closed,V1d,stim500pre,accuracy,incorrect,0.243748517598722
sub001,closed,V1d,stim500pre,accuracy_e,correct_e,-0.205917936889059
sub001,closed,V1d,stim500pre,accuracy_e,incorrect_e,0.243748517598722
sub001,closed,V1d,stim500pre,rt,fast,0.12026202871229
sub001,closed,V1d,stim500pre,rt,slow,-0.0216684277707248
sub001,closed,V1v,stim500pre,accuracy,correct,0.0312926216804457
sub001,closed,V1v,stim500pre,accuracy,incorrect,0.0515420828518693
sub001,closed,V1v,stim500pre,accuracy_e,correct_e,-0.370571926001932
sub001,closed,V1v,stim500pre,accuracy_e,incorrect_e,0.0515420828518693
sub001,closed,V1v,stim500pre,rt,fast,0.00385265130195113
sub001,closed,V1v,stim500pre,rt,slow,0.0627331732331449
sub001,closed,V2d,stim500pre,accuracy,correct,-0.0691061608692058
sub001,closed,V2d,stim500pre,accuracy,incorrect,0.117695616350774
sub001,closed,V2d,stim500pre,accuracy_e,correct_e,-0.176799765499029
sub001,closed,V2d,stim500pre,accuracy_e,incorrect_e,0.117695616350774
sub001,closed,V2d,stim500pre,rt,fast,0.0525510981688105
sub001,closed,V2d,stim500pre,rt,slow,-0.176379092102702
sub001,closed,V3a,stim500pre,accuracy,correct,-0.0871076202108115
sub001,closed,V3a,stim500pre,accuracy,incorrect,-0.156288875067154
sub001,closed,V3a,stim500pre,accuracy_e,correct_e,-0.378072759349053
sub001,closed,V3a,stim500pre,accuracy_e,incorrect_e,-0.156288875067154
sub001,closed,V3a,stim500pre,rt,fast,-0.183739185125672
sub001,closed,V3a,stim500pre,rt,slow,-0.0187346795981631
sub001,closed,V3b,stim500pre,accuracy,correct,-0.0615214856019271
sub001,closed,V3b,stim500pre,accuracy,incorrect,-0.269018669384343
sub001,closed,V3b,stim500pre,accuracy_e,correct_e,0.0437500046534868
sub001,closed,V3b,stim500pre,accuracy_e,incorrect_e,-0.269018669384343
sub001,closed,V3b,stim500pre,rt,fast,-0.160641065138715
sub001,closed,V3b,stim500pre,rt,slow,0.0452765592710341
sub001,closed,V3d,stim500pre,accuracy,correct,-0.0785401653169948
sub001,closed,V3d,stim500pre,accuracy,incorrect,-0.179718496118782
sub001,closed,V3d,stim500pre,accuracy_e,correct_e,-0.566068376699185
sub001,closed,V3d,stim500pre,accuracy_e,incorrect_e,-0.179718496118782
sub001,closed,V3d,stim500pre,rt,fast,-0.000795044785977723
sub001,closed,V3d,stim500pre,rt,slow,-0.156563958076576
sub001,closed,V3v,stim500pre,accuracy,correct,-0.0222149301208607
sub001,closed,V3v,stim500pre,accuracy,incorrect,-0.154640080270311
sub001,closed,V3v,stim500pre,accuracy_e,correct_e,-0.365568574030672
sub001,closed,V3v,stim500pre,accuracy_e,incorrect_e,-0.154640080270311
sub001,closed,V3v,stim500pre,rt,fast,-0.00375174269744903
sub001,closed,V3v,stim500pre,rt,slow,-0.0339920667761233
sub002,open,V1d,stim500pre,accuracy,correct,-0.138927840197723
sub002,open,V1d,stim500pre,accuracy,incorrect,0.219670884903356
sub002,open,V1d,stim500pre,accuracy_e,correct_e,-0.522733185854623
sub002,open,V1d,stim500pre,accuracy_e,incorrect_e,0.219670884903356
sub002,open,V1d,stim500pre,rt,fast,-0.115734067313496
sub002,open,V1d,stim500pre,rt,slow,-0.151422064028835
sub002,open,V1v,stim500pre,accuracy,correct,-0.188671041363505
sub002,open,V1v,stim500pre,accuracy,incorrect,-0.102778720115699
sub002,open,V1v,stim500pre,accuracy_e,correct_e,-0.443123336987807
sub002,open,V1v,stim500pre,accuracy_e,incorrect_e,-0.102778720115699
sub002,open,V1v,stim500pre,rt,fast,-0.150091622473186
sub002,open,V1v,stim500pre,rt,slow,-0.223133721668204
sub002,open,V2d,stim500pre,accuracy,correct,-0.0559053375340362
sub002,open,V2d,stim500pre,accuracy,incorrect,0.0176491321359327
sub002,open,V2d,stim500pre,accuracy_e,correct_e,-0.426371339975484
sub002,open,V2d,stim500pre,accuracy_e,incorrect_e,0.0176491321359327
sub002,open,V2d,stim500pre,rt,fast,0.0485476561031862
sub002,open,V2d,stim500pre,rt,slow,-0.130283874207501
sub002,open,V3a,stim500pre,accuracy,correct,0.0228284651796334
sub002,open,V3a,stim500pre,accuracy,incorrect,0.199330124877877
sub002,open,V3a,stim500pre,accuracy_e,correct_e,0.0984544478105764
sub002,open,V3a,stim500pre,accuracy_e,incorrect_e,0.199330124877877
sub002,open,V3a,stim500pre,rt,fast,0.102642852506617
sub002,open,V3a,stim500pre,rt,slow,-0.048591622142736
sub002,open,V3b,stim500pre,accuracy,correct,-0.0687735977326438
sub002,open,V3b,stim500pre,accuracy,incorrect,0.0848164301946275
sub002,open,V3b,stim500pre,accuracy_e,correct_e,-0.123110997332208
sub002,open,V3b,stim500pre,accuracy_e,incorrect_e,0.0848164301946275
sub002,open,V3b,stim500pre,rt,fast,-0.0663709788740679
sub002,open,V3b,stim500pre,rt,slow,-0.0704626772124215
sub002,open,V3d,stim500pre,accuracy,correct,-0.0205683142232893
sub002,open,V3d,stim500pre,accuracy,incorrect,0.300675626032133
sub002,open,V3d,stim500pre,accuracy_e,correct_e,-0.396571662137109
sub002,open,V3d,stim500pre,accuracy_e,incorrect_e,0.300675626032133
sub002,open,V3d,stim500pre,rt,fast,-0.075181757039525
sub002,open,V3d,stim500pre,rt,slow,0.0401328958905104
sub002,open,V3v,stim500pre,accuracy,correct,-0.111949539028771
sub002,open,V3v,stim500pre,accuracy,incorrect,0.229889870679931
sub002,open,V3v,stim500pre,accuracy_e,correct_e,-0.449936606282288
sub002,open,V3v,stim500pre,accuracy_e,incorrect_e,0.229889870679931
sub002,open,V3v,stim500pre,rt,fast,-0.14592285729382
