sub,eye,roi,window,compare,cond,value
sub001,open,V1d,stim500pre,accuracy,correct,0.347827233050529
sub001,open,V1d,stim500pre,accuracy,incorrect,-0.313321819020134
sub001,open,V1d,stim500pre,accuracy_e,correct_e,0.0496253291368276
sub001,open,V1d,stim500pre,accuracy_e,incorrect_e,-0.313321819020134
sub001,open,V1d,stim500pre,rt,fast,0.139061281325109
sub001,open,V1d,stim500pre,rt,slow,0.597928696516558
sub001,open,V1v,stim500pre,accuracy,correct,0.339532332933236
sub001,open,V1v,stim500pre,accuracy,incorrect,-0.119898012648364
sub001,open,V1v,stim500pre,accuracy_e,correct_e,0.000466496104565304
sub001,open,V1v,stim500pre,accuracy_e,incorrect_e,-0.119898012648364
sub001,open,V1v,stim500pre,rt,fast,0.123733406242673
sub001,open,V1v,stim500pre,rt,slow,0.599962112851217
sub001,open,V2d,stim500pre,accuracy,correct,0.43382772012677
sub001,open,V2d,stim500pre,accuracy,incorrect,-0.389043065642689
sub001,open,V2d,stim500pre,accuracy_e,correct_e,0.305115683689566
sub001,open,V2d,stim500pre,accuracy_e,incorrect_e,-0.389043065642689
sub001,open,V2d,stim500pre,rt,fast,0.28935323883027
sub001,open,V2d,stim500pre,rt,slow,0.589005220802026
sub001,open,V3a,stim500pre,accuracy,correct,0.493589473519295
sub001,open,V3a,stim500pre,accuracy,incorrect,0.109042972939339
sub001,open,V3a,stim500pre,accuracy_e,correct_e,0.85651269977137
sub001,open,V3a,stim500pre,accuracy_e,incorrect_e,0.109042972939339
sub001,open,V3a,stim500pre,rt,fast,0.664751530678348
sub001,open,V3a,stim500pre,rt,slow,0.436353377771806
sub001,open,V3b,stim500pre,accuracy,correct,-0.0688782556999302
sub001,open,V3b,stim500pre,accuracy,incorrect,-0.0117750473057161
sub001,open,V3b,stim500pre,accuracy_e,correct_e,0.0293226529774342
sub001,open,V3b,stim500pre,accuracy_e,incorrect_e,-0.0117750473057161
sub001,open,V3b,stim500pre,rt,fast,-0.0875215607415665
sub001,open,V3b,stim500pre,rt,slow,-0.0474522666023681
sub001,open,V3d,stim500pre,accuracy,correct,0.455885601109143
sub001,open,V3d,stim500pre,accuracy,incorrect,0.910485350038569
sub001,open,V3d,stim500pre,accuracy_e,correct_e,0.0922169389954302
sub001,open,V3d,stim500pre,accuracy_e,incorrect_e,0.910485350038569
sub001,open,V3d,stim500pre,rt,fast,0.568466910433245
sub001,open,V3d,stim500pre,rt,slow,0.398163173762504
sub001,open,V3v,stim500pre,accuracy,correct,0.263327378540736
