suj,cond,rt,correct,incorrect
sub1,1back,0.513,98.5915492957747,1.40845070422535
sub1,2back,0.798,96,4
sub2,1back,0.6095,100,0
sub2,2back,0.707,96.6666666666667,3.33333333333333
sub3,1back,0.741,98.5294117647059,1.47058823529412
sub3,2back,0.7075,100,0
sub4,1back,0.49,98.5714285714286,1.42857142857143
sub4,2back,0.542,98.75,1.25
sub5,1back,0.528,94.8717948717949,5.12820512820513
sub5,2back,0.609,98.7341772151899,1.26582278481013
sub6,1back,0.56,98.6111111111111,1.38888888888889
sub6,2back,0.668,95.9731543624161,4.02684563758389
sub7,1back,0.647,96.3636363636364,3.63636363636364
sub7,2back,0.8395,97.196261682243,2.80373831775701
sub8,1back,0.5815,96.2025316455696,3.79746835443038
sub8,2back,0.561,95.8083832335329,4.19161676646707
sub9,1back,0.6485,100,0
sub9,2back,0.711,99.3377483443709,0.662251655629139
sub10,1back,0.668,97.4683544303797,2.53164556962025
sub10,2back,0.5925,100,0
sub11,1back,0.587,100,0
sub11,2back,0.482,98.6928104575163,1.30718954248366
sub12,1back,0.4385,100,0
sub12,2back,0.529,99.3506493506494,0.649350649350649
sub13,1back,0.662,98.8095238095238,1.19047619047619
sub13,2back,0.591,96.551724137931,3.44827586206897
sub14,1back,0.4525,98.5714285714286,1.42857142857143
sub14,2back,0.421,100,0
sub15,1back,0.686,100,0
sub15,2back,0.711,99.2700729927007,0.72992700729927
sub16,1back,0.354,100,0
sub16,2back,0.472,98.7730061349693,1.22699386503067
sub17,1back,0.8765,97.4025974025974,2.5974025974026
sub17,2back,0.8655,96.5277777777778,3.47222222222222
sub18,1back,0.3755,100,0
sub18,2back,0.37,98.8165680473373,1.18343195266272
sub20,1back,0.445,96.4285714285714,3.57142857142857
sub20,2back,0.4365,99.4082840236686,0.591715976331361
sub21,1back,0.52,100,0
sub21,2back,0.5415,99.3788819875776,0.62111801242236
sub22,1back,0.51,97.3684210526316,2.63157894736842
sub22,2back,0.704,100,0
sub23,1back,0.623,100,0
sub23,2back,0.7645,100,0
sub24,1back,0.449,98.7951807228916,1.20481927710843
sub24,2back,0.4625,99.4117647058823,0.588235294117647
sub25,1back,0.379,100,0
sub25,2back,0.355,99.4011976047904,0.598802395209581
sub26,1back,0.5965,100,0
sub26,2back,0.5825,98.7730061349693,1.22699386503067
sub27,1back,0.81,97.8260869565217,2.17391304347826
sub27,2back,0.822,94.8529411764706,5.14705882352941
sub28,1back,0.62,97.4025974025974,2.5974025974026
sub28,2back,0.563,96.8944099378882,3.1055900621118
sub29,1back,0.387,100,0
sub29,2back,0.383,100,0
sub30,1back,0.459,100,0
sub30,2back,0.442,98.2905982905983,1.70940170940171
sub31,1back,0.509,95.3125,4.6875
sub31,2back,0.41,93.75,6.25
sub32,1back,0.4395,98.8095238095238,1.19047619047619
sub32,2back,0.567,99.3975903614458,0.602409638554217
sub33,1back,0.5355,100,0
sub33,2back,0.592,98.8304093567251,1.16959064327485
sub35,1back,0.693,98.5915492957747,1.40845070422535
sub35,2back,0.745,98.4962406015038,1.50375939849624
sub36,1back,0.667,100,0
sub36,2back,0.553,98.5714285714286,1.42857142857143
sub39,1back,0.681,96.3414634146341,3.65853658536585
sub39,2back,0.7145,96.0264900662252,3.97350993377483
sub40,1back,0.471,98.7012987012987,1.2987012987013
sub40,2back,0.567,97.5460122699387,2.45398773006135
sub41,1back,0.5365,98.8235294117647,1.17647058823529
sub41,2back,0.575,98.8304093567251,1.16959064327485
sub42,1back,0.7735,95.4022988505747,4.59770114942529
sub42,2back,0.736,96.4497041420118,3.55029585798817
sub43,1back,0.547,100,0
sub43,2back,0.509,96.2406015037594,3.7593984962406
sub44,1back,0.646,100,0
sub44,2back,0.7545,99.3939393939394,0.606060606060606
sub46,1back,0.537,96.4285714285714,3.57142857142857
sub46,2back,0.469,99.4117647058823,0.588235294117647
sub47,1back,0.614,98.780487804878,1.21951219512195
sub47,2back,0.613,97.5903614457831,2.40963855421687
sub48,1back,0.59,98.8235294117647,1.17647058823529
sub48,2back,0.803,98.8505747126437,1.14942528735632
sub49,1back,0.683,97.6470588235294,2.35294117647059
sub49,2back,0.587,98.8304093567251,1.16959064327485
sub50,1back,0.437,97.4358974358974,2.56410256410256
sub50,2back,0.581,97.0760233918129,2.92397660818713
sub51,1back,0.745,100,0
sub51,2back,0.629,98.8095238095238,1.19047619047619
