p incorrect,rt
5.35714285714286,0.647
5.45454545454545,0.673
1.72413793103448,0.715
1.69491525423729,0.512
6.89655172413793,0.586
10.9090909090909,0.577
12.5,0.724
6.55737704918033,0.582
1.75438596491228,0.6805
3.50877192982456,0.605
3.50877192982456,0.515
1.78571428571429,0.503
9.83606557377049,0.635
1.63934426229508,0.444
0,0.701
3.38983050847458,0.414
3.44827586206897,0.872
1.72413793103448,0.37
17.9487179487179,0.5515
5,0.437
0,0.5455
3.27868852459016,0.658
0,0.688
1.66666666666667,0.455
1.58730158730159,0.37
3.63636363636364,0.586
16.2790697674419,0.8165
8.62068965517241,0.569
0,0.3865
4.65116279069767,0.456
21.7391304347826,0.4185
1.61290322580645,0.496
1.66666666666667,0.542
3.63636363636364,0.728
1.81818181818182,0.582
25.8064516129032,0.6545
15.0943396226415,0.691
6.66666666666667,0.5525
4.83870967741935,0.544
16.3934426229508,0.75
9.09090909090909,0.515
1.66666666666667,0.732
6.89655172413793,0.514
6.55737704918033,0.613
4.83870967741935,0.721
6.66666666666667,0.6485
11.864406779661,0.524
3.38983050847458,0.683
