suj,corr_0back,corr_1back,corr_2back,rt_0back,rt_1back,rt_2back
sub1,0.804878048780488,0.825581395348837,0.810810810810811,422,513,798
sub2,0.837837837837838,0.775,0.810810810810811,601,627,708.5
sub3,0.816326530612245,0.790697674418605,0.839195979899497,535,741,707.5
sub4,0.801980198019802,0.795454545454545,0.829015544041451,417.5,499,534
sub5,0.808988764044944,0.804123711340206,0.835978835978836,507.5,530.5,608
sub6,0.810526315789474,0.808988764044944,0.84180790960452,571,560,667
sub7,0.808219178082192,0.785714285714286,0.856,641,647,839.5
sub8,0.814432989690722,0.79,0.839195979899497,526,581.5,597
sub9,0.801980198019802,0.764044943820225,0.82967032967033,497,668.5,713.5
sub10,0.833333333333333,0.831578947368421,0.844919786096257,536.5,668,592.5
sub11,0.802469135802469,0.8125,0.831521739130435,393,587,482
sub12,0.818181818181818,0.760869565217391,0.850828729281768,450.5,441.5,529
sub13,0.83,0.807692307692308,0.861386138613861,533,662,590
sub14,0.797872340425532,0.786516853932584,0.827225130890052,456.5,454,421
sub15,0.779069767441861,0.790123456790123,0.820359281437126,583,686,711
sub16,0.8125,0.797979797979798,0.835897435897436,400,354,472
sub17,0.833333333333333,0.827956989247312,0.795580110497238,731.5,876.5,887
sub18,0.84,0.808080808080808,0.820388349514563,387,375.5,370
sub19,0.82089552238806,0.783783783783784,0.806451612903226,533,496,732
sub20,0.80952380952381,0.84,0.832512315270936,460,445,437
sub21,0.816091954022989,0.77319587628866,0.805,479.5,560.5,540
sub22,0.844660194174757,0.826086956521739,0.837320574162679,505,510,704
sub23,0.804347826086957,0.791666666666667,0.84,537,623,764.5
sub24,0.823529411764706,0.805825242718447,0.83743842364532,448,474.5,470
sub25,0.793814432989691,0.796116504854369,0.826732673267327,398.5,379,355.5
sub26,0.811881188118812,0.78494623655914,0.823232323232323,563.5,630,586
sub27,0.81,0.836363636363636,0.85,647,810,816.5
sub28,0.821917808219178,0.802083333333333,0.838541666666667,559,620,591
sub29,0.822784810126582,0.814285714285714,0.828025477707006,403,387,383
sub30,0.764705882352941,0.782608695652174,0.823943661971831,417,500,442
sub31,0.8,0.831168831168831,0.85207100591716,435,509,413
sub32,0.824742268041237,0.807692307692308,0.813725490196078,467,439.5,575
sub33,0.805825242718447,0.804347826086957,0.830097087378641,484,535.5,595.5
sub35,0.818181818181818,0.797752808988764,0.806060606060606,517.5,693,766
sub36,0.797752808988764,0.837209302325581,0.8,470,667,553
sub38,0.806122448979592,0.857142857142857,0.85929648241206,521,666,651
sub39,0.844660194174757,0.845360824742268,0.853107344632768,572,681,706
sub40,0.811881188118812,0.819148936170213,0.835897435897436,409,471,565
sub41,0.816091954022989,0.80952380952381,0.830097087378641,536,536.5,575
sub42,0.848484848484849,0.828571428571429,0.857868020304569,598.5,773.5,736
sub43,0.802469135802469,0.811594202898551,0.83125,446.5,547,511.5
sub44,0.80952380952381,0.788461538461538,0.829145728643216,550,652,754.5
sub46,0.80952380952381,0.831683168316832,0.841584158415842,444,537,472
sub47,0.787878787878788,0.811881188118812,0.825870646766169,511.5,614,615.5
sub48,0.828571428571429,0.80952380952381,0.840579710144927,567,590,803
sub49,0.821782178217822,0.825242718446602,0.846534653465347,503.5,683,587
sub50,0.795698924731183,0.821052631578947,0.846534653465347,443,437,582
sub51,0.817204301075269,0.797979797979798,0.84,702,745,629
