sub,band,bin,cond,acc,rt
sub1,slow,b1,1back,1,0.468
sub1,slow,b1,2back,1,0.801
sub1,slow,b2,1back,0.833333333333333,0.525
sub1,slow,b2,2back,0.909090909090909,0.799
sub1,slow,b3,1back,1,0.513
sub1,slow,b3,2back,0.928571428571429,0.795
sub1,alpha,b1,1back,1,0.468
sub1,alpha,b1,2back,1,0.666
sub1,alpha,b2,1back,0.833333333333333,0.525
sub1,alpha,b2,2back,0.9375,0.795
sub1,alpha,b3,1back,1,0.472
sub1,alpha,b3,2back,0.928571428571429,0.801
sub1,beta,b1,1back,1,0.531
sub1,beta,b1,2back,1,0.8135
sub1,beta,b2,1back,0.8,0.488
sub1,beta,b2,2back,0.875,0.604
sub1,beta,b3,1back,1,0.447
sub1,beta,b3,2back,1,0.852
sub1,gamma1,b1,1back,1,0.529
sub1,gamma1,b1,2back,1,0.803
sub1,gamma1,b2,1back,0.833333333333333,0.468
sub1,gamma1,b2,2back,0.941176470588235,0.776
sub1,gamma1,b3,1back,1,0.525
sub1,gamma1,b3,2back,0.8,0.8915
sub1,gamma2,b1,1back,0.8,0.5845
sub1,gamma2,b1,2back,0.95,0.838
sub1,gamma2,b2,1back,1,0.4595
sub1,gamma2,b2,2back,0.909090909090909,0.798
sub1,gamma2,b3,1back,1,0.528
sub1,gamma2,b3,2back,1,0.757
sub10,slow,b1,1back,0.777777777777778,0.636
sub10,slow,b1,2back,1,0.512
sub10,slow,b2,1back,1,0.73
sub10,slow,b2,2back,1,0.5505
sub10,slow,b3,1back,1,0.668
sub10,slow,b3,2back,1,0.736
sub10,alpha,b1,1back,1,0.492
sub10,alpha,b1,2back,1,0.523
sub10,alpha,b2,1back,0.9,0.697
sub10,alpha,b2,2back,1,0.5215
sub10,alpha,b3,1back,0.833333333333333,0.73
sub10,alpha,b3,2back,1,0.7365
sub10,beta,b1,1back,1,0.527
sub10,beta,b1,2back,1,0.534
sub10,beta,b2,1back,0.875,0.584
sub10,beta,b2,2back,1,0.512
sub10,beta,b3,1back,0.875,0.798
sub10,beta,b3,2back,1,0.7535
sub10,gamma1,b1,1back,1,0.546
sub10,gamma1,b1,2back,1,0.57
sub10,gamma1,b2,1back,1,0.6285
sub10,gamma1,b2,2back,1,0.835
sub10,gamma1,b3,1back,0.818181818181818,0.798
sub10,gamma1,b3,2back,1,0.523
sub10,gamma2,b1,1back,1,0.5865
sub10,gamma2,b1,2back,1,0.723
sub10,gamma2,b2,1back,0.75,0.73
sub10,gamma2,b2,2back,1,0.512
sub10,gamma2,b3,1back,0.909090909090909,0.705
sub10,gamma2,b3,2back,1,0.561
sub11,slow,b1,1back,1,0.596
sub11,slow,b1,2back,0.933333333333333,0.4855
sub11,slow,b2,1back,1,0.523
sub11,slow,b2,2back,0.933333333333333,0.4885
sub11,slow,b3,1back,1,0.587
sub11,slow,b3,2back,1,0.452
sub11,alpha,b1,1back,1,0.604
sub11,alpha,b1,2back,0.923076923076923,0.493
sub11,alpha,b2,1back,1,0.587
sub11,alpha,b2,2back,1,0.448
sub11,alpha,b3,1back,1,0.523
sub11,alpha,b3,2back,0.9,0.567
sub11,beta,b1,1back,1,0.5885
sub11,beta,b1,2back,1,0.4745
sub11,beta,b2,1back,1,0.559
sub11,beta,b2,2back,0.846153846153846,0.504
sub11,beta,b3,1back,1,0.587
sub11,beta,b3,2back,1,0.4375
sub11,gamma1,b1,1back,1,0.609
sub11,gamma1,b1,2back,1,0.455
sub11,gamma1,b2,1back,1,0.587
sub11,gamma1,b2,2back,0.857142857142857,0.4995
sub11,gamma1,b3,1back,1,0.515
sub11,gamma1,b3,2back,1,0.504
sub11,gamma2,b1,1back,1,0.587
sub11,gamma2,b1,2back,0.95,0.446
sub11,gamma2,b2,1back,1,0.563
sub11,gamma2,b2,2back,0.9,0.467
sub11,gamma2,b3,1back,1,0.587
sub11,gamma2,b3,2back,1,0.504
sub12,slow,b1,1back,1,0.433
sub12,slow,b1,2back,1,0.5075
sub12,slow,b2,1back,1,0.4345
sub12,slow,b2,2back,1,0.565
sub12,slow,b3,1back,1,0.457
sub12,slow,b3,2back,0.833333333333333,0.527
sub12,alpha,b1,1back,1,0.4385
sub12,alpha,b1,2back,1,0.565
sub12,alpha,b2,1back,1,0.4145
sub12,alpha,b2,2back,1,0.531
sub12,alpha,b3,1back,1,0.4745
sub12,alpha,b3,2back,0.857142857142857,0.507
sub12,beta,b1,1back,1,0.403
sub12,beta,b1,2back,0.9375,0.54
sub12,beta,b2,1back,1,0.437
sub12,beta,b2,2back,1,0.4335
sub12,beta,b3,1back,1,0.457
sub12,beta,b3,2back,1,0.565
sub12,gamma1,b1,1back,1,0.4385
sub12,gamma1,b1,2back,1,0.511
sub12,gamma1,b2,1back,1,0.422
sub12,gamma1,b2,2back,0.928571428571429,0.443
sub12,gamma1,b3,1back,1,0.4615
sub12,gamma1,b3,2back,1,0.565
sub12,gamma2,b1,1back,1,0.471
sub12,gamma2,b1,2back,0.923076923076923,0.5315
sub12,gamma2,b2,1back,1,0.418
sub12,gamma2,b2,2back,1,0.527
sub12,gamma2,b3,1back,1,0.5095
sub12,gamma2,b3,2back,1,0.54
sub13,slow,b1,1back,1,0.747
sub13,slow,b1,2back,0.923076923076923,0.5665
sub13,slow,b2,1back,0.9,0.669
sub13,slow,b2,2back,0.923076923076923,0.6485
sub13,slow,b3,1back,1,0.5765
sub13,slow,b3,2back,0.785714285714286,0.635
sub13,alpha,b1,1back,1,0.699
sub13,alpha,b1,2back,0.904761904761905,0.55
sub13,alpha,b2,1back,0.857142857142857,0.6485
sub13,alpha,b2,2back,0.8,0.5715
sub13,alpha,b3,1back,1,0.58
sub13,alpha,b3,2back,0.857142857142857,0.7035
sub13,beta,b1,1back,1,0.734
sub13,beta,b1,2back,0.842105263157895,0.5425
sub13,beta,b2,1back,0.875,0.669
sub13,beta,b2,2back,0.916666666666667,0.796
sub13,beta,b3,1back,1,0.6175
sub13,beta,b3,2back,0.888888888888889,0.5565
sub13,gamma1,b1,1back,1,0.5635
sub13,gamma1,b1,2back,1,0.591
sub13,gamma1,b2,1back,0.9,0.699
sub13,gamma1,b2,2back,0.857142857142857,0.727
sub13,gamma1,b3,1back,1,0.655
sub13,gamma1,b3,2back,0.8,0.551
sub13,gamma2,b1,1back,1,0.701
sub13,gamma2,b1,2back,0.857142857142857,0.545
sub13,gamma2,b2,1back,0.9,0.724
sub13,gamma2,b2,2back,0.833333333333333,0.613
sub13,gamma2,b3,1back,1,0.58
sub13,gamma2,b3,2back,0.928571428571429,0.602
sub16,slow,b1,1back,1,0.3525
sub16,slow,b1,2back,0.941176470588235,0.3915
sub16,slow,b2,1back,1,0.449
sub16,slow,b2,2back,1,0.494
sub16,slow,b3,1back,1,0.325
sub16,slow,b3,2back,0.9,0.511
sub16,alpha,b1,1back,1,0.409
sub16,alpha,b1,2back,0.916666666666667,0.485
sub16,alpha,b2,1back,1,0.344
sub16,alpha,b2,2back,1,0.508
sub16,alpha,b3,1back,1,0.325
sub16,alpha,b3,2back,0.928571428571429,0.396
sub16,beta,b1,1back,1,0.3165
sub16,beta,b1,2back,0.909090909090909,0.369
sub16,beta,b2,1back,1,0.3865
sub16,beta,b2,2back,1,0.55
sub16,beta,b3,1back,1,0.3685
sub16,beta,b3,2back,0.909090909090909,0.434
sub16,gamma1,b1,1back,1,0.3685
sub16,gamma1,b1,2back,1,0.371
sub16,gamma1,b2,1back,1,0.341
sub16,gamma1,b2,2back,1,0.454
sub16,gamma1,b3,1back,1,0.364
sub16,gamma1,b3,2back,0.875,0.5485
sub16,gamma2,b1,1back,1,0.341
sub16,gamma2,b1,2back,1,0.363
sub16,gamma2,b2,1back,1,0.325
sub16,gamma2,b2,2back,0.928571428571429,0.54
sub16,gamma2,b3,1back,1,0.429
sub16,gamma2,b3,2back,0.928571428571429,0.472
sub17,slow,b1,1back,0.666666666666667,1.026
sub17,slow,b1,2back,1,0.8655
sub17,slow,b2,1back,0.833333333333333,0.87
sub17,slow,b2,2back,1,0.827
sub17,slow,b3,1back,1,0.895
sub17,slow,b3,2back,1,0.896
sub17,alpha,b1,1back,0.666666666666667,1.046
sub17,alpha,b1,2back,1,0.8655
sub17,alpha,b2,1back,1,0.8475
sub17,alpha,b2,2back,1,0.851
sub17,alpha,b3,1back,0.888888888888889,0.894
sub17,alpha,b3,2back,1,0.887
sub17,beta,b1,1back,0.666666666666667,1.214
sub17,beta,b1,2back,1,0.87
sub17,beta,b2,1back,1,0.883
sub17,beta,b2,2back,1,0.901
sub17,beta,b3,1back,0.9,0.833
sub17,beta,b3,2back,1,0.8025
sub17,gamma1,b1,1back,0.833333333333333,0.833
sub17,gamma1,b1,2back,1,0.92
sub17,gamma1,b2,1back,0.888888888888889,0.8815
sub17,gamma1,b2,2back,1,0.801
sub17,gamma1,b3,1back,1,0.883
sub17,gamma1,b3,2back,1,0.843
sub17,gamma2,b1,1back,0.857142857142857,0.9415
sub17,gamma2,b1,2back,1,0.866
sub17,gamma2,b2,1back,0.8,0.8615
sub17,gamma2,b2,2back,1,0.909
sub17,gamma2,b3,1back,1,0.875
sub17,gamma2,b3,2back,1,0.8345
sub18,slow,b1,1back,1,0.396
sub18,slow,b1,2back,1,0.3705
sub18,slow,b2,1back,1,0.3705
sub18,slow,b2,2back,1,0.3665
sub18,slow,b3,1back,1,0.398
sub18,slow,b3,2back,0.9375,0.367
sub18,alpha,b1,1back,1,0.412
sub18,alpha,b1,2back,0.944444444444444,0.367
sub18,alpha,b2,1back,1,0.363
sub18,alpha,b2,2back,1,0.3695
sub18,alpha,b3,1back,1,0.3705
sub18,alpha,b3,2back,1,0.407
sub18,beta,b1,1back,1,0.373
sub18,beta,b1,2back,1,0.365
sub18,beta,b2,1back,1,0.395
sub18,beta,b2,2back,1,0.395
sub18,beta,b3,1back,1,0.368
sub18,beta,b3,2back,0.909090909090909,0.359
sub18,gamma1,b1,1back,1,0.396
sub18,gamma1,b1,2back,0.9375,0.37
sub18,gamma1,b2,1back,1,0.368
sub18,gamma1,b2,2back,1,0.362
sub18,gamma1,b3,1back,1,0.3705
sub18,gamma1,b3,2back,1,0.372
sub18,gamma2,b1,1back,1,0.3855
sub18,gamma2,b1,2back,0.941176470588235,0.372
sub18,gamma2,b2,1back,1,0.361
sub18,gamma2,b2,2back,1,0.38
sub18,gamma2,b3,1back,1,0.387
sub18,gamma2,b3,2back,1,0.362
sub19,slow,b1,1back,1,0.491
sub19,slow,b1,2back,1,0.4715
sub19,slow,b2,1back,1,0.496
sub19,slow,b2,2back,0.666666666666667,0.795
sub19,slow,b3,1back,1,0.425
sub19,slow,b3,2back,0.666666666666667,0.769
sub19,alpha,b1,1back,1,0.386
sub19,alpha,b1,2back,0.857142857142857,0.499
sub19,alpha,b2,1back,1,0.5335
sub19,alpha,b2,2back,0.6,0.555
sub19,alpha,b3,1back,1,0.532
sub19,alpha,b3,2back,0.75,0.768
sub19,beta,b1,1back,1,0.425
sub19,beta,b1,2back,0.714285714285714,0.388
sub19,beta,b2,1back,1,0.491
sub19,beta,b2,2back,1,0.68
sub19,beta,b3,1back,1,0.645
sub19,beta,b3,2back,0.692307692307692,0.768
sub19,gamma1,b1,1back,1,0.432
sub19,gamma1,b1,2back,0.857142857142857,0.75
sub19,gamma1,b2,1back,1,0.458
sub19,gamma1,b2,2back,0.714285714285714,0.477
sub19,gamma1,b3,1back,1,0.496
sub19,gamma1,b3,2back,0.7,0.806
sub19,gamma2,b1,1back,1,0.5145
sub19,gamma2,b1,2back,0.9,0.707
sub19,gamma2,b2,1back,1,0.4795
sub19,gamma2,b2,2back,0.6,0.61
sub19,gamma2,b3,1back,1,0.299
sub19,gamma2,b3,2back,0.666666666666667,0.979
sub2,slow,b1,1back,1,0.996
sub2,slow,b1,2back,1,0.7095
sub2,slow,b2,1back,1,0.64
sub2,slow,b2,2back,1,0.6405
sub2,slow,b3,1back,1,0.537
sub2,slow,b3,2back,0.846153846153846,0.813
sub2,alpha,b1,1back,1,0.9195
sub2,alpha,b1,2back,0.846153846153846,0.727
sub2,alpha,b2,1back,1,0.5735
sub2,alpha,b2,2back,1,0.7045
sub2,alpha,b3,1back,1,0.563
sub2,alpha,b3,2back,1,0.641
sub2,beta,b1,1back,1,0.738
sub2,beta,b1,2back,0.916666666666667,0.697
sub2,beta,b2,1back,1,0.908
sub2,beta,b2,2back,1,0.727
sub2,beta,b3,1back,1,0.5735
sub2,beta,b3,2back,0.909090909090909,0.6465
sub2,gamma1,b1,1back,1,0.9975
sub2,gamma1,b1,2back,0.9375,0.775
sub2,gamma1,b2,1back,1,0.614
sub2,gamma1,b2,2back,0.909090909090909,0.631
sub2,gamma1,b3,1back,1,0.596
sub2,gamma1,b3,2back,1,0.674
sub2,gamma2,b1,1back,1,0.871
sub2,gamma2,b1,2back,0.857142857142857,0.625
sub2,gamma2,b2,1back,1,0.752
sub2,gamma2,b2,2back,0.944444444444444,0.707
sub2,gamma2,b3,1back,1,0.596
sub2,gamma2,b3,2back,1,0.813
sub20,slow,b1,1back,0.714285714285714,0.46
sub20,slow,b1,2back,1,0.444
sub20,slow,b2,1back,0.875,0.431
sub20,slow,b2,2back,1,0.433
sub20,slow,b3,1back,1,0.478
sub20,slow,b3,2back,1,0.3985
sub20,alpha,b1,1back,1,0.447
sub20,alpha,b1,2back,1,0.4465
sub20,alpha,b2,1back,0.857142857142857,0.426
sub20,alpha,b2,2back,1,0.426
sub20,alpha,b3,1back,0.777777777777778,0.447
sub20,alpha,b3,2back,1,0.444
sub20,beta,b1,1back,1,0.398
sub20,beta,b1,2back,1,0.4175
sub20,beta,b2,1back,0.857142857142857,0.491
sub20,beta,b2,2back,1,0.4555
sub20,beta,b3,1back,0.777777777777778,0.445
sub20,beta,b3,2back,1,0.4165
sub20,gamma1,b1,1back,0.833333333333333,0.434
sub20,gamma1,b1,2back,1,0.42
sub20,gamma1,b2,1back,0.857142857142857,0.438
sub20,gamma1,b2,2back,1,0.433
sub20,gamma1,b3,1back,0.857142857142857,0.4755
sub20,gamma1,b3,2back,1,0.479
sub20,gamma2,b1,1back,1,0.4245
sub20,gamma2,b1,2back,1,0.4665
sub20,gamma2,b2,1back,0.7,0.452
sub20,gamma2,b2,2back,1,0.406
