sub,mod,hemi,wind,cue,cue_cat,pos,peak
yc2,vis,left,precue,unf,unf,unf,10.2
yc2,vis,right,precue,unf,unf,unf,10.5
yc2,aud,left,precue,unf,unf,unf,7
yc2,aud,right,precue,unf,unf,unf,8.8
yc2,mot,left,precue,unf,unf,unf,11.1
yc2,mot,right,precue,unf,unf,unf,10.9
yc2,vis,left,precue,left,inf,ipsi,10.7
yc2,vis,right,precue,left,inf,contra,10.9
yc2,aud,left,precue,left,inf,ipsi,7
yc2,aud,right,precue,left,inf,contra,7.5
yc2,mot,left,precue,left,inf,ipsi,10.7
yc2,mot,right,precue,left,inf,contra,10.8
yc2,vis,left,precue,right,inf,contra,10.6
yc2,vis,right,precue,right,inf,ipsi,10.1
yc2,aud,left,precue,right,inf,contra,7
yc2,aud,right,precue,right,inf,ipsi,7
yc2,mot,left,precue,right,inf,contra,10.9
yc2,mot,right,precue,right,inf,ipsi,10.9
yc2,vis,left,cuetarget,unf,unf,unf,10.8
yc2,vis,right,cuetarget,unf,unf,unf,11.1
yc2,aud,left,cuetarget,unf,unf,unf,7
yc2,aud,right,cuetarget,unf,unf,unf,7
yc2,mot,left,cuetarget,unf,unf,unf,7
yc2,mot,right,cuetarget,unf,unf,unf,11
yc2,vis,left,cuetarget,left,inf,ipsi,10.6
yc2,vis,right,cuetarget,left,inf,contra,10.9
yc2,aud,left,cuetarget,left,inf,ipsi,10.7
yc2,aud,right,cuetarget,left,inf,contra,7.9
yc2,mot,left,cuetarget,left,inf,ipsi,7
yc2,mot,right,cuetarget,left,inf,contra,11.3
yc2,vis,left,cuetarget,right,inf,contra,10.4
yc2,vis,right,cuetarget,right,inf,ipsi,10
yc2,aud,left,cuetarget,right,inf,contra,7
yc2,aud,right,cuetarget,right,inf,ipsi,8.6
yc2,mot,left,cuetarget,right,inf,contra,7
yc2,mot,right,cuetarget,right,inf,ipsi,11
yc3,vis,left,precue,unf,unf,unf,9.4
yc3,vis,right,precue,unf,unf,unf,9.1
yc3,aud,left,precue,unf,unf,unf,9.4
yc3,aud,right,precue,unf,unf,unf,9.3
yc3,mot,left,precue,unf,unf,unf,10
yc3,mot,right,precue,unf,unf,unf,9.9
yc3,vis,left,precue,left,inf,ipsi,9.5
yc3,vis,right,precue,left,inf,contra,9.1
yc3,aud,left,precue,left,inf,ipsi,9.4
yc3,aud,right,precue,left,inf,contra,9.5
yc3,mot,left,precue,left,inf,ipsi,10.1
yc3,mot,right,precue,left,inf,contra,10.1
yc3,vis,left,precue,right,inf,contra,9.5
yc3,vis,right,precue,right,inf,ipsi,9.2
yc3,aud,left,precue,right,inf,contra,9.3
yc3,aud,right,precue,right,inf,ipsi,8.8
yc3,mot,left,precue,right,inf,contra,9.9
yc3,mot,right,precue,right,inf,ipsi,10
yc3,vis,left,cuetarget,unf,unf,unf,9.5
yc3,vis,right,cuetarget,unf,unf,unf,10
yc3,aud,left,cuetarget,unf,unf,unf,10
yc3,aud,right,cuetarget,unf,unf,unf,10
yc3,mot,left,cuetarget,unf,unf,unf,10.1
yc3,mot,right,cuetarget,unf,unf,unf,10.2
yc3,vis,left,cuetarget,left,inf,ipsi,9.4
yc3,vis,right,cuetarget,left,inf,contra,10.1
yc3,aud,left,cuetarget,left,inf,ipsi,10.1
yc3,aud,right,cuetarget,left,inf,contra,10.3
yc3,mot,left,cuetarget,left,inf,ipsi,10.4
yc3,mot,right,cuetarget,left,inf,contra,10.1
yc3,vis,left,cuetarget,right,inf,contra,9.8
yc3,vis,right,cuetarget,right,inf,ipsi,9.8
yc3,aud,left,cuetarget,right,inf,contra,9.9
yc3,aud,right,cuetarget,right,inf,ipsi,9.9
yc3,mot,left,cuetarget,right,inf,contra,10.1
yc3,mot,right,cuetarget,right,inf,ipsi,10.2
yc4,vis,left,precue,unf,unf,unf,10.1
yc4,vis,right,precue,unf,unf,unf,10
yc4,aud,left,precue,unf,unf,unf,10.1
yc4,aud,right,precue,unf,unf,unf,10
yc4,mot,left,precue,unf,unf,unf,7.2
yc4,mot,right,precue,unf,unf,unf,11.8
yc4,vis,left,precue,left,inf,ipsi,10.4
yc4,vis,right,precue,left,inf,contra,10.8
yc4,aud,left,precue,left,inf,ipsi,10.3
yc4,aud,right,precue,left,inf,contra,10.3
yc4,mot,left,precue,left,inf,ipsi,8.4
yc4,mot,right,precue,left,inf,contra,11.2
yc4,vis,left,precue,right,inf,contra,9.8
