   "num"  "trialt"     "cue"  "codCUE"  "delay1"   "dis"  "codDIS"               "DIS"  "delay2"          "TAR"  "codTAR"    "bp" "ISIrand"; 
       1         1  "Rarrow"       204       592       0        50               "nul"     108   "S_tarson_D"        64       2       102;
       2         1  "Rarrow"       202       210       0        50               "nul"     490   "S_tarson_B"        62       1       143;
       3         1  "Larrow"       101       262       0        50               "nul"     438   "S_tarson_A"        61       1        29;
       4         1  "Larrow"       121       263       2        52       "telephone17"     437   "S_tarson_A"        61       1        53;
       5         1  "Larrow"       131       485       3        53         "sonnette9"     215   "S_tarson_A"        61       1       180;
       6         1  "Larrow"       101       322       0        50               "nul"     378   "S_tarson_A"        61       1        34;
       7         1  "Rarrow"       224       403       2        52       "telephone11"     297   "S_tarson_D"        64       2       162;
       8         1  "Larrow"       103       541       0        50               "nul"     159   "S_tarson_C"        63       2       185;
       9         1  "Larrow"       113       175       1        51            "Alarm2"     525   "S_tarson_C"        63       2        64;
      10         1  "Larrow"       103       125       0        50               "nul"     575   "S_tarson_C"        63       2        23;
      11         1  "Rarrow"       212       221       1        51          "reveil11"     479   "S_tarson_B"        62       1        53;
      12         1  "Larrow"       101        79       0        50               "nul"     621   "S_tarson_A"        61       1        96;
      13         0  "Barrow"         3       184       0        50               "nul"     516   "S_tarson_C"        63       2       191;
      14         0  "Barrow"         4       203       0        50               "nul"     497   "S_tarson_D"        64       2        27;
      15         1  "Larrow"       103       543       0        50               "nul"     157   "S_tarson_C"        63       2        47;
      16         1  "Larrow"       103       445       0        50               "nul"     255   "S_tarson_C"        63       2        41;
      17         0  "Barrow"         2       637       0        50               "nul"      63   "S_tarson_B"        62       1       128;
      18         1  "Larrow"       133       571       3        53           "alarme5"     129   "S_tarson_C"        63       2       120;
      19         0  "Barrow"         4       550       0        50               "nul"     150   "S_tarson_D"        64       2        77;
      20         0  "Barrow"         3       296       0        50               "nul"     404   "S_tarson_C"        63       2       132;
      21         0  "Barrow"         3       100       0        50               "nul"     600   "S_tarson_C"        63       2       138;
      22         1  "Rarrow"       204       375       0        50               "nul"     325   "S_tarson_D"        64       2       198;
      23         1  "Larrow"       101        70       0        50               "nul"     630   "S_tarson_A"        61       1       142;
      24         0  "Barrow"        32       594       3        53       "telephone16"     106   "S_tarson_B"        62       1       158;
      25         1  "Larrow"       101       632       0        50               "nul"      68   "S_tarson_A"        61       1       127;
      26         1  "Larrow"       103       133       0        50               "nul"     567   "S_tarson_C"        63       2       137;
      27         1  "Rarrow"       214       236       1        51              "DING"     464   "S_tarson_D"        64       2        92;
      28         1  "Rarrow"       204       164       0        50               "nul"     536   "S_tarson_D"        64       2       183;
      29         1  "Larrow"       101       592       0        50               "nul"     108   "S_tarson_A"        61       1       187;
      30         1  "Rarrow"       204       423       0        50               "nul"     277   "S_tarson_D"        64       2        62;
      31         1  "Rarrow"       202       520       0        50               "nul"     180   "S_tarson_B"        62       1        45;
      32         1  "Rarrow"       204       459       0        50               "nul"     241   "S_tarson_D"        64       2       116;
      33         0  "Barrow"        14       120       1        51       "telephone18"     580   "S_tarson_D"        64       2       189;
      34         1  "Rarrow"       232       560       3        53            "ring10"     140   "S_tarson_B"        62       1         6;
      35         0  "Barrow"        11       143       1        51             "Alarm"     557   "S_tarson_A"        61       1        90;
      36         1  "Rarrow"       202       578       0        50               "nul"     122   "S_tarson_B"        62       1       135;
      37         1  "Larrow"       103       286       0        50               "nul"     414   "S_tarson_C"        63       2       136;
      38         1  "Rarrow"       204       202       0        50               "nul"     498   "S_tarson_D"        64       2       196;
      39         0  "Barrow"         3       623       0        50               "nul"      77   "S_tarson_C"        63       2       191;
      40         0  "Barrow"         4       314       0        50               "nul"     386   "S_tarson_D"        64       2       189;
      41         0  "Barrow"         2       168       0        50               "nul"     532   "S_tarson_B"        62       1        20;
      42         1  "Larrow"       111       186       1        51            "RINGIN"     514   "S_tarson_A"        61       1        76;
      43         1  "Rarrow"       204       269       0        50               "nul"     431   "S_tarson_D"        64       2       172;
      44         1  "Rarrow"       234       544       3        53             "ring7"     156   "S_tarson_D"        64       2        99;
      45         1  "Rarrow"       202       441       0        50               "nul"     259   "S_tarson_B"        62       1        26;
      46         0  "Barrow"         1       548       0        50               "nul"     152   "S_tarson_A"        61       1        33;
      47         1  "Rarrow"       222       261       2        52        "telephone2"     439   "S_tarson_B"        62       1       125;
      48         0  "Barrow"         1       160       0        50               "nul"     540   "S_tarson_A"        61       1       200;
      49         0  "Barrow"         4       328       0        50               "nul"     372   "S_tarson_D"        64       2        50;
      50         1  "Rarrow"       202       280       0        50               "nul"     420   "S_tarson_B"        62       1       199;
      51         1  "Larrow"       101       570       0        50               "nul"     130   "S_tarson_A"        61       1         9;
      52         1  "Rarrow"       202       249       0        50               "nul"     451   "S_tarson_B"        62       1       189;
      53         0  "Barrow"         1        78       0        50               "nul"     622   "S_tarson_A"        61       1       153;
      54         1  "Rarrow"       202       172       0        50               "nul"     528   "S_tarson_B"        62       1        99;
      55         0  "Barrow"         4       173       0        50               "nul"     527   "S_tarson_D"        64       2       157;
      56         1  "Larrow"       123       357       2        52             "ring8"     343   "S_tarson_C"        63       2       192;
      57         1  "Larrow"       103       144       0        50               "nul"     556   "S_tarson_C"        63       2        61;
      58         1  "Larrow"       103       504       0        50               "nul"     196   "S_tarson_C"        63       2       170;
      59         0  "Barrow"         2       130       0        50               "nul"     570   "S_tarson_B"        62       1        12;
      60         0  "Barrow"         1       355       0        50               "nul"     345   "S_tarson_A"        61       1       137;
      61         1  "Larrow"       101       294       0        50               "nul"     406   "S_tarson_A"        61       1        65;
      62         0  "Barrow"         1       294       0        50               "nul"     406   "S_tarson_A"        61       1        35;
      63         0  "Barrow"        24       369       2        52       "PhoneRingIn"     331   "S_tarson_D"        64       2       155;
      64         1  "Rarrow"       204       606       0        50               "nul"      94   "S_tarson_D"        64       2       167;
      65         1  "Larrow"       103       293       0        50               "nul"     407   "S_tarson_C"        63       2         8;
      66         1  "Rarrow"       204       187       0        50               "nul"     513   "S_tarson_D"        64       2       105;
      67         1  "Rarrow"       202       475       0        50               "nul"     225   "S_tarson_B"        62       1        10;
      68         0  "Barrow"        33       596       3        53       "telephone13"     104   "S_tarson_C"        63       2       163;
      69         0  "Barrow"         2       267       0        50               "nul"     433   "S_tarson_B"        62       1        19;
      70         0  "Barrow"        21       275       2        52           "reveil3"     425   "S_tarson_A"        61       1         3;
      71         1  "Larrow"       101       209       0        50               "nul"     491   "S_tarson_A"        61       1        62;
      72         1  "Rarrow"       202       397       0        50               "nul"     303   "S_tarson_B"        62       1        39;
};
