Scenario - spatial attention block
Logfile written - 10/07/2019 11:27:45

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

pilot01	1	Picture	example	10266	0	1	13196	1	0	next	other	0
pilot01	1	Response	4	23379	13113	1
pilot01	2	Picture	start	23462	0	1	5065	1	0	5000	other	0
pilot01	2	Sound	64	28462	5000	1			5000		other	0
pilot01	2	Picture	32	43589	20127	1	9730	1	20000	9700	other	0
pilot01	2	Nothing	2	53462	30000	1			30000		other	0
pilot01	2	Nothing	2	53762	30300	1			30300		other	0
pilot01	2	Nothing	2	54062	30600	1			30600		other	0
pilot01	2	Nothing	2	54362	30900	1			30900		other	0
pilot01	2	Nothing	2	54662	31200	1			31200		other	0
pilot01	2	Nothing	2	54962	31500	1			31500		other	0
pilot01	2	Nothing	2	55262	31800	1			31800		other	0
pilot01	2	Nothing	2	55562	32100	1			32100		other	0
pilot01	2	Nothing	2	55862	32400	1			32400		other	0
pilot01	3	Picture	start	63582	0	1	5065	1	0	5000	other	0
pilot01	3	Sound	64	68582	5000	1			5000		other	0
pilot01	3	Picture	32	83709	20127	1	9863	1	20000	9760	other	0
pilot01	3	Nothing	2	93582	30000	1			30000		other	0
pilot01	3	Nothing	2	93822	30240	1			30240		other	0
pilot01	3	Nothing	2	94062	30480	1			30480		other	0
pilot01	3	Nothing	2	94302	30720	1			30720		other	0
pilot01	3	Nothing	2	94542	30960	1			30960		other	0
pilot01	3	Nothing	2	94782	31200	1			31200		other	0
pilot01	3	Nothing	2	95022	31440	1			31440		other	0
pilot01	3	Nothing	2	95262	31680	1			31680		other	0
pilot01	3	Nothing	2	95502	31920	1			31920		other	0
pilot01	3	Nothing	2	95742	32160	1			32160		other	0
pilot01	3	Nothing	2	95982	32400	1			32400		other	0
pilot01	4	Picture	start	103702	0	1	5065	1	0	5000	other	0
pilot01	4	Sound	128	108702	5000	1			5000		other	0
pilot01	4	Picture	32	123829	20127	1	9730	1	20000	9700	other	0
pilot01	4	Nothing	1	133703	30000	1			30000		other	0
pilot01	4	Nothing	1	134003	30300	1			30300		other	0
pilot01	4	Nothing	1	134303	30600	1			30600		other	0
pilot01	4	Nothing	1	134603	30900	1			30900		other	0
pilot01	4	Nothing	1	134903	31200	1			31200		other	0
pilot01	4	Nothing	1	135203	31500	1			31500		other	0
pilot01	4	Nothing	1	135503	31800	1			31800		other	0
pilot01	4	Nothing	1	135803	32100	1			32100		other	0
pilot01	4	Nothing	1	136103	32400	1			32400		other	0
pilot01	5	Picture	start	143823	0	1	5065	1	0	5000	other	0
pilot01	5	Sound	128	148823	5000	1			5000		other	0
pilot01	5	Picture	32	163950	20127	1	9863	1	20000	9760	other	0
pilot01	5	Nothing	1	173823	30000	1			30000		other	0
pilot01	5	Nothing	1	174063	30240	1			30240		other	0
pilot01	5	Nothing	1	174303	30480	1			30480		other	0
pilot01	5	Nothing	1	174543	30720	1			30720		other	0
pilot01	5	Nothing	1	174783	30960	1			30960		other	0
pilot01	5	Nothing	1	175023	31200	1			31200		other	0
pilot01	5	Nothing	1	175263	31440	1			31440		other	0
pilot01	5	Nothing	1	175503	31680	1			31680		other	0
pilot01	5	Nothing	1	175743	31920	1			31920		other	0
pilot01	5	Nothing	1	175983	32160	1			32160		other	0
pilot01	5	Nothing	1	176223	32400	1			32400		other	0
pilot01	6	Picture	instruct	183943	0	1	93969	1	0	next	other	0
pilot01	6	Response	4	199536	15593	1
pilot01	7	Sound	eye_close	199687	0	1			0		other	0
pilot01	7	Response	4	277806	78118	1
pilot01	8	Picture	start	277913	0	1	12129	1	0	12000	other	0
pilot01	8	Sound	128	289912	12000	1			12000		other	0
pilot01	8	Picture	32	292041	14129	1	17728	1	14000	17680	other	0
pilot01	8	Nothing	1	309893	31980	1			31980		other	0
pilot01	8	Nothing	1	310193	32280	1			32280		other	0
pilot01	8	Nothing	1	310493	32580	1			32580		other	0
pilot01	8	Nothing	1	310793	32880	1			32880		other	0
pilot01	8	Nothing	1	311093	33180	1			33180		other	0
pilot01	8	Nothing	1	311393	33480	1			33480		other	0
pilot01	8	Nothing	1	311693	33780	1			33780		other	0
pilot01	8	Nothing	1	311993	34080	1			34080		other	0
pilot01	8	Nothing	1	312293	34380	1			34380		miss	0
pilot01	8	Response	8	319119	41207	1
pilot01	8A	Sound	incorrect	319255	0	1			0		other	0
pilot01	9	Picture	start	357887	0	1	12129	1	0	12000	other	0
pilot01	9	Sound	64	369886	12000	1			12000		other	0
pilot01	9	Picture	32	372015	14129	1	15728	1	14000	15620	other	0
pilot01	9	Nothing	2	387807	29920	1			29920		other	0
pilot01	9	Nothing	2	388107	30220	1			30220		other	0
pilot01	9	Nothing	2	388407	30520	1			30520		other	0
pilot01	9	Nothing	2	388707	30820	1			30820		other	0
pilot01	9	Nothing	2	389007	31120	1			31120		other	0
pilot01	9	Nothing	2	389307	31420	1			31420		other	0
pilot01	9	Nothing	2	389607	31720	1			31720		other	0
pilot01	9	Nothing	2	389907	32020	1			32020		other	0
pilot01	9	Nothing	2	390207	32320	1			32320		hit	85
pilot01	9	Response	4	394605	36719	1
pilot01	9A	Sound	correct	394734	0	1			0		other	0
pilot01	10	Picture	start	429330	0	1	12129	1	0	12000	other	0
pilot01	10	Sound	64	441330	12000	1			12000		other	0
pilot01	10	Picture	32	443459	14129	1	16528	1	14000	16450	other	0
pilot01	10	Nothing	2	460080	30750	1			30750		other	0
pilot01	10	Nothing	2	460380	31050	1			31050		other	0
pilot01	10	Nothing	2	460680	31350	1			31350		other	0
pilot01	10	Nothing	2	460980	31650	1			31650		other	0
pilot01	10	Nothing	2	461280	31950	1			31950		other	0
pilot01	10	Nothing	2	461580	32250	1			32250		other	0
pilot01	10	Nothing	2	461880	32550	1			32550		other	0
pilot01	10	Nothing	2	462180	32850	1			32850		other	0
pilot01	10	Nothing	2	462480	33150	1			33150		miss	0
pilot01	10	Response	8	469046	39716	1
pilot01	10A	Sound	incorrect	469198	0	1			0		other	0
pilot01	11	Picture	start	507838	0	1	12129	1	0	12000	other	0
pilot01	11	Sound	64	519838	12000	1			12000		other	0
pilot01	11	Picture	32	521967	14129	1	14129	1	14000	14100	other	0
pilot01	11	Nothing	2	536238	28400	1			28400		other	0
pilot01	11	Nothing	2	536538	28700	1			28700		other	0
pilot01	11	Nothing	2	536838	29000	1			29000		other	0
pilot01	11	Nothing	2	537138	29300	1			29300		other	0
pilot01	11	Nothing	2	537438	29600	1			29600		other	0
pilot01	11	Nothing	2	537738	29900	1			29900		other	0
pilot01	11	Nothing	2	538038	30200	1			30200		other	0
pilot01	11	Nothing	2	538338	30500	1			30500		other	0
pilot01	11	Nothing	2	538638	30800	1			30800		hit	113
pilot01	11	Response	4	543371	35533	1
pilot01	11A	Sound	correct	543559	0	1			0		other	0
pilot01	12	Picture	start	578215	0	1	12129	1	0	12000	other	0
pilot01	12	Sound	64	590215	12000	1			12000		other	0
pilot01	12	Picture	32	592344	14129	1	17461	1	14000	17420	other	0
pilot01	12	Nothing	2	609875	31660	1			31660		other	0
pilot01	12	Nothing	2	610115	31900	1			31900		other	0
pilot01	12	Nothing	2	610355	32140	1			32140		other	0
pilot01	12	Nothing	2	610595	32380	1			32380		other	0
pilot01	12	Nothing	2	610835	32620	1			32620		other	0
pilot01	12	Nothing	2	611075	32860	1			32860		other	0
pilot01	12	Nothing	2	611315	33100	1			33100		other	0
pilot01	12	Nothing	2	611555	33340	1			33340		other	0
pilot01	12	Nothing	2	611795	33580	1			33580		other	0
pilot01	12	Nothing	2	612035	33820	1			33820		other	0
pilot01	12	Nothing	2	612275	34060	1			34060		hit	129
pilot01	12	Response	8	618430	40215	1
pilot01	12A	Sound	correct	618632	0	1			0		other	0
pilot01	13	Picture	start	653257	0	1	12129	1	0	12000	other	0
pilot01	13	Sound	128	665257	12000	1			12000		other	0
pilot01	13	Picture	32	667386	14129	1	12396	1	14000	12350	other	0
pilot01	13	Nothing	1	679907	26650	1			26650		other	0
pilot01	13	Nothing	1	680207	26950	1			26950		other	0
pilot01	13	Nothing	1	680507	27250	1			27250		other	0
pilot01	13	Nothing	1	680807	27550	1			27550		other	0
pilot01	13	Nothing	1	681107	27850	1			27850		other	0
pilot01	13	Nothing	1	681407	28150	1			28150		other	0
pilot01	13	Nothing	1	681707	28450	1			28450		other	0
pilot01	13	Nothing	1	682007	28750	1			28750		other	0
pilot01	13	Nothing	1	682307	29050	1			29050		hit	143
pilot01	13	Response	4	691663	38406	1
pilot01	13A	Sound	correct	691775	0	1			0		other	0
pilot01	14	Picture	start	726434	0	1	12129	1	0	12000	other	0
pilot01	14	Sound	64	738433	12000	1			12000		other	0
pilot01	14	Picture	32	740562	14129	1	11063	1	14000	11040	other	0
pilot01	14	Nothing	2	751774	25340	1			25340		other	0
pilot01	14	Nothing	2	752074	25640	1			25640		other	0
pilot01	14	Nothing	2	752374	25940	1			25940		other	0
pilot01	14	Nothing	2	752674	26240	1			26240		other	0
pilot01	14	Nothing	2	752974	26540	1			26540		other	0
pilot01	14	Nothing	2	753274	26840	1			26840		other	0
pilot01	14	Nothing	2	753574	27140	1			27140		other	0
pilot01	14	Nothing	2	753874	27440	1			27440		other	0
pilot01	14	Nothing	2	754174	27740	1			27740		miss	0
pilot01	14	Response	8	761899	35466	1
pilot01	14A	Sound	incorrect	762073	0	1			0		other	0
pilot01	15	Picture	start	800809	0	1	12130	1	0	12000	other	0
pilot01	15	Sound	128	812809	12000	1			12000		other	0
pilot01	15	Picture	32	814938	14129	1	16395	1	14000	16340	other	0
pilot01	15	Nothing	1	831389	30580	1			30580		other	0
pilot01	15	Nothing	1	831629	30820	1			30820		other	0
pilot01	15	Nothing	1	831869	31060	1			31060		other	0
pilot01	15	Nothing	1	832109	31300	1			31300		other	0
pilot01	15	Nothing	1	832349	31540	1			31540		other	0
pilot01	15	Nothing	1	832589	31780	1			31780		other	0
pilot01	15	Nothing	1	832829	32020	1			32020		other	0
pilot01	15	Nothing	1	833069	32260	1			32260		other	0
pilot01	15	Nothing	1	833309	32500	1			32500		other	0
pilot01	15	Nothing	1	833549	32740	1			32740		other	0
pilot01	15	Nothing	1	833789	32980	1			32980		miss	0
pilot01	15	Response	4	840618	39809	1
pilot01	15A	Sound	incorrect	840803	0	1			0		other	0
pilot01	16	Picture	start	879451	0	1	12129	1	0	12000	other	0
pilot01	16	Sound	128	891450	12000	1			12000		other	0
pilot01	16	Picture	32	893579	14129	1	12263	1	14000	12190	other	0
pilot01	16	Nothing	1	905941	26490	1			26490		other	0
pilot01	16	Nothing	1	906241	26790	1			26790		other	0
pilot01	16	Nothing	1	906541	27090	1			27090		other	0
pilot01	16	Nothing	1	906841	27390	1			27390		other	0
pilot01	16	Nothing	1	907141	27690	1			27690		other	0
pilot01	16	Nothing	1	907441	27990	1			27990		other	0
pilot01	16	Nothing	1	907741	28290	1			28290		other	0
pilot01	16	Nothing	1	908041	28590	1			28590		other	0
pilot01	16	Nothing	1	908341	28890	1			28890		hit	187
pilot01	16	Response	4	915289	35839	1
pilot01	16A	Sound	correct	915469	0	1			0		other	0
pilot01	17	Picture	start	950094	0	1	12129	1	0	12000	other	0
pilot01	17	Sound	128	962094	12000	1			12000		other	0
pilot01	17	Picture	32	964223	14129	1	14529	1	14000	14470	other	0
pilot01	17	Nothing	1	978804	28710	1			28710		other	0
