Scenario - spatial attention block
Logfile written - 10/07/2019 10:47:42

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

pilot01	1	Picture	example	10266	0	1	458784	1	0	next	other	0
pilot01	1	Response	4	468962	458696	1
pilot01	2	Picture	start	469051	0	1	5065	1	0	5000	other	0
pilot01	2	Sound	64	474050	5000	1			5000		other	0
pilot01	2	Picture	32	489177	20127	1	9730	1	20000	9700	other	0
pilot01	2	Nothing	2	499051	30000	1			30000		other	0
pilot01	2	Nothing	2	499351	30300	1			30300		other	0
pilot01	2	Nothing	2	499651	30600	1			30600		other	0
pilot01	2	Nothing	2	499951	30900	1			30900		other	0
pilot01	2	Nothing	2	500251	31200	1			31200		other	0
pilot01	2	Nothing	2	500551	31500	1			31500		other	0
pilot01	2	Nothing	2	500851	31800	1			31800		other	0
pilot01	2	Nothing	2	501151	32100	1			32100		other	0
pilot01	2	Nothing	2	501451	32400	1			32400		other	0
pilot01	3	Picture	start	509171	0	1	5065	1	0	5000	other	0
pilot01	3	Sound	64	514171	5000	1			5000		other	0
pilot01	3	Picture	32	529298	20127	1	9863	1	20000	9760	other	0
pilot01	3	Nothing	2	539171	30000	1			30000		other	0
pilot01	3	Nothing	2	539411	30240	1			30240		other	0
pilot01	3	Nothing	2	539651	30480	1			30480		other	0
pilot01	3	Nothing	2	539891	30720	1			30720		other	0
pilot01	3	Nothing	2	540131	30960	1			30960		other	0
pilot01	3	Nothing	2	540371	31200	1			31200		other	0
pilot01	3	Nothing	2	540611	31440	1			31440		other	0
pilot01	3	Nothing	2	540851	31680	1			31680		other	0
pilot01	3	Nothing	2	541091	31920	1			31920		other	0
pilot01	3	Nothing	2	541331	32160	1			32160		other	0
pilot01	3	Nothing	2	541571	32400	1			32400		other	0
pilot01	4	Picture	start	549291	0	1	5065	1	0	5000	other	0
pilot01	4	Sound	128	554291	5000	1			5000		other	0
pilot01	4	Picture	32	569418	20127	1	9730	1	20000	9700	other	0
pilot01	4	Nothing	1	579291	30000	1			30000		other	0
pilot01	4	Nothing	1	579591	30300	1			30300		other	0
pilot01	4	Nothing	1	579891	30600	1			30600		other	0
pilot01	4	Nothing	1	580191	30900	1			30900		other	0
pilot01	4	Nothing	1	580491	31200	1			31200		other	0
pilot01	4	Nothing	1	580791	31500	1			31500		other	0
pilot01	4	Nothing	1	581091	31800	1			31800		other	0
pilot01	4	Nothing	1	581391	32100	1			32100		other	0
pilot01	4	Nothing	1	581691	32400	1			32400		other	0
pilot01	5	Picture	start	589411	0	1	5065	1	0	5000	other	0
pilot01	5	Sound	128	594411	5000	1			5000		other	0
