Scenario - spatial attention closed PRACTISE SESSION 1
Logfile written - 09/26/2019 12:35:23

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

pilot01	1	Picture	example	10266	0	1	13462	1	0	next	other	0
pilot01	1	Response	251	23674	13408	1
pilot01	2	Picture	start	23729	0	1	5065	1	0	5000	other	0
pilot01	2	Sound	64	28728	5000	1			5000		other	0
pilot01	2	Picture	32	43855	20127	1	9730	2	20000	9700	other	0
pilot01	2	Nothing	2	53729	30000	1			30000		other	0
pilot01	2	Nothing	2	54029	30300	1			30300		other	0
pilot01	2	Nothing	2	54329	30600	1			30600		other	0
pilot01	2	Nothing	2	54629	30900	1			30900		other	0
pilot01	2	Nothing	2	54929	31200	1			31200		other	0
pilot01	2	Nothing	2	55229	31500	1			31500		other	0
pilot01	2	Nothing	2	55529	31800	1			31800		other	0
pilot01	2	Nothing	2	55829	32100	1			32100		other	0
pilot01	2	Nothing	2	56129	32400	1			32400		other	0
pilot01	3	Picture	start	63849	0	1	5065	1	0	5000	other	0
pilot01	3	Sound	64	68848	5000	1			5000		other	0
pilot01	3	Picture	32	83975	20127	1	9863	1	20000	9800	other	0
pilot01	3	Nothing	2	93849	30000	1			30000		other	0
pilot01	3	Nothing	2	94049	30200	1			30200		other	0
pilot01	3	Nothing	2	94249	30400	1			30400		other	0
pilot01	3	Nothing	2	94449	30600	1			30600		other	0
pilot01	3	Nothing	2	94649	30800	1			30800		other	0
pilot01	3	Nothing	2	94849	31000	1			31000		other	0
pilot01	3	Nothing	2	95049	31200	1			31200		other	0
pilot01	3	Nothing	2	95249	31400	1			31400		other	0
pilot01	3	Nothing	2	95449	31600	1			31600		other	0
pilot01	3	Nothing	2	95649	31800	1			31800		other	0
pilot01	3	Nothing	2	95849	32000	1			32000		other	0
pilot01	3	Nothing	2	96049	32200	1			32200		other	0
pilot01	3	Nothing	2	96249	32400	1			32400		other	0
pilot01	4	Picture	start	103968	0	1	5065	1	0	5000	other	0
pilot01	4	Sound	128	108968	5000	1			5000		other	0
pilot01	4	Picture	32	124095	20127	1	9730	1	20000	9700	other	0
pilot01	4	Nothing	1	133969	30000	1			30000		other	0
pilot01	4	Nothing	1	134269	30300	1			30300		other	0
pilot01	4	Nothing	1	134569	30600	1			30600		other	0
pilot01	4	Nothing	1	134869	30900	1			30900		other	0
pilot01	4	Nothing	1	135169	31200	1			31200		other	0
pilot01	4	Nothing	1	135469	31500	1			31500		other	0
pilot01	4	Nothing	1	135769	31800	1			31800		other	0
pilot01	4	Nothing	1	136069	32100	1			32100		other	0
pilot01	4	Nothing	1	136369	32400	1			32400		other	0
pilot01	5	Picture	start	144088	0	1	5065	1	0	5000	other	0
pilot01	5	Sound	128	149088	5000	1			5000		other	0
pilot01	5	Picture	32	164215	20127	1	9863	1	20000	9800	other	0
pilot01	5	Nothing	1	174089	30000	1			30000		other	0
pilot01	5	Nothing	1	174289	30200	1			30200		other	0
pilot01	5	Nothing	1	174489	30400	1			30400		other	0
pilot01	5	Nothing	1	174689	30600	1			30600		other	0
pilot01	5	Nothing	1	174889	30800	1			30800		other	0
pilot01	5	Nothing	1	175089	31000	1			31000		other	0
pilot01	5	Nothing	1	175289	31200	1			31200		other	0
pilot01	5	Nothing	1	175489	31400	1			31400		other	0
pilot01	5	Nothing	1	175689	31600	1			31600		other	0
pilot01	5	Nothing	1	175889	31800	1			31800		other	0
pilot01	5	Nothing	1	176089	32000	1			32000		other	0
pilot01	5	Nothing	1	176289	32200	1			32200		other	0
pilot01	5	Nothing	1	176489	32400	1			32400		other	0
pilot01	6	Picture	instruct	184208	0	1	136088	1	0	next	other	0
pilot01	6	Response	251	245436	61227	1
pilot01	7	Sound	eye_close	245593	0	1			0		other	0
pilot01	7	Response	251	320215	74623	1
pilot01	8	Picture	start	320296	0	1	12129	1	0	12000	other	0
pilot01	8	Sound	64	332296	12000	1			12000		other	0
pilot01	8	Picture	32	334425	14129	1	14395	1	14000	14270	other	0
pilot01	8	Nothing	2	348866	28570	1			28570		other	0
pilot01	8	Nothing	2	349166	28870	1			28870		other	0
pilot01	8	Nothing	2	349466	29170	1			29170		other	0
pilot01	8	Nothing	2	349766	29470	1			29470		other	0
pilot01	8	Nothing	2	350066	29770	1			29770		other	0
pilot01	8	Nothing	2	350366	30070	1			30070		other	0
pilot01	8	Nothing	2	350666	30370	1			30370		other	0
pilot01	8	Nothing	2	350966	30670	1			30670		other	0
pilot01	8	Nothing	2	351266	30970	1			30970		miss	0
pilot01	8	Response	252	358626	38330	1
pilot01	8A	Sound	incorrect	358760	0	1			0		other	0
pilot01	9	Picture	start	397470	0	1	12129	1	0	12000	other	0
pilot01	9	Sound	64	409470	12000	1			12000		other	0
pilot01	9	Picture	32	411599	14129	1	11196	1	14000	11130	other	0
pilot01	9	Nothing	2	422801	25330	1			25330		other	0
pilot01	9	Nothing	2	423001	25530	1			25530		other	0
pilot01	9	Nothing	2	423201	25730	1			25730		other	0
pilot01	9	Nothing	2	423401	25930	1			25930		other	0
pilot01	9	Nothing	2	423601	26130	1			26130		other	0
pilot01	9	Nothing	2	423801	26330	1			26330		other	0
pilot01	9	Nothing	2	424001	26530	1			26530		other	0
pilot01	9	Nothing	2	424201	26730	1			26730		other	0
pilot01	9	Nothing	2	424401	26930	1			26930		other	0
pilot01	9	Nothing	2	424601	27130	1			27130		other	0
pilot01	9	Nothing	2	424801	27330	1			27330		other	0
pilot01	9	Nothing	2	425001	27530	1			27530		other	0
pilot01	9	Nothing	2	425201	27730	1			27730		miss	0
pilot01	9	Response	251	432681	35210	1
pilot01	9A	Sound	incorrect	432816	0	1			0		other	0
pilot01	10	Picture	start	471579	0	1	12129	1	0	12000	other	0
pilot01	10	Sound	64	483579	12000	1			12000		other	0
pilot01	10	Picture	32	485708	14129	1	15861	1	14000	15740	other	0
pilot01	10	Nothing	2	501619	30040	1			30040		other	0
pilot01	10	Nothing	2	501919	30340	1			30340		other	0
pilot01	10	Nothing	2	502219	30640	1			30640		other	0
pilot01	10	Nothing	2	502519	30940	1			30940		other	0
pilot01	10	Nothing	2	502819	31240	1			31240		other	0
pilot01	10	Nothing	2	503119	31540	1			31540		other	0
pilot01	10	Nothing	2	503419	31840	1			31840		other	0
pilot01	10	Nothing	2	503719	32140	1			32140		other	0
pilot01	10	Nothing	2	504019	32440	1			32440		miss	0
pilot01	10	Response	252	511772	40193	1
pilot01	10A	Sound	incorrect	511951	0	1			0		other	0
pilot01	11	Picture	start	550619	0	1	12129	1	0	12000	other	0
pilot01	11	Sound	128	562619	12000	1			12000		other	0
pilot01	11	Picture	32	564748	14129	1	10663	1	14000	10590	other	0
pilot01	11	Nothing	1	575411	24792	1			24790		other	0
pilot01	11	Nothing	1	575611	24992	1			24990		other	0
pilot01	11	Nothing	1	575811	25192	1			25190		other	0
pilot01	11	Nothing	1	576012	25392	1			25390		other	0
pilot01	11	Nothing	1	576212	25592	1			25590		other	0
pilot01	11	Nothing	1	576412	25792	1			25790		other	0
pilot01	11	Nothing	1	576612	25992	1			25990		other	0
pilot01	11	Nothing	1	576812	26192	1			26190		other	0
pilot01	11	Nothing	1	577012	26392	1			26390		other	0
pilot01	11	Nothing	1	577212	26592	1			26590		other	0
pilot01	11	Nothing	1	577412	26792	1			26790		other	0
