Scenario - spatial attention closed PRACTISE SESSION 1
Logfile written - 09/26/2019 12:38:11

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

pilot01	1	Picture	example	10267	0	1	22659	1	0	next	other	0
pilot01	1	Response	9	32819	22552	1
pilot01	2	Picture	start	32925	0	1	5065	1	0	5000	other	0
pilot01	2	Sound	64	37925	5000	1			5000		other	0
pilot01	2	Picture	32	53052	20127	1	9730	2	20000	9600	other	0
pilot01	2	Nothing	2	62926	30000	1			30000		other	0
pilot01	2	Nothing	2	63326	30400	1			30400		other	0
pilot01	2	Nothing	2	63726	30800	1			30800		other	0
pilot01	2	Nothing	2	64126	31200	1			31200		other	0
pilot01	2	Nothing	2	64526	31600	1			31600		other	0
pilot01	2	Nothing	2	64926	32000	1			32000		other	0
pilot01	2	Nothing	2	65326	32400	1			32400		other	0
pilot01	3	Picture	start	73045	0	1	5065	1	0	5000	other	0
pilot01	3	Sound	64	78045	5000	1			5000		other	0
pilot01	3	Picture	32	93172	20127	1	9863	1	20000	9800	other	0
pilot01	3	Nothing	2	103045	30000	1			30000		other	0
pilot01	3	Nothing	2	103245	30200	1			30200		other	0
pilot01	3	Nothing	2	103445	30400	1			30400		other	0
pilot01	3	Nothing	2	103645	30600	1			30600		other	0
pilot01	3	Nothing	2	103845	30800	1			30800		other	0
pilot01	3	Nothing	2	104045	31000	1			31000		other	0
pilot01	3	Nothing	2	104245	31200	1			31200		other	0
pilot01	3	Nothing	2	104446	31400	1			31400		other	0
pilot01	3	Nothing	2	104646	31600	1			31600		other	0
pilot01	3	Nothing	2	104846	31800	1			31800		other	0
pilot01	3	Nothing	2	105046	32000	1			32000		other	0
pilot01	3	Nothing	2	105246	32200	1			32200		other	0
pilot01	3	Nothing	2	105446	32400	1			32400		other	0
pilot01	4	Picture	start	113165	0	1	5065	1	0	5000	other	0
pilot01	4	Sound	128	118165	5000	1			5000		other	0
pilot01	4	Picture	32	133292	20127	1	9730	2	20000	9600	other	0
pilot01	4	Nothing	1	143166	30000	1			30000		other	0
pilot01	4	Nothing	1	143566	30400	1			30400		other	0
pilot01	4	Nothing	1	143966	30800	1			30800		other	0
pilot01	4	Nothing	1	144366	31200	1			31200		other	0
pilot01	4	Nothing	1	144766	31600	1			31600		other	0
pilot01	4	Nothing	1	145166	32000	1			32000		other	0
pilot01	4	Nothing	1	145566	32400	1			32400		other	0
pilot01	5	Picture	start	153285	0	1	5065	1	0	5000	other	0
pilot01	5	Sound	128	158285	5000	1			5000		other	0
pilot01	5	Picture	32	173412	20127	1	9863	1	20000	9800	other	0
pilot01	5	Nothing	1	183286	30000	1			30000		other	0
pilot01	5	Nothing	1	183486	30200	1			30200		other	0
