Scenario - spatial attention practice
Logfile written - 10/07/2019 09:55:05

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

pilot01	1	Picture	example	10266	0	1	16128	1	0	next	other	0
pilot01	1	Response	4	26314	16048	1
pilot01	2	Picture	start	26394	0	1	5065	1	0	5000	other	0
pilot01	2	Sound	64	31394	4999	1			5000		other	0
pilot01	2	Picture	32	46521	20127	1	9730	1	20000	9700	other	0
pilot01	2	Nothing	2	56394	30000	1			30000		other	0
pilot01	2	Nothing	2	56694	30300	1			30300		other	0
pilot01	2	Nothing	2	56994	30600	1			30600		other	0
pilot01	2	Nothing	2	57294	30900	1			30900		other	0
pilot01	2	Nothing	2	57594	31200	1			31200		other	0
pilot01	2	Nothing	2	57894	31500	1			31500		other	0
pilot01	2	Nothing	2	58194	31800	1			31800		other	0
pilot01	2	Nothing	2	58494	32100	1			32100		other	0
pilot01	2	Nothing	2	58794	32400	1			32400		other	0
pilot01	3	Picture	start	66515	0	1	5065	1	0	5000	other	0
pilot01	3	Sound	64	71514	5000	1			5000		other	0
pilot01	3	Picture	32	86641	20127	1	9863	1	20000	9800	other	0
pilot01	3	Nothing	2	96515	30000	1			30000		other	0
pilot01	3	Nothing	2	96715	30200	1			30200		other	0
pilot01	3	Nothing	2	96915	30400	1			30400		other	0
pilot01	3	Nothing	2	97115	30600	1			30600		other	0
pilot01	3	Nothing	2	97315	30800	1			30800		other	0
pilot01	3	Nothing	2	97515	31000	1			31000		other	0
pilot01	3	Nothing	2	97715	31200	1			31200		other	0
pilot01	3	Nothing	2	97915	31400	1			31400		other	0
pilot01	3	Nothing	2	98115	31600	1			31600		other	0
pilot01	3	Nothing	2	98315	31800	1			31800		other	0
pilot01	3	Nothing	2	98515	32000	1			32000		other	0
pilot01	3	Nothing	2	98715	32200	1			32200		other	0
pilot01	3	Nothing	2	98915	32400	1			32400		other	0
pilot01	4	Picture	start	106635	0	1	5065	1	0	5000	other	0
pilot01	4	Sound	128	111634	5000	1			5000		other	0
pilot01	4	Picture	32	126761	20127	1	9730	1	20000	9700	other	0
pilot01	4	Nothing	1	136635	30000	1			30000		other	0
pilot01	4	Nothing	1	136935	30300	1			30300		other	0
pilot01	4	Nothing	1	137235	30600	1			30600		other	0
pilot01	4	Nothing	1	137535	30900	1			30900		other	0
pilot01	4	Nothing	1	137835	31200	1			31200		other	0
pilot01	4	Nothing	1	138135	31500	1			31500		other	0
pilot01	4	Nothing	1	138435	31800	1			31800		other	0
pilot01	4	Nothing	1	138735	32100	1			32100		other	0
pilot01	4	Nothing	1	139035	32400	1			32400		other	0
pilot01	5	Picture	start	146755	0	1	5065	1	0	5000	other	0
pilot01	5	Sound	128	151755	5000	1			5000		other	0
pilot01	5	Picture	32	166881	20127	1	9863	1	20000	9800	other	0
pilot01	5	Nothing	1	176755	30000	1			30000		other	0
pilot01	5	Nothing	1	176955	30200	1			30200		other	0
pilot01	5	Nothing	1	177155	30400	1			30400		other	0
pilot01	5	Nothing	1	177355	30600	1			30600		other	0
pilot01	5	Nothing	1	177555	30800	1			30800		other	0
pilot01	5	Nothing	1	177755	31000	1			31000		other	0
pilot01	5	Nothing	1	177955	31200	1			31200		other	0
pilot01	5	Nothing	1	178155	31400	1			31400		other	0
pilot01	5	Nothing	1	178355	31600	1			31600		other	0
pilot01	5	Nothing	1	178555	31800	1			31800		other	0
pilot01	5	Nothing	1	178755	32000	1			32000		other	0
pilot01	5	Nothing	1	178955	32200	1			32200		other	0
pilot01	5	Nothing	1	179155	32400	1			32400		other	0
pilot01	6	Picture	instruct	186875	0	1	150217	1	0	next	other	0
pilot01	6	Response	4	261250	74375	1
pilot01	7	Sound	eye_close	261443	0	1			0		other	0
pilot01	7	Response	4	337001	75558	1
pilot01	8	Picture	start	337092	0	1	12129	1	0	12000	other	0
