Subject: bonwi
Blockt: 7

N	Cue	D1 	Dis	D2 	Tar	ER	SR	FA	MR	HIT	RT
1	0	317	1	383	2	1	1	0	1	1	524
2	0	89	0	611	3	2	2	0	1	1	493
3	0	630	2	70	2	1	1	0	1	1	498
4	2	272	0	428	4	2	2	0	1	1	494
5	2	402	0	298	4	2	2	0	1	1	445
6	0	560	0	140	2	1	1	0	1	1	465
7	0	191	0	509	2	1	1	0	1	1	1013
8	2	625	0	75	4	2	2	0	1	1	530
9	0	261	0	439	1	1	1	0	1	1	454
10	1	513	2	187	3	2	2	0	1	1	892
11	1	82	0	618	3	2	2	0	1	1	484
12	0	270	1	430	1	1	1	0	1	1	517
13	2	459	0	241	2	1	1	0	1	1	505
14	2	120	0	580	4	2	2	0	1	1	523
15	1	320	0	380	1	1	1	0	1	1	423
16	0	155	0	545	4	2	2	0	1	1	555
17	0	93	0	607	1	1	1	0	1	1	424
18	0	571	0	129	1	1	1	0	1	1	446
19	1	406	0	294	3	2	2	0	1	1	445
20	2	606	0	94	2	1	1	0	2	0	504
21	1	350	0	350	3	2	2	0	1	1	384
22	0	470	0	230	2	1	1	0	1	1	479
23	2	67	0	633	4	2	2	0	1	1	517
24	1	295	0	405	3	2	2	0	1	1	481
25	1	627	0	73	1	1	1	0	1	1	464
26	0	155	0	545	3	2	2	0	1	1	840
27	1	376	0	324	3	2	2	0	1	1	824
28	0	448	2	252	3	2	2	0	1	1	415
29	0	435	2	265	4	2	2	0	1	1	373
30	0	639	0	61	3	2	2	0	1	1	469
31	0	239	0	461	4	2	2	0	1	1	394
32	0	154	0	546	2	1	1	0	1	1	465
33	2	392	0	308	2	1	1	0	1	1	539
34	1	520	0	180	1	1	1	0	1	1	437
35	0	397	0	303	4	2	2	0	1	1	426
36	2	269	1	431	2	1	1	0	1	1	516
37	1	306	0	394	1	1	1	0	1	1	579
38	0	194	0	506	1	1	1	0	1	1	442
39	2	417	2	283	4	2	2	0	1	1	396
40	0	147	1	553	3	2	2	0	1	1	590
41	1	582	0	118	1	1	1	0	1	1	450
42	0	471	0	229	2	1	1	0	1	1	571
43	1	372	2	328	1	1	1	0	1	1	512
44	2	190	0	510	2	1	1	0	1	1	550
45	0	394	0	306	4	2	2	0	1	1	398
46	0	560	0	140	3	2	2	0	1	1	489
47	0	97	0	603	2	1	1	0	1	1	445
48	2	633	2	67	2	1	1	0	1	1	519
49	1	254	0	446	1	1	1	0	1	1	519
50	1	553	0	147	3	2	2	0	1	1	625
51	1	90	1	610	1	1	1	0	1	1	365
52	2	645	0	55	4	2	2	0	1	1	400
53	0	256	1	444	4	2	2	0	1	1	719
54	0	311	0	389	3	2	2	0	1	1	428
55	2	192	0	508	2	1	1	0	1	1	341
56	0	418	0	282	3	2	2	0	1	1	524
57	0	96	0	604	4	2	2	0	1	1	387
58	1	297	1	403	3	2	2	0	1	1	522
59	0	379	0	321	1	1	1	0	1	1	427
60	0	578	2	122	1	1	1	0	1	1	585
61	0	400	0	300	1	1	1	0	1	1	494
62	2	60	1	640	4	2	2	0	1	1	368
63	0	412	0	288	4	2	2	0	1	1	397
64	2	217	0	483	2	1	1	0	2	0	535

nb trial with correct rep:62
nb trial with no rep:0
nb trial with incorrect rep:0
dont nb trial with multip rep:2
dont nb trial with FA:0
Average RT:503
