Subject: fc7
Blockt: 7

N	Cue	D1 	Dis	D2 	Tar	ER	SR	FA	MR	HIT	RT
1	0	317	1	383	2	1	1	0	1	1	666
2	0	89	0	611	3	2	2	0	1	1	438
3	0	630	2	70	2	1	1	0	1	1	626
4	2	272	0	428	4	2	2	0	1	1	541
5	2	402	0	298	4	2	2	0	1	1	445
6	0	560	0	140	2	1	1	0	1	1	557
7	0	191	0	509	2	1	1	0	1	1	601
8	2	625	0	75	4	2	2	0	1	1	457
9	0	261	0	439	1	1	1	0	1	1	464
10	1	513	2	187	3	2	1	0	1	0	416
11	1	82	0	618	3	2	1	0	1	0	1326
12	0	270	1	430	1	1	1	0	1	1	540
13	2	459	0	241	2	1	1	0	1	1	658
14	2	120	0	580	4	2	2	0	1	1	696
15	1	320	0	380	1	1	1	0	1	1	587
16	0	155	0	545	4	2	2	0	1	1	550
17	0	93	0	607	1	1	1	0	1	1	562
18	0	571	0	129	1	1	1	0	1	1	550
19	1	406	0	294	3	2	2	0	1	1	413
20	2	606	0	94	2	1	1	0	1	1	415
21	1	350	0	350	3	2	2	0	1	1	643
22	0	470	0	230	2	1	1	0	1	1	495
23	2	67	0	633	4	2	2	0	1	1	439
24	1	295	0	405	3	2	2	0	1	1	642
25	1	627	0	73	1	1	1	0	1	1	962
26	0	155	0	545	3	2	2	0	1	1	654
27	1	376	0	324	3	2	2	0	1	1	855
28	0	448	2	252	3	2	2	0	1	1	449
29	0	435	2	265	4	2	2	0	1	1	525
30	0	639	0	61	3	2	2	0	1	1	544
31	0	239	0	461	4	2	2	0	1	1	469
32	0	154	0	546	2	1	1	0	1	1	563
33	2	392	0	308	2	1	1	0	1	1	484
34	1	520	0	180	1	1	1	0	1	1	402
35	0	397	0	303	4	2	2	0	1	1	558
36	2	269	1	431	2	1	1	0	1	1	445
37	1	306	0	394	1	1	1	0	1	1	395
38	0	194	0	506	1	1	1	0	1	1	436
39	2	417	2	283	4	2	2	0	1	1	460
40	0	147	1	553	3	2	1	0	1	0	462
41	1	582	0	118	1	1	1	0	1	1	480
42	0	471	0	229	2	1	1	0	1	1	489
43	1	372	2	328	1	1	1	0	1	1	801
44	2	190	0	510	2	1	1	0	1	1	486
45	0	394	0	306	4	2	2	0	1	1	521
46	0	560	0	140	3	2	2	0	1	1	689
47	0	97	0	603	2	1	1	0	1	1	607
48	2	633	2	67	2	1	1	0	1	1	1384
49	1	254	0	446	1	1	1	0	1	1	530
50	1	553	0	147	3	2	2	0	1	1	535
51	1	90	1	610	1	1	1	0	1	1	436
52	2	645	0	55	4	2	2	0	1	1	650
53	0	256	1	444	4	2	2	0	1	1	475
54	0	311	0	389	3	2	2	0	1	1	574
55	2	192	0	508	2	1	1	0	1	1	446
56	0	418	0	282	3	2	2	0	1	1	500
57	0	96	0	604	4	2	2	0	1	1	562
58	1	297	1	403	3	2	2	0	1	1	461
59	0	379	0	321	1	1	1	0	1	1	530
60	0	578	2	122	1	1	1	0	1	1	597
61	0	400	0	300	1	1	1	0	1	1	838
62	2	60	1	640	4	2	2	0	1	1	390
63	0	412	0	288	4	2	2	0	1	1	466
64	2	217	0	483	2	1	1	0	1	1	479

nb trial with correct rep:61
nb trial with no rep:0
nb trial with incorrect rep:3
dont nb trial with multip rep:0
dont nb trial with FA:0
Average RT:559
