Scenario - SeuilAuditif
Logfile written - 07/03/2017 10:02:44

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

causa	2	Sound	L_tarson_Left_0.7	538	40	1			0		other	0
causa	3	Sound	L_tarson_Left_0.65	10715	52	1			0		other	0
causa	3	Response	1	14927	4264	1
causa	4	Sound	L_tarson-Left-0.6	20862	33	1			0		other	0
causa	5	Sound	L_tarson_Left_0.6	31039	44	1			0		other	0
causa	6	Sound	L_tarson_Left_0.65	41215	55	1			0		other	0
causa	7	Sound	L_tarson_Left_0.7	51362	36	1			0		other	0
causa	8	Sound	L_tarson_Left_0.75	61539	48	1			0		other	0
causa	9	Sound	L_tarson_Left_0.8	71716	59	1			0		other	0
causa	10	Sound	L_tarson_Left_0.85	81863	41	1			0		other	0
causa	11	Sound	L_tarson_Left_0.9	92039	51	2			0		other	0
causa	11	Response	1	95783	3795	1
causa	12	Sound	L_tarson-Left-0.95	102186	32	1			0		other	0
causa	13	Sound	L_tarson_Left_0.95	112363	44	1			0		other	0
causa	14	Sound	L_tarson_Left_0.93	122540	55	1			0		other	0
causa	15	Sound	L_tarson_Left_0.91	132687	37	1			0		other	0
causa	16	Sound	L_tarson_Left_0.89	142864	48	1			0		other	0
causa	17	Sound	L_tarson_Left_0.87	153040	59	1			0		other	0
causa	18	Sound	L_tarson_Left_0.85	163187	40	1			0		other	0
causa	19	Sound	L_tarson_Left_0.83	173364	52	1			0		other	0
causa	20	Sound	L_tarson_Left_0.81	183511	33	1			0		other	0
causa	21	Sound	L_tarson_Left_0.79	193687	43	2			0		other	0
causa	22	Sound	L_tarson_Left_0.77	203864	55	1			0		other	0
causa	23	Sound	L_tarson_Left_0.75	214011	36	1			0		other	0
causa	24	Sound	L_tarson_Left_0.73	224188	47	1			0		other	0
causa	25	Sound	L_tarson_Left_0.71	234365	59	1			0		other	0
causa	26	Sound	L_tarson_Left_0.69	244512	40	1			0		other	0
causa	27	Sound	L_tarson_Left_0.67	254688	51	1			0		other	0
causa	28	Sound	L_tarson_Left_0.65	264835	32	1			0		other	0
causa	29	Sound	L_tarson_Left_0.63	275012	44	1			0		other	0
causa	30	Sound	L_tarson_Left_0.61	285189	55	1			0		other	0
causa	31	Sound	L_tarson_Left_0.59	295335	35	2			0		other	0
causa	32	Sound	L_tarson_Left_0.57	305513	48	1			0		other	0
causa	33	Sound	L_tarson_Left_0.55	315689	59	1			0		other	0
causa	34	Sound	L_tarson_Left_0.53	325836	40	1			0		other	0
causa	35	Sound	L_tarson_Left_0.51	336013	51	1			0		other	0
causa	36	Sound	L_tarson_Left_0.49	346160	33	1			0		other	0
causa	37	Sound	L_tarson_Left_0.47	356336	43	1			0		other	0
causa	38	Sound	L_tarson_Left_0.45	366513	55	1			0		other	0
causa	39	Sound	L_tarson_Left_0.43	376660	36	1			0		other	0
causa	40	Sound	L_tarson_Left_0.41	386837	47	1			0		other	0
causa	41	Sound	L_tarson_Left_0.39	397013	58	2			0		other	0
causa	42	Sound	L_tarson_Left_0.37	407160	39	2			0		other	0
causa	43	Sound	L_tarson_Left_0.35	417337	51	1			0		other	0
causa	44	Sound	L_tarson_Left_0.33	427484	32	1			0		other	0
causa	45	Sound	L_tarson_Left_0.31	437661	44	1			0		other	0
causa	46	Sound	L_tarson_Left_0.29	447837	54	2			0		other	0
causa	47	Sound	L_tarson_Left_0.27	457984	35	2			0		other	0
causa	48	Sound	L_tarson_Left_0.25	468161	47	1			0		other	0
causa	48	Response	1	473021	4907	1
causa	49	Sound	L_tarson-Left-0.23	478338	58	2			0		other	0
causa	50	Sound	L_tarson_Left_0.23	488485	40	1			0		other	0
causa	51	Sound	L_tarson_Left_0.25	498661	50	2			0		other	0
causa	52	Sound	L_tarson_Left_0.27	508808	31	2			0		other	0
causa	53	Sound	L_tarson_Left_0.29	518985	43	1			0		other	0
causa	54	Sound	L_tarson_Left_0.31	529162	54	1			0		other	0
causa	55	Sound	L_tarson_Left_0.33	539309	36	1			0		other	0
causa	55	Response	1	541860	2587	1
causa	56	Sound	L_tarson-Left-0.35	549485	46	2			0		other	0
causa	57	Sound	L_tarson_Left_0.35	559662	58	2			0		other	0
causa	58	Sound	L_tarson_Left_0.33	569809	39	1			0		other	0
causa	59	Sound	L_tarson_Left_0.31	579986	51	1			0		other	0
causa	60	Sound	L_tarson_Left_0.29	590133	32	1			0		other	0
causa	61	Sound	L_tarson_Left_0.27	600310	43	1			0		other	0
causa	62	Sound	L_tarson_Left_0.25	610486	54	2			0		other	0
causa	62	Response	1	616902	6470	1
causa	63	Sound	L_tarson-Left-0.23	620633	35	1			0		other	0
causa	64	Sound	L_tarson_Left_0.23	630810	47	1			0		other	0
causa	65	Sound	L_tarson_Left_0.25	640987	58	1			0		other	0
causa	66	Sound	L_tarson_Left_0.27	651134	40	1			0		other	0
causa	67	Sound	L_tarson_Left_0.29	661310	50	2			0		other	0
causa	68	Sound	L_tarson_Left_0.31	671457	31	1			0		other	0
causa	69	Sound	L_tarson_Left_0.33	681634	43	1			0		other	0
causa	70	Sound	L_tarson_Left_0.35	691811	54	1			0		other	0
causa	70	Response	1	694514	2757	1
causa	72	Sound	H_tarson_Left_0.7	712284	30	1			0		other	0
causa	73	Sound	H_tarson_Left_0.65	722461	41	1			0		other	0
causa	74	Sound	H_tarson_Left_0.6	732638	52	1			0		other	0
causa	75	Sound	H_tarson_Left_0.55	742784	33	2			0		other	0
causa	76	Sound	H_tarson_Left_0.5	752961	44	1			0		other	0
causa	77	Sound	H_tarson_Left_0.45	763138	56	1			0		other	0
causa	78	Sound	H_tarson_Left_0.4	773285	37	1			0		other	0
causa	79	Sound	H_tarson_Left_0.35	783462	48	1			0		other	0
causa	80	Sound	H_tarson_Left_0.3	793609	30	1			0		other	0
causa	81	Sound	H_tarson_Left_0.25	803785	40	1			0		other	0
causa	82	Sound	H_tarson_Left_0.2	813962	52	1			0		other	0
causa	82	Response	1	814331	421	1
