Scenario - SeuilAuditif
Logfile written - 07/10/2017 14:32:59

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

chach	2	Sound	L_tarson_Left_0.7	537	39	2			0		other	0
chach	3	Sound	L_tarson_Left_0.65	10714	51	1			0		other	0
chach	4	Sound	L_tarson_Left_0.6	20861	32	1			0		other	0
chach	5	Sound	L_tarson_Left_0.55	31038	43	1			0		other	0
chach	6	Sound	L_tarson_Left_0.5	41215	55	1			0		other	0
chach	7	Sound	L_tarson_Left_0.45	51362	36	1			0		other	0
chach	8	Sound	L_tarson_Left_0.4	61539	47	1			0		other	0
chach	9	Sound	L_tarson_Left_0.35	71716	59	1			0		other	0
chach	10	Sound	L_tarson_Left_0.3	81862	39	1			0		other	0
chach	11	Sound	L_tarson_Left_0.25	92039	50	1			0		other	0
chach	11	Response	1	93032	1043	1
chach	12	Sound	L_tarson-Left-0.2	102186	32	1			0		other	0
chach	13	Sound	L_tarson_Left_0.2	112363	43	1			0		other	0
chach	14	Sound	L_tarson_Left_0.25	122540	55	1			0		other	0
chach	15	Sound	L_tarson_Left_0.3	132687	36	1			0		other	0
chach	16	Sound	L_tarson_Left_0.35	142864	47	1			0		other	0
chach	17	Sound	L_tarson_Left_0.4	153040	58	2			0		other	0
chach	18	Sound	L_tarson_Left_0.45	163187	39	1			0		other	0
chach	18	Response	1	167300	4152	1
chach	19	Sound	L_tarson-Left-0.5	173364	50	1			0		other	0
chach	20	Sound	L_tarson_Left_0.5	183511	32	1			0		other	0
chach	21	Sound	L_tarson_Left_0.48	193688	43	1			0		other	0
chach	22	Sound	L_tarson_Left_0.46	203865	55	1			0		other	0
chach	23	Sound	L_tarson_Left_0.44	214011	35	2			0		other	0
chach	24	Sound	L_tarson_Left_0.42	224188	46	2			0		other	0
chach	25	Sound	L_tarson_Left_0.4	234365	58	1			0		other	0
chach	26	Sound	L_tarson_Left_0.38	244512	39	1			0		other	0
chach	27	Sound	L_tarson_Left_0.36	254689	50	1			0		other	0
chach	28	Sound	L_tarson_Left_0.34	264836	32	1			0		other	0
chach	29	Sound	L_tarson_Left_0.32	275013	43	1			0		other	0
chach	30	Sound	L_tarson_Left_0.3	285190	55	1			0		other	0
chach	31	Sound	L_tarson_Left_0.28	295337	36	1			0		other	0
chach	32	Sound	L_tarson_Left_0.26	305513	46	1			0		other	0
chach	33	Sound	L_tarson_Left_0.24	315690	58	1			0		other	0
chach	34	Sound	L_tarson_Left_0.22	325837	39	1			0		other	0
chach	35	Sound	L_tarson_Left_0.2	336014	50	1			0		other	0
chach	35	Response	1	338589	2625	2
chach	36	Sound	L_tarson-Left-0.18	346161	32	1			0		other	0
chach	37	Sound	L_tarson_Left_0.18	356338	43	1			0		other	0
chach	38	Sound	L_tarson_Left_0.2	366515	54	1			0		other	0
chach	39	Sound	L_tarson_Left_0.22	376661	35	2			0		other	0
chach	40	Sound	L_tarson_Left_0.24	386838	46	1			0		other	0
chach	40	Response	1	392035	5243	1
chach	41	Sound	L_tarson-Left-0.26	397015	57	1			0		other	0
chach	42	Sound	L_tarson_Left_0.26	407162	39	1			0		other	0
chach	43	Sound	L_tarson_Left_0.24	417339	50	1			0		other	0
chach	44	Sound	L_tarson_Left_0.22	427486	32	1			0		other	0
chach	45	Sound	L_tarson_Left_0.2	437663	43	1			0		other	0
chach	46	Sound	L_tarson_Left_0.18	447839	53	2			0		other	0
chach	47	Sound	L_tarson_Left_0.16	457986	35	2			0		other	0
chach	48	Sound	L_tarson_Left_0.14	468163	46	1			0		other	0
chach	49	Sound	L_tarson_Left_0.12	478340	57	1			0		other	0
chach	50	Sound	L_tarson_Left_9.99999999999997e-002	488487	39	1			0		other	0
chach	50	Response	1	496784	8336	1
chach	51	Sound	L_tarson-Left-7.99999999999997e-002	498664	50	1			0		other	0
chach	52	Sound	L_tarson_Left_7.99999999999997e-002	508811	32	1			0		other	0
chach	53	Sound	L_tarson_Left_9.99999999999997e-002	518987	42	2			0		other	0
chach	54	Sound	L_tarson_Left_0.12	529164	53	1			0		other	0
chach	55	Sound	L_tarson_Left_0.14	539311	35	1			0		other	0
chach	56	Sound	L_tarson_Left_0.16	549488	46	1			0		other	0
chach	57	Sound	L_tarson_Left_0.18	559665	57	1			0		other	0
chach	58	Sound	L_tarson_Left_0.2	569812	39	1			0		other	0
chach	59	Sound	L_tarson_Left_0.22	579989	50	1			0		other	0
chach	59	Response	1	584625	4686	1
chach	61	Sound	H_tarson_Left_0.7	600492	55	1			0		other	0
chach	62	Sound	H_tarson_Left_0.65	610639	37	1			0		other	0
chach	63	Sound	H_tarson_Left_0.6	620816	48	1			0		other	0
chach	64	Sound	H_tarson_Left_0.55	630993	60	1			0		other	0
chach	65	Sound	H_tarson_Left_0.5	641139	40	2			0		other	0
chach	66	Sound	H_tarson_Left_0.45	651316	51	1			0		other	0
chach	67	Sound	H_tarson_Left_0.4	661463	32	1			0		other	0
chach	68	Sound	H_tarson_Left_0.35	671640	44	1			0		other	0
chach	69	Sound	H_tarson_Left_0.3	681817	55	1			0		other	0
chach	70	Sound	H_tarson_Left_0.25	691964	37	1			0		other	0
chach	71	Sound	H_tarson_Left_0.2	702141	48	1			0		other	0
chach	72	Sound	H_tarson_Left_0.15	712317	58	2			0		other	0
chach	72	Response	1	716549	4290	1
chach	73	Sound	H_tarson-Left-9.99999999999999e-002	722464	40	2			0		other	0
chach	74	Sound	H_tarson_Left_9.99999999999999e-002	732641	51	1			0		other	0
chach	75	Sound	H_tarson_Left_0.15	742788	32	1			0		other	0
chach	76	Sound	H_tarson_Left_0.2	752965	44	1			0		other	0
chach	77	Sound	H_tarson_Left_0.25	763142	55	1			0		other	0
chach	78	Sound	H_tarson_Left_0.3	773289	37	1			0		other	0
chach	78	Response	1	776039	2787	2
chach	79	Sound	H_tarson-Left-0.35	783466	48	1			0		other	0
chach	80	Sound	H_tarson_Left_0.35	793642	59	1			0		other	0
chach	81	Sound	H_tarson_Left_0.33	803789	40	2			0		other	0
chach	82	Sound	H_tarson_Left_0.31	813966	51	1			0		other	0
chach	83	Sound	H_tarson_Left_0.29	824113	33	1			0		other	0
chach	84	Sound	H_tarson_Left_0.27	834290	44	1			0		other	0
chach	85	Sound	H_tarson_Left_0.25	844467	55	1			0		other	0
chach	86	Sound	H_tarson_Left_0.23	854614	37	1			0		other	0
chach	87	Sound	H_tarson_Left_0.21	864791	48	1			0		other	0
chach	88	Sound	H_tarson_Left_0.19	874967	59	2			0		other	0
chach	89	Sound	H_tarson_Left_0.17	885114	40	1			0		other	0
chach	90	Sound	H_tarson_Left_0.15	895291	51	1			0		other	0
chach	90	Response	1	899434	4194	1
chach	91	Sound	H_tarson-Left-0.13	905438	33	1			0		other	0
chach	92	Sound	H_tarson_Left_0.13	915615	44	1			0		other	0
chach	93	Sound	H_tarson_Left_0.15	925792	55	1			0		other	0
chach	94	Sound	H_tarson_Left_0.17	935938	35	2			0		other	0
chach	95	Sound	H_tarson_Left_0.19	946115	47	2			0		other	0
chach	96	Sound	H_tarson_Left_0.21	956292	59	1			0		other	0
chach	97	Sound	H_tarson_Left_0.23	966439	40	1			0		other	0
chach	98	Sound	H_tarson_Left_0.25	976616	51	1			0		other	0
chach	98	Response	1	979181	2616	2
chach	99	Sound	H_tarson-Left-0.27	986763	32	1			0		other	0
chach	100	Sound	H_tarson_Left_0.27	996940	44	1			0		other	0
chach	101	Sound	H_tarson_Left_0.25	1007116	54	2			0		other	0
chach	102	Sound	H_tarson_Left_0.23	1017264	37	1			0		other	0
chach	103	Sound	H_tarson_Left_0.21	1027440	47	2			0		other	0
chach	104	Sound	H_tarson_Left_0.19	1037617	59	1			0		other	0
chach	105	Sound	H_tarson_Left_0.17	1047764	40	1			0		other	0
chach	106	Sound	H_tarson_Left_0.15	1057941	51	1			0		other	0
chach	107	Sound	H_tarson_Left_0.13	1068088	33	1			0		other	0
chach	107	Response	1	1069952	1897	1
chach	108	Sound	H_tarson-Left-0.11	1078265	44	1			0		other	0
chach	109	Sound	H_tarson_Left_0.11	1088441	54	2			0		other	0
chach	110	Sound	H_tarson_Left_0.13	1098588	36	2			0		other	0
chach	111	Sound	H_tarson_Left_0.15	1108765	47	1			0		other	0
chach	112	Sound	H_tarson_Left_0.17	1118942	60	1			0		other	0
chach	113	Sound	H_tarson_Left_0.19	1129089	40	1			0		other	0
chach	114	Sound	H_tarson_Left_0.21	1139266	51	1			0		other	0
chach	114	Response	1	1145586	6371	1
chach	116	Sound	L_tarson_Right_0.7	1159590	44	1			0		other	0
chach	117	Sound	L_tarson_Right_0.65	1169766	54	2			0		other	0
chach	118	Sound	L_tarson_Right_0.6	1179913	36	1			0		other	0
chach	119	Sound	L_tarson_Right_0.55	1190090	47	1			0		other	0
chach	120	Sound	L_tarson_Right_0.5	1200267	58	1			0		other	0
chach	121	Sound	L_tarson_Right_0.45	1210414	40	1			0		other	0
chach	122	Sound	L_tarson_Right_0.4	1220591	51	1			0		other	0
chach	123	Sound	L_tarson_Right_0.35	1230738	32	1			0		other	0
chach	124	Sound	L_tarson_Right_0.3	1240915	44	1			0		other	0
chach	125	Sound	L_tarson_Right_0.25	1251091	54	1			0		other	0
chach	126	Sound	L_tarson_Right_0.2	1261238	35	1			0		other	0
chach	127	Sound	L_tarson_Right_0.15	1271415	47	1			0		other	0
chach	128	Sound	L_tarson_Right_9.99999999999999e-002	1281592	58	1			0		other	0
chach	128	Response	1	1281803	269	1
