Subject: chach
Blockt: 7

N	Cue	D1 	Dis	D2 	Tar	ER	SR	FA	MR	HIT	RT
1	0	317	1	383	2	1	1	0	1	1	680
2	0	89	0	611	3	2	2	0	1	1	875
3	0	630	2	70	2	1	1	0	1	1	705
4	2	272	0	428	4	2	2	0	1	1	611
5	2	402	0	298	4	2	2	0	1	1	583
6	0	560	0	140	2	1	1	0	1	1	739
7	0	191	0	509	2	1	1	0	1	1	738
8	2	625	0	75	4	2	2	0	1	1	895
9	0	261	0	439	1	1	1	0	1	1	1072
10	1	513	2	187	3	2	2	0	1	1	1564
11	1	82	0	618	3	2	2	0	1	1	892
12	0	270	1	430	1	1	1	0	1	1	479
13	2	459	0	241	2	1	2	0	1	0	995
14	2	120	0	580	4	2	2	0	1	1	924
15	1	320	0	380	1	1	1	0	1	1	1034
16	0	155	0	545	4	2	2	0	1	1	779
17	0	93	0	607	1	1	1	0	1	1	429
18	0	571	0	129	1	1	1	0	1	1	558
19	1	406	0	294	3	2	2	0	1	1	823
20	2	606	0	94	2	1	2	0	1	0	1466
21	1	350	0	350	3	2	2	0	1	1	1019
22	0	470	0	230	2	1	1	0	1	1	563
23	2	67	0	633	4	2	2	0	1	1	962
24	1	295	0	405	3	2	2	0	1	1	684
25	1	627	0	73	1	1	1	0	1	1	618
26	0	155	0	545	3	2	2	0	1	1	709
27	1	376	0	324	3	2	2	0	1	1	662
28	0	448	2	252	3	2	2	0	1	1	1483
29	0	435	2	265	4	2	2	0	1	1	686
30	0	639	0	61	3	2	2	0	1	1	556
31	0	239	0	461	4	2	2	0	1	1	527
32	0	154	0	546	2	1	1	0	1	1	509
33	2	392	0	308	2	1	1	0	1	1	903
34	1	520	0	180	1	1	1	0	1	1	453
35	0	397	0	303	4	2	1	0	1	0	771
36	2	269	1	431	2	1	1	0	1	1	1094
37	1	306	0	394	1	1	2	0	1	0	2022
38	0	194	0	506	1	1	2	0	1	0	2998
39	2	417	2	283	4	2	2	0	1	1	1655
40	0	147	1	553	3	2	2	0	1	1	1725
41	1	582	0	118	1	1	1	0	1	1	823
42	0	471	0	229	2	1	1	0	1	1	1938
43	1	372	2	328	1	1	1	0	1	1	2230
44	2	190	0	510	2	1	1	0	1	1	815
45	0	394	0	306	4	2	2	0	1	1	844
46	0	560	0	140	3	2	2	0	1	1	1548
47	0	97	0	603	2	1	1	0	1	1	1024
48	2	633	2	67	2	1	1	0	1	1	691
49	1	254	0	446	1	1	1	0	1	1	847
50	1	553	0	147	3	2	2	0	1	1	854
51	1	90	1	610	1	1	1	0	1	1	1188
52	2	645	0	55	4	2	2	0	1	1	712
53	0	256	1	444	4	2	2	0	1	1	611
54	0	311	0	389	3	2	2	0	1	1	726
55	2	192	0	508	2	1	1	0	1	1	739
56	0	418	0	282	3	2	2	0	1	1	869
57	0	96	0	604	4	2	2	0	1	1	698
58	1	297	1	403	3	2	2	0	1	1	976
59	0	379	0	321	1	1	1	0	1	1	653
60	0	578	2	122	1	1	1	0	1	1	649
61	0	400	0	300	1	1	1	0	1	1	1581
62	2	60	1	640	4	2	2	0	1	1	710
63	0	412	0	288	4	2	2	0	1	1	654
64	2	217	0	483	2	1	1	0	1	1	695

nb trial with correct rep:59
nb trial with no rep:0
nb trial with incorrect rep:5
dont nb trial with multip rep:0
dont nb trial with FA:0
Average RT:885
