Subject: colcl
Blockt: 3

N	Cue	D1 	Dis	D2 	Tar	ER	SR	FA	MR	HIT	RT
1	2	292	0	408	2	1	1	0	1	1	1065
2	1	365	2	335	3	2	2	0	1	1	902
3	0	82	1	618	2	1	1	0	1	1	1041
4	0	138	0	562	1	1	1	0	1	1	743
5	2	282	1	418	4	2	2	0	1	1	1050
6	2	410	2	290	4	2	2	0	1	1	1236
7	0	408	0	292	3	2	2	0	1	1	842
8	0	582	2	118	1	1	1	0	1	1	1209
9	0	470	0	230	2	1	0	0	0	0	0
10	0	494	0	206	1	1	1	0	1	1	1026
11	2	453	0	247	4	2	0	0	0	0	0
12	1	478	0	222	1	1	1	0	1	1	640
13	1	319	0	381	1	1	1	0	1	1	832
14	1	320	1	380	3	2	2	0	1	1	765
15	0	372	0	328	4	2	0	0	0	0	0
16	0	470	2	230	3	2	2	0	1	1	1107
17	0	432	0	268	3	2	2	0	1	1	794
18	0	397	2	303	2	1	0	0	0	0	0
19	0	211	1	489	4	2	0	0	0	0	0
20	0	109	0	591	4	2	0	0	0	0	0
