Scenario - SeuilAuditif
Logfile written - 06/06/2016 14:42:20

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

fp3	2	Sound	L_tarson_Left_0.7	388	57	1			0		other	0
fp3	3	Sound	L_tarson_Left_0.65	10535	38	1			0		other	0
fp3	4	Sound	L_tarson_Left_0.6	20712	49	1			0		other	0
fp3	5	Sound	L_tarson_Left_0.55	30859	30	1			0		other	0
fp3	6	Sound	L_tarson_Left_0.5	41036	41	2			0		other	0
fp3	7	Sound	L_tarson_Left_0.45	51213	52	1			0		other	0
fp3	8	Sound	L_tarson_Left_0.4	61360	33	2			0		other	0
fp3	9	Sound	L_tarson_Left_0.35	71538	46	1			0		other	0
fp3	10	Sound	L_tarson_Left_0.3	81715	57	1			0		other	0
fp3	11	Sound	L_tarson_Left_0.25	91862	38	1			0		other	0
fp3	12	Sound	L_tarson_Left_0.2	102039	49	1			0		other	0
fp3	12	Response	1	106496	4506	2
fp3	13	Sound	L_tarson-Left-0.15	112186	31	1			0		other	0
fp3	14	Sound	L_tarson_Left_0.15	122363	42	1			0		other	0
fp3	15	Sound	L_tarson_Left_0.2	132540	53	1			0		other	0
fp3	16	Sound	L_tarson_Left_0.25	142687	34	2			0		other	0
fp3	17	Sound	L_tarson_Left_0.3	152865	46	1			0		other	0
fp3	18	Sound	L_tarson_Left_0.35	163041	56	1			0		other	0
fp3	19	Sound	L_tarson_Left_0.4	173189	39	1			0		other	0
fp3	20	Sound	L_tarson_Left_0.45	183366	50	1			0		other	0
fp3	21	Sound	L_tarson_Left_0.5	193513	31	1			0		other	0
fp3	22	Sound	L_tarson_Left_0.55	203690	42	1			0		other	0
fp3	23	Sound	L_tarson_Left_0.6	213867	53	1			0		other	0
fp3	23	Response	1	223704	9890	1
fp3	24	Sound	L_tarson-Left-0.65	224014	35	1			0		other	0
fp3	25	Sound	L_tarson_Left_0.65	234191	46	1			0		other	0
fp3	26	Sound	L_tarson_Left_0.63	244368	58	1			0		other	0
fp3	27	Sound	L_tarson_Left_0.61	254515	38	1			0		other	0
fp3	28	Sound	L_tarson_Left_0.59	264692	49	2			0		other	0
fp3	29	Sound	L_tarson_Left_0.57	274839	30	2			0		other	0
fp3	30	Sound	L_tarson_Left_0.55	285017	43	1			0		other	0
fp3	31	Sound	L_tarson_Left_0.53	295194	54	1			0		other	0
fp3	32	Sound	L_tarson_Left_0.51	305341	35	1			0		other	0
fp3	33	Sound	L_tarson_Left_0.49	315518	46	1			0		other	0
fp3	34	Sound	L_tarson_Left_0.47	325695	57	1			0		other	0
fp3	35	Sound	L_tarson_Left_0.45	335842	39	1			0		other	0
fp3	36	Sound	L_tarson_Left_0.43	346019	50	1			0		other	0
fp3	37	Sound	L_tarson_Left_0.41	356166	31	1			0		other	0
fp3	38	Sound	L_tarson_Left_0.39	366343	42	2			0		other	0
fp3	39	Sound	L_tarson_Left_0.37	376520	53	1			0		other	0
fp3	40	Sound	L_tarson_Left_0.35	386667	34	2			0		other	0
fp3	41	Sound	L_tarson_Left_0.33	396844	46	2			0		other	0
fp3	42	Sound	L_tarson_Left_0.31	407022	58	1			0		other	0
fp3	43	Sound	L_tarson_Left_0.29	417169	39	1			0		other	0
fp3	44	Sound	L_tarson_Left_0.27	427346	50	1			0		other	0
fp3	45	Sound	L_tarson_Left_0.25	437493	31	1			0		other	0
fp3	46	Sound	L_tarson_Left_0.23	447670	43	1			0		other	0
fp3	47	Sound	L_tarson_Left_0.21	457847	54	1			0		other	0
fp3	48	Sound	L_tarson_Left_0.19	467994	35	1			0		other	0
fp3	49	Sound	L_tarson_Left_0.17	478171	46	1			0		other	0
fp3	50	Sound	L_tarson_Left_0.15	488348	57	1			0		other	0
fp3	51	Sound	L_tarson_Left_0.13	498495	39	2			0		other	0
fp3	52	Sound	L_tarson_Left_0.11	508673	51	1			0		other	0
fp3	53	Sound	L_tarson_Left_8.99999999999996e-002	518820	32	1			0		other	0
fp3	54	Sound	L_tarson_Left_6.99999999999996e-002	528997	43	1			0		other	0
fp3	55	Sound	L_tarson_Left_4.99999999999996e-002	539174	54	1			0		other	0
fp3	55	Response	1	546529	7409	1
fp3	55	Response	1	548827	9707	1
fp3	56	Sound	L_tarson-Left-2.99999999999996e-002	549321	36	1			0		other	0
fp3	57	Sound	L_tarson_Left_2.99999999999996e-002	559498	47	1			0		other	0
fp3	58	Sound	L_tarson_Left_4.99999999999996e-002	569675	58	1			0		other	0
fp3	59	Sound	L_tarson_Left_6.99999999999996e-002	579822	39	1			0		other	0
fp3	60	Sound	L_tarson_Left_8.99999999999996e-002	589999	50	2			0		other	0
fp3	61	Sound	L_tarson_Left_0.11	600146	32	2			0		other	0
fp3	62	Sound	L_tarson_Left_0.13	610324	44	1			0		other	0
fp3	63	Sound	L_tarson_Left_0.15	620501	55	1			0		other	0
fp3	64	Sound	L_tarson_Left_0.17	630648	36	1			0		other	0
fp3	65	Sound	L_tarson_Left_0.19	640825	47	1			0		other	0
fp3	66	Sound	L_tarson_Left_0.21	651002	58	1			0		other	0
fp3	67	Sound	L_tarson_Left_0.23	661149	39	1			0		other	0
fp3	68	Sound	L_tarson_Left_0.25	671326	51	1			0		other	0
fp3	69	Sound	L_tarson_Left_0.27	681473	32	1			0		other	0
fp3	70	Sound	L_tarson_Left_0.29	691650	43	1			0		other	0
fp3	71	Sound	L_tarson_Left_0.31	701827	54	2			0		other	0
fp3	72	Sound	L_tarson_Left_0.33	711974	36	2			0		other	0
fp3	73	Sound	L_tarson_Left_0.35	722151	47	2			0		other	0
fp3	74	Sound	L_tarson_Left_0.37	732329	59	1			0		other	0
fp3	75	Sound	L_tarson_Left_0.39	742476	40	1			0		other	0
fp3	76	Sound	L_tarson_Left_0.41	752653	51	1			0		other	0
fp3	77	Sound	L_tarson_Left_0.43	762800	32	1			0		other	0
fp3	78	Sound	L_tarson_Left_0.45	772977	44	1			0		other	0
fp3	79	Sound	L_tarson_Left_0.47	783154	55	1			0		other	0
fp3	80	Sound	L_tarson_Left_0.49	793301	36	1			0		other	0
fp3	81	Sound	L_tarson_Left_0.51	803478	47	1			0		other	0
fp3	82	Sound	L_tarson_Left_0.53	813655	59	1			0		other	0
fp3	83	Sound	L_tarson_Left_0.55	823802	40	2			0		other	0
fp3	84	Sound	L_tarson_Left_0.57	833979	51	2			0		other	0
fp3	85	Sound	L_tarson_Left_0.59	844127	33	1			0		other	0
fp3	86	Sound	L_tarson_Left_0.61	854304	44	1			0		other	0
fp3	86	Response	1	860821	6561	1
fp3	87	Sound	L_tarson-Left-0.63	864481	55	1			0		other	0
fp3	88	Sound	L_tarson_Left_0.63	874628	37	1			0		other	0
fp3	89	Sound	L_tarson_Left_0.61	884805	48	1			0		other	0
fp3	90	Sound	L_tarson_Left_0.59	894982	59	1			0		other	0
fp3	91	Sound	L_tarson_Left_0.57	905129	40	1			0		other	0
