Subject: delsa
Blockt: 1

N	Cue	D1 	Dis	D2 	Tar	ER	SR	FA	MR	HIT	RT
1	2	69	0	631	2	1	1	0	1	1	2222
2	0	80	0	620	2	1	1	0	1	1	564
3	1	138	1	562	3	2	2	0	1	1	602
4	0	253	0	447	1	1	1	0	1	1	560
5	1	572	0	128	1	1	1	0	1	1	551
6	2	292	1	408	2	1	1	0	1	1	857
7	0	115	0	585	2	1	1	0	1	1	584
8	0	539	2	161	4	2	2	0	1	1	695
9	0	296	1	404	2	1	1	0	1	1	539
10	0	332	0	368	1	1	1	0	1	1	839
11	0	600	0	100	2	1	1	0	1	1	546
12	0	387	0	313	4	2	2	0	1	1	498
13	1	299	1	401	1	1	1	0	1	1	1519
14	2	319	0	381	4	2	2	0	1	1	1215
15	2	85	0	615	2	1	1	0	1	1	507
16	0	480	0	220	3	2	2	0	1	1	631
17	2	519	0	181	2	1	2	0	1	0	1115
18	0	606	0	94	2	1	1	0	1	1	809
19	0	546	0	154	3	2	2	0	1	1	788
20	1	504	0	196	1	1	1	0	1	1	608
21	0	452	2	248	1	1	1	0	1	1	1313
22	2	355	0	345	4	2	2	0	1	1	763
23	0	418	2	282	3	2	2	0	1	1	625
24	0	530	0	170	3	2	2	0	2	0	399
25	1	561	0	139	3	2	2	0	1	1	386
26	1	174	0	526	3	2	2	0	1	1	348
27	0	496	0	204	1	1	1	0	1	1	459
28	0	646	0	54	4	2	2	0	1	1	450
29	2	277	1	423	4	2	2	0	1	1	492
30	2	643	0	57	4	2	2	0	1	1	458
31	2	452	0	248	2	1	1	0	2	0	470
32	1	259	0	441	1	1	2	0	2	0	1989
33	0	149	1	551	1	1	1	0	1	1	1714
34	2	516	2	184	2	1	1	0	1	1	865
35	0	265	0	435	4	2	2	0	1	1	571
36	0	102	0	598	3	2	2	0	1	1	672
37	0	476	2	224	2	1	1	0	1	1	673
38	2	540	0	160	2	1	1	0	1	1	558
39	0	612	0	88	1	1	1	0	1	1	1067
40	2	146	0	554	4	2	2	0	1	1	1857
41	1	117	0	583	1	1	1	0	1	1	1031
42	1	404	0	296	1	1	1	0	1	1	631
43	0	117	0	583	1	1	1	0	1	1	388
44	0	461	0	239	4	2	2	0	1	1	518
45	1	323	0	377	1	1	1	0	1	1	913
46	0	95	0	605	3	2	2	0	2	0	950
47	0	326	1	374	4	2	2	0	1	1	645
48	1	309	0	391	3	2	2	0	2	0	462
49	0	401	0	299	2	1	1	0	1	1	694
50	0	121	0	579	4	2	2	0	1	1	772
51	1	575	0	125	3	2	2	0	1	1	951
52	1	497	2	203	1	1	1	0	1	1	553
53	0	213	0	487	3	2	2	0	1	1	981
54	2	306	0	394	2	1	1	0	1	1	2594
55	0	63	1	637	3	2	2	0	1	1	670
56	1	364	2	336	3	2	2	0	1	1	519
57	0	255	0	445	2	1	1	0	1	1	652
58	2	72	0	628	4	2	2	0	1	1	777
59	0	342	0	358	4	2	2	0	1	1	485
60	2	439	2	261	4	2	2	0	1	1	371
61	1	150	0	550	3	2	2	0	2	0	1080
62	0	555	0	145	1	1	1	0	1	1	1147
63	1	383	0	317	3	2	2	0	1	1	1468
64	2	388	0	312	4	2	2	0	1	1	1122

nb trial with correct rep:57
nb trial with no rep:0
nb trial with incorrect rep:1
dont nb trial with multip rep:6
dont nb trial with FA:0
Average RT:812
