Subject: eskmi
Blockt: 2

N	Cue	D1 	Dis	D2 	Tar	ER	SR	FA	MR	HIT	RT
1	1	73	0	627	3	2	2	0	1	1	500
2	1	629	0	71	1	1	1	0	1	1	508
3	0	576	0	124	1	1	1	0	1	1	584
4	0	429	2	271	4	2	2	0	1	1	862
5	0	444	0	256	4	2	2	0	1	1	518
6	0	547	2	153	1	1	1	0	1	1	703
7	2	323	0	377	4	2	2	0	1	1	834
8	0	233	1	467	1	1	1	0	1	1	506
9	0	478	0	222	1	1	1	0	1	1	574
10	0	520	0	180	3	2	2	0	1	1	610
11	1	437	2	263	3	2	2	0	1	1	740
12	2	291	1	409	4	2	2	0	1	1	446
13	2	402	0	298	2	1	1	0	1	1	699
14	0	139	0	561	4	2	2	0	1	1	636
15	0	303	0	397	3	2	2	0	1	1	767
16	1	153	0	547	1	1	1	0	1	1	594
17	0	632	2	68	2	1	1	0	1	1	527
18	2	110	1	590	2	1	1	0	1	1	461
19	1	212	0	488	3	2	2	0	1	1	509
20	1	451	0	249	3	2	2	0	1	1	529
21	0	463	0	237	3	2	2	0	1	1	710
22	0	198	0	502	2	1	1	0	1	1	559
23	2	95	0	605	2	1	1	0	1	1	665
24	0	119	1	581	2	1	1	0	1	1	417
25	0	343	0	357	3	2	2	0	1	1	645
26	0	267	0	433	1	1	1	0	1	1	630
27	2	466	0	234	4	2	2	0	2	0	443
28	0	77	0	623	4	2	2	0	1	1	413
