Subject: eskmi
Blockt: 7

N	Cue	D1 	Dis	D2 	Tar	ER	SR	FA	MR	HIT	RT
1	0	317	1	383	2	1	1	0	1	1	562
2	0	89	0	611	3	2	2	0	1	1	354
3	0	630	2	70	2	1	1	0	1	1	381
4	2	272	0	428	4	2	2	0	1	1	314
5	2	402	0	298	4	2	2	0	3	0	326
6	0	560	0	140	2	1	1	0	1	1	661
7	0	191	0	509	2	1	1	0	1	1	615
8	2	625	0	75	4	2	2	0	1	1	474
9	0	261	0	439	1	1	1	0	1	1	643
10	1	513	2	187	3	2	2	0	1	1	544
11	1	82	0	618	3	2	2	0	1	1	555
12	0	270	1	430	1	1	1	0	1	1	515
13	2	459	0	241	2	1	1	0	1	1	443
14	2	120	0	580	4	2	2	0	1	1	383
15	1	320	0	380	1	1	1	0	1	1	406
16	0	155	0	545	4	2	2	0	1	1	340
17	0	93	0	607	1	1	1	0	1	1	440
18	0	571	0	129	1	1	1	0	1	1	472
19	1	406	0	294	3	2	2	0	1	1	458
20	2	606	0	94	2	1	1	0	1	1	999
21	1	350	0	350	3	2	2	0	1	1	417
22	0	470	0	230	2	1	1	0	1	1	656
23	2	67	0	633	4	2	2	0	1	1	367
24	1	295	0	405	3	2	2	0	1	1	615
25	1	627	0	73	1	1	1	0	1	1	479
26	0	155	0	545	3	2	2	0	1	1	515
27	1	376	0	324	3	2	2	0	1	1	735
28	0	448	2	252	3	2	2	0	1	1	370
29	0	435	2	265	4	2	2	0	1	1	499
30	0	639	0	61	3	2	2	0	1	1	365
31	0	239	0	461	4	2	2	0	1	1	359
32	0	154	0	546	2	1	1	0	1	1	445
33	2	392	0	308	2	1	1	0	1	1	411
34	1	520	0	180	1	1	1	0	1	1	482
35	0	397	0	303	4	2	2	0	1	1	382
36	2	269	1	431	2	1	1	0	2	0	300
37	1	306	0	394	1	1	1	0	1	1	444
38	0	194	0	506	1	1	1	0	1	1	607
39	2	417	2	283	4	2	2	0	1	1	539
40	0	147	1	553	3	2	2	0	1	1	402
41	1	582	0	118	1	1	1	0	1	1	495
42	0	471	0	229	2	1	1	0	1	1	640
43	1	372	2	328	1	1	1	0	1	1	364
44	2	190	0	510	2	1	1	0	1	1	408
45	0	394	0	306	4	2	2	0	1	1	476
46	0	560	0	140	3	2	2	0	1	1	387
47	0	97	0	603	2	1	1	0	1	1	1303
48	2	633	2	67	2	1	1	0	1	1	468
49	1	254	0	446	1	1	1	0	1	1	514
50	1	553	0	147	3	2	2	0	1	1	490
51	1	90	1	610	1	1	1	0	1	1	371
52	2	645	0	55	4	2	2	0	1	1	576
53	0	256	1	444	4	2	2	0	1	1	413
54	0	311	0	389	3	2	2	0	2	0	543
55	2	192	0	508	2	1	1	0	1	1	539
56	0	418	0	282	3	2	2	0	1	1	355
57	0	96	0	604	4	2	2	0	1	1	462
58	1	297	1	403	3	2	2	0	1	1	403
59	0	379	0	321	1	1	1	0	1	1	565
60	0	578	2	122	1	1	1	0	2	0	1017
61	0	400	0	300	1	1	1	0	1	1	563
62	2	60	1	640	4	2	2	0	1	1	417
63	0	412	0	288	4	2	2	0	1	1	663
64	2	217	0	483	2	1	1	0	1	1	515

nb trial with correct rep:60
nb trial with no rep:0
nb trial with incorrect rep:0
dont nb trial with multip rep:4
dont nb trial with FA:0
Average RT:500
