Scenario - SeuilAuditif
Logfile written - 03/22/2017 15:03:59

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

yc25	2	Sound	L_tarson_Left_0.7	388	59	2			0		other	0
yc25	2	Response	1	5284	4955	1
yc25	3	Sound	L_tarson-Left-0.65	10535	38	1			0		other	0
yc25	4	Sound	L_tarson_Left_0.65	20712	49	1			0		other	0
yc25	5	Sound	L_tarson_Left_0.7	30859	30	1			0		other	0
yc25	6	Sound	L_tarson_Left_0.75	41036	42	1			0		other	0
yc25	7	Sound	L_tarson_Left_0.8	51213	53	1			0		other	0
yc25	8	Sound	L_tarson_Left_0.85	61360	35	1			0		other	0
yc25	9	Sound	L_tarson_Left_0.9	71537	46	1			0		other	0
yc25	10	Sound	L_tarson_Left_0.95	81713	56	2			0		other	0
yc25	11	Sound	L_tarson-Left-1	91860	38	1			0		other	0
yc25	12	Sound	L_tarson_Left_1	102037	49	1			0		other	0
yc25	13	Sound	L_tarson_Left_0.98	112184	30	1			0		other	0
yc25	14	Sound	L_tarson_Left_0.96	122361	42	1			0		other	0
yc25	15	Sound	L_tarson_Left_0.94	132538	53	1			0		other	0
yc25	16	Sound	L_tarson_Left_0.92	142685	35	1			0		other	0
yc25	17	Sound	L_tarson_Left_0.9	152862	46	1			0		other	0
yc25	18	Sound	L_tarson_Left_0.88	163039	57	1			0		other	0
yc25	19	Sound	L_tarson_Left_0.86	173185	37	2			0		other	0
yc25	20	Sound	L_tarson_Left_0.84	183362	49	2			0		other	0
yc25	21	Sound	L_tarson_Left_0.82	193509	30	2			0		other	0
yc25	22	Sound	L_tarson_Left_0.8	203686	41	1			0		other	0
yc25	23	Sound	L_tarson_Left_0.78	213863	53	1			0		other	0
yc25	24	Sound	L_tarson_Left_0.76	224010	34	1			0		other	0
yc25	25	Sound	L_tarson_Left_0.74	234187	45	1			0		other	0
yc25	26	Sound	L_tarson_Left_0.72	244364	58	1			0		other	0
yc25	27	Sound	L_tarson_Left_0.7	254511	38	1			0		other	0
yc25	28	Sound	L_tarson_Left_0.68	264688	49	1			0		other	0
yc25	29	Sound	L_tarson_Left_0.66	274835	31	1			0		other	0
yc25	30	Sound	L_tarson_Left_0.64	285011	41	2			0		other	0
yc25	31	Sound	L_tarson_Left_0.62	295188	52	1			0		other	0
yc25	32	Sound	L_tarson_Left_0.6	305335	34	1			0		other	0
yc25	33	Sound	L_tarson_Left_0.58	315512	45	1			0		other	0
yc25	34	Sound	L_tarson_Left_0.56	325689	56	1			0		other	0
yc25	35	Sound	L_tarson_Left_0.54	335836	38	1			0		other	0
yc25	36	Sound	L_tarson_Left_0.52	346013	49	1			0		other	0
yc25	37	Sound	L_tarson_Left_0.5	356160	30	1			0		other	0
yc25	38	Sound	L_tarson_Left_0.48	366337	42	1			0		other	0
yc25	39	Sound	L_tarson_Left_0.46	376513	52	1			0		other	0
yc25	40	Sound	L_tarson_Left_0.44	386660	33	2			0		other	0
yc25	41	Sound	L_tarson_Left_0.419999999999999	396837	45	1			0		other	0
yc25	42	Sound	L_tarson_Left_0.399999999999999	407014	56	1			0		other	0
yc25	43	Sound	L_tarson_Left_0.379999999999999	417161	37	1			0		other	0
yc25	44	Sound	L_tarson_Left_0.359999999999999	427338	49	1			0		other	0
yc25	45	Sound	L_tarson_Left_0.339999999999999	437485	30	1			0		other	0
yc25	46	Sound	L_tarson_Left_0.319999999999999	447662	41	1			0		other	0
yc25	47	Sound	L_tarson_Left_0.299999999999999	457838	52	2			0		other	0
yc25	48	Sound	L_tarson_Left_0.279999999999999	467985	33	2			0		other	0
yc25	49	Sound	L_tarson_Left_0.259999999999999	478162	44	2			0		other	0
yc25	50	Sound	L_tarson_Left_0.239999999999999	488339	56	1			0		other	0
yc25	51	Sound	L_tarson_Left_0.219999999999999	498486	37	1			0		other	0
yc25	52	Sound	L_tarson_Left_0.199999999999999	508663	48	1			0		other	0
yc25	53	Sound	L_tarson_Left_0.179999999999999	518810	30	1			0		other	0
yc25	54	Sound	L_tarson_Left_0.159999999999999	528987	41	1			0		other	0
yc25	55	Sound	L_tarson_Left_0.139999999999999	539164	52	1			0		other	0
yc25	55	Response	1	547247	8135	1
yc25	56	Sound	L_tarson-Left-0.119999999999999	549311	34	1			0		other	0
yc25	57	Sound	L_tarson_Left_0.119999999999999	559487	44	2			0		other	0
yc25	58	Sound	L_tarson_Left_0.139999999999999	569664	55	2			0		other	0
yc25	59	Sound	L_tarson_Left_0.159999999999999	579811	37	2			0		other	0
yc25	60	Sound	L_tarson_Left_0.179999999999999	589988	48	1			0		other	0
yc25	61	Sound	L_tarson_Left_0.199999999999999	600135	30	1			0		other	0
yc25	61	Response	1	604904	4799	2
yc25	62	Sound	L_tarson-Left-0.219999999999999	610312	41	1			0		other	0
yc25	63	Sound	L_tarson_Left_0.219999999999999	620489	52	1			0		other	0
yc25	64	Sound	L_tarson_Left_0.199999999999999	630636	34	1			0		other	0
yc25	65	Sound	L_tarson_Left_0.179999999999999	640813	45	1			0		other	0
yc25	66	Sound	L_tarson_Left_0.159999999999999	650990	56	1			0		other	0
yc25	67	Sound	L_tarson_Left_0.139999999999999	661137	37	1			0		other	0
yc25	67	Response	1	669121	8021	1
yc25	68	Sound	L_tarson-Left-0.119999999999999	671313	48	1			0		other	0
yc25	69	Sound	L_tarson_Left_0.119999999999999	681460	29	1			0		other	0
yc25	70	Sound	L_tarson_Left_0.139999999999999	691637	40	1			0		other	0
yc25	71	Sound	L_tarson_Left_0.159999999999999	701814	52	1			0		other	0
yc25	72	Sound	L_tarson_Left_0.179999999999999	711961	33	1			0		other	0
yc25	73	Sound	L_tarson_Left_0.199999999999999	722138	44	1			0		other	0
yc25	73	Response	1	723982	1888	1
yc25	75	Sound	H_tarson_Left_0.7	742641	50	1			0		other	0
yc25	76	Sound	H_tarson_Left_0.65	752788	31	1			0		other	0
yc25	77	Sound	H_tarson_Left_0.6	762965	42	1			0		other	0
yc25	78	Sound	H_tarson_Left_0.55	773142	54	1			0		other	0
yc25	79	Sound	H_tarson_Left_0.5	783289	35	1			0		other	0
yc25	80	Sound	H_tarson_Left_0.45	793466	46	1			0		other	0
yc25	81	Sound	H_tarson_Left_0.4	803643	57	1			0		other	0
yc25	82	Sound	H_tarson_Left_0.35	813789	38	2			0		other	0
yc25	83	Sound	H_tarson_Left_0.3	823966	49	2			0		other	0
yc25	84	Sound	H_tarson_Left_0.25	834113	30	2			0		other	0
yc25	85	Sound	H_tarson_Left_0.2	844290	42	1			0		other	0
yc25	86	Sound	H_tarson_Left_0.15	854467	53	1			0		other	0
yc25	87	Sound	H_tarson_Left_9.99999999999999e-002	864614	35	1			0		other	0
yc25	87	Response	1	869639	5060	2
yc25	88	Sound	H_tarson-Left-4.99999999999999e-002	874791	46	1			0		other	0
yc25	89	Sound	H_tarson_Left_4.99999999999999e-002	884968	57	1			0		other	0
yc25	90	Sound	H_tarson_Left_9.99999999999999e-002	895115	39	1			0		other	0
yc25	91	Sound	H_tarson_Left_0.15	905292	50	1			0		other	0
yc25	92	Sound	H_tarson_Left_0.2	915439	31	1			0		other	0
yc25	92	Response	1	919372	3964	1
yc25	93	Sound	H_tarson-Left-0.25	925615	42	1			0		other	0
yc25	94	Sound	H_tarson_Left_0.25	935792	53	1			0		other	0
yc25	95	Sound	H_tarson_Left_0.23	945939	34	1			0		other	0
yc25	96	Sound	H_tarson_Left_0.21	956116	46	2			0		other	0
yc25	97	Sound	H_tarson_Left_0.19	966293	57	1			0		other	0
yc25	98	Sound	H_tarson_Left_0.17	976440	38	1			0		other	0
yc25	99	Sound	H_tarson_Left_0.15	986617	50	1			0		other	0
yc25	100	Sound	H_tarson_Left_0.13	996764	32	1			0		other	0
yc25	100	Response	1	1001515	4783	1
yc25	101	Sound	H_tarson-Left-0.11	1006941	42	1			0		other	0
yc25	102	Sound	H_tarson_Left_0.11	1017117	53	2			0		other	0
yc25	103	Sound	H_tarson_Left_0.13	1027264	34	2			0		other	0
yc25	104	Sound	H_tarson_Left_0.15	1037441	45	1			0		other	0
yc25	104	Response	1	1046950	9554	2
yc25	105	Sound	H_tarson-Left-0.17	1047618	57	1			0		other	0
yc25	106	Sound	H_tarson_Left_0.17	1057765	38	1			0		other	0
yc25	107	Sound	H_tarson_Left_0.15	1067942	49	1			0		other	0
yc25	108	Sound	H_tarson_Left_0.13	1078089	31	1			0		other	0
yc25	108	Response	1	1085803	7745	1
yc25	109	Sound	H_tarson-Left-0.11	1088266	42	1			0		other	0
yc25	110	Sound	H_tarson_Left_0.11	1098443	53	1			0		other	0
yc25	111	Sound	H_tarson_Left_0.13	1108590	35	1			0		other	0
yc25	112	Sound	H_tarson_Left_0.15	1118766	45	2			0		other	0
yc25	113	Sound	H_tarson_Left_0.17	1128943	56	1			0		other	0
yc25	113	Response	1	1134163	5276	1
yc25	115	Sound	L_tarson_Right_0.7	1149267	49	1			0		other	0
yc25	116	Sound	L_tarson_Right_0.65	1159414	30	1			0		other	0
yc25	117	Sound	L_tarson_Right_0.6	1169591	42	1			0		other	0
yc25	118	Sound	L_tarson_Right_0.55	1179768	53	1			0		other	0
yc25	119	Sound	L_tarson_Right_0.5	1189915	34	1			0		other	0
yc25	120	Sound	L_tarson_Right_0.45	1200092	46	1			0		other	0
yc25	121	Sound	L_tarson_Right_0.4	1210268	56	2			0		other	0
