Scenario - SeuilAuditif
Logfile written - 04/24/2017 14:52:14

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

forqu	2	Sound	L_tarson_Left_0.7	388	57	1			0		other	0
forqu	3	Sound	L_tarson_Left_0.65	10535	38	1			0		other	0
forqu	4	Sound	L_tarson_Left_0.6	20711	49	2			0		other	0
forqu	5	Sound	L_tarson_Left_0.55	30858	30	2			0		other	0
forqu	6	Sound	L_tarson_Left_0.5	41035	41	1			0		other	0
forqu	7	Sound	L_tarson_Left_0.45	51212	53	1			0		other	0
forqu	8	Sound	L_tarson_Left_0.4	61359	34	1			0		other	0
forqu	9	Sound	L_tarson_Left_0.35	71536	46	1			0		other	0
forqu	10	Sound	L_tarson_Left_0.3	81712	56	2			0		other	0
forqu	11	Sound	L_tarson_Left_0.25	91859	38	1			0		other	0
forqu	12	Sound	L_tarson_Left_0.2	102036	49	1			0		other	0
forqu	13	Sound	L_tarson_Left_0.15	112183	30	1			0		other	0
forqu	14	Sound	L_tarson_Left_9.99999999999999e-002	122360	42	1			0		other	0
forqu	14	Response	1	126634	4316	1
forqu	15	Sound	L_tarson-Left-4.99999999999999e-002	132536	52	2			0		other	0
forqu	16	Sound	L_tarson_Left_4.99999999999999e-002	142683	34	1			0		other	0
forqu	17	Sound	L_tarson_Left_9.99999999999999e-002	152860	45	1			0		other	0
forqu	18	Sound	L_tarson_Left_0.15	163037	56	1			0		other	0
forqu	18	Response	1	169996	7015	1
forqu	19	Sound	L_tarson-Left-0.2	173184	38	1			0		other	0
forqu	20	Sound	L_tarson_Left_0.2	183360	48	1			0		other	0
forqu	21	Sound	L_tarson_Left_0.18	193507	30	1			0		other	0
forqu	22	Sound	L_tarson_Left_0.16	203684	41	1			0		other	0
forqu	23	Sound	L_tarson_Left_0.14	213861	53	1			0		other	0
forqu	24	Sound	L_tarson_Left_0.12	224008	34	1			0		other	0
forqu	25	Sound	L_tarson_Left_9.99999999999999e-002	234184	45	2			0		other	0
forqu	26	Sound	L_tarson_Left_7.99999999999999e-002	244361	56	1			0		other	0
forqu	27	Sound	L_tarson_Left_5.99999999999999e-002	254508	38	1			0		other	0
forqu	28	Sound	L_tarson_Left_3.99999999999999e-002	264685	49	1			0		other	0
forqu	29	Sound	L_tarson_Left_1.99999999999999e-002	274832	30	1			0		other	0
forqu	30	Sound	L_tarson-Left-0	285008	41	2			0		other	0
forqu	30	Response	1	286280	1313	1
forqu	31	Sound	L_tarson_Left_0	295185	52	1			0		other	0
forqu	32	Sound	L_tarson_Left_2.e-002	305332	34	1			0		other	0
forqu	33	Sound	L_tarson_Left_4.e-002	315509	45	1			0		other	0
forqu	34	Sound	L_tarson_Left_6.e-002	325686	56	1			0		other	0
forqu	34	Response	1	327176	1546	1
forqu	35	Sound	L_tarson-Left-8.e-002	335832	37	2			0		other	0
forqu	36	Sound	L_tarson_Left_8.e-002	346009	48	1			0		other	0
forqu	37	Sound	L_tarson_Left_6.e-002	356156	30	1			0		other	0
forqu	38	Sound	L_tarson_Left_4.e-002	366333	41	1			0		other	0
forqu	39	Sound	L_tarson_Left_2.e-002	376510	52	1			0		other	0
forqu	40	Sound	L_tarson-Left-0	386656	33	2			0		other	0
forqu	41	Sound	L_tarson_Left_0	396833	45	1			0		other	0
forqu	42	Sound	L_tarson_Left_2.e-002	407010	56	1			0		other	0
forqu	43	Sound	L_tarson_Left_4.e-002	417157	37	1			0		other	0
forqu	44	Sound	L_tarson_Left_6.e-002	427334	49	1			0		other	0
forqu	45	Sound	L_tarson_Left_8.e-002	437510	59	2			0		other	0
forqu	46	Sound	L_tarson_Left_0.1	447657	41	1			0		other	0
forqu	47	Sound	L_tarson_Left_0.12	457834	52	1			0		other	0
