Subject: yc22
Blockt: 1

N	Cue	D1 	Dis	D2 	Tar	ER	SR	FA	MR	HIT	RT
1	2	69	0	631	2	1	1	0	1	1	647
2	0	80	0	620	2	1	1	0	1	1	364
3	1	138	1	562	3	2	2	0	1	1	394
4	0	253	0	447	1	1	1	0	1	1	516
5	1	572	0	128	1	1	1	0	1	1	400
6	2	292	1	408	2	1	1	0	1	1	524
7	0	115	0	585	2	1	1	0	1	1	409
8	0	539	2	161	4	2	1	0	1	0	492
9	0	296	1	404	2	1	1	0	1	1	631
10	0	332	0	368	1	1	1	0	1	1	498
11	0	600	0	100	2	1	1	0	1	1	482
12	0	387	0	313	4	2	2	0	1	1	420
13	1	299	1	401	1	1	1	0	1	1	431
14	2	319	0	381	4	2	2	0	1	1	458
15	2	85	0	615	2	1	1	0	1	1	679
16	0	480	0	220	3	2	2	0	1	1	489
17	2	519	0	181	2	1	1	0	1	1	531
18	0	606	0	94	2	1	1	0	1	1	489
19	0	546	0	154	3	2	2	0	1	1	443
20	1	504	0	196	1	1	1	0	1	1	398
21	0	452	2	248	1	1	1	0	1	1	510
22	2	355	0	345	4	2	2	0	1	1	478
23	0	418	2	282	3	2	2	0	1	1	584
24	0	530	0	170	3	2	2	0	1	1	457
25	1	561	0	139	3	2	2	0	1	1	433
26	1	174	0	526	3	2	2	0	1	1	411
27	0	496	0	204	1	1	1	0	1	1	604
28	0	646	0	54	4	2	2	0	1	1	537
29	2	277	1	423	4	2	2	0	1	1	508
30	2	643	0	57	4	2	2	0	1	1	458
31	2	452	0	248	2	1	1	0	1	1	522
32	1	259	0	441	1	1	1	0	1	1	647
33	0	149	1	551	1	1	1	0	1	1	461
34	2	516	2	184	2	1	1	0	1	1	478
35	0	265	0	435	4	2	2	0	1	1	586
36	0	102	0	598	3	2	2	0	1	1	1307
37	0	476	2	224	2	1	1	0	1	1	523
38	2	540	0	160	2	1	1	0	1	1	497
39	0	612	0	88	1	1	1	0	1	1	400
40	2	146	0	554	4	2	2	0	1	1	516
41	1	117	0	583	1	1	1	0	1	1	575
42	1	404	0	296	1	1	1	0	1	1	383
43	0	117	0	583	1	1	1	0	1	1	348
44	0	461	0	239	4	2	2	0	1	1	652
45	1	323	0	377	1	1	1	0	1	1	370
46	0	95	0	605	3	2	2	0	1	1	607
47	0	326	1	374	4	2	2	0	1	1	560
48	1	309	0	391	3	2	2	0	1	1	499
49	0	401	0	299	2	1	1	0	1	1	491
50	0	121	0	579	4	2	2	0	1	1	409
51	1	575	0	125	3	2	2	0	1	1	689
52	1	497	2	203	1	1	1	0	1	1	485
53	0	213	0	487	3	2	2	0	1	1	831
54	2	306	0	394	2	1	1	0	1	1	449
55	0	63	1	637	3	2	2	0	1	1	547
56	1	364	2	336	3	2	2	0	1	1	486
57	0	255	0	445	2	1	1	0	1	1	757
58	2	72	0	628	4	2	2	0	1	1	597
59	0	342	0	358	4	2	2	0	1	1	490
60	2	439	2	261	4	2	2	0	1	1	429
61	1	150	0	550	3	2	2	0	1	1	774
62	0	555	0	145	1	1	1	0	1	1	427
63	1	383	0	317	3	2	1	0	1	0	998
64	2	388	0	312	4	2	2	0	1	1	722

nb trial with correct rep:62
nb trial with no rep:0
nb trial with incorrect rep:2
dont nb trial with multip rep:0
dont nb trial with FA:0
Average RT:527
