Subject: oc3
Blockt: 5

N	Cue	D1 	Dis	D2 	Tar	ER	SR	FA	MR	HIT	RT
1	0	110	0	590	2	1	1	0	1	1	497
2	1	439	0	261	1	1	1	0	1	1	422
3	1	512	2	188	3	2	2	0	1	1	370
4	1	243	0	457	1	1	1	0	1	1	571
5	1	480	0	220	3	2	2	0	1	1	468
6	0	116	0	584	4	2	2	0	1	1	399
7	0	77	1	623	1	1	1	0	1	1	352
8	0	562	2	138	2	1	1	0	1	1	443
9	0	374	0	326	1	1	1	0	1	1	478
10	0	298	0	402	2	1	1	0	1	1	372
11	2	465	0	235	4	2	2	0	1	1	485
12	0	314	0	386	4	2	2	0	1	1	627
13	1	158	1	542	1	1	1	0	1	1	480
14	0	101	0	599	3	2	2	0	1	1	614
15	0	536	2	164	4	2	2	0	1	1	495
16	0	343	0	357	1	1	1	0	1	1	417
17	0	366	0	334	3	2	2	0	1	1	726
18	2	250	0	450	2	1	1	0	1	1	359
19	0	504	0	196	2	1	1	0	1	1	549
20	0	453	0	247	4	2	2	0	1	1	445
21	0	532	0	168	3	2	2	0	1	1	495
22	2	324	0	376	4	2	2	0	1	1	452
23	0	106	1	594	3	2	2	0	1	1	431
24	0	307	0	393	3	2	2	0	1	1	431
25	2	199	0	501	4	2	2	0	1	1	514
26	0	470	0	230	1	1	1	0	1	1	393
27	0	189	0	511	1	1	1	0	1	1	575
28	1	83	0	617	3	2	2	0	1	1	429
29	0	485	0	215	2	1	1	0	1	1	416
30	1	179	0	521	3	2	2	0	1	1	560
31	0	261	0	439	4	2	2	0	1	1	647
32	1	318	1	382	3	2	2	0	1	1	517
33	1	604	0	96	3	2	2	0	1	1	431
34	2	100	0	600	4	2	2	0	1	1	542
35	2	481	0	219	2	1	1	0	1	1	382
36	2	435	2	265	4	2	2	0	1	1	441
37	0	203	0	497	1	1	1	0	1	1	452
38	0	601	2	99	3	2	2	0	1	1	815
39	1	495	0	205	3	2	2	0	1	1	578
40	2	304	1	396	2	1	1	0	1	1	417
41	2	363	0	337	4	2	2	0	1	1	634
42	1	490	0	210	1	1	1	0	1	1	753
43	1	249	0	451	1	1	1	0	1	1	492
44	0	621	0	79	4	2	2	0	1	1	439
45	2	553	0	147	2	1	1	0	1	1	451
46	2	619	2	81	2	1	1	0	1	1	446
47	1	580	2	120	1	1	1	0	1	1	445
48	0	471	0	229	1	1	1	0	1	1	423
49	1	397	0	303	1	1	1	0	1	1	409
50	0	402	0	298	2	1	1	0	1	1	427
51	2	285	0	415	2	1	1	0	1	1	414
52	0	178	1	522	4	2	2	0	1	1	429
53	2	62	0	638	2	1	1	0	1	1	542
54	0	187	0	513	3	2	2	0	1	1	458
55	0	102	0	598	2	1	1	0	1	1	511
56	1	72	0	628	3	2	1	0	1	0	416
57	2	146	1	554	4	2	2	0	1	1	652
58	1	348	0	352	1	1	1	0	1	1	536
59	0	134	1	566	2	1	1	0	1	1	432
60	0	624	2	76	1	1	1	0	1	1	461
61	0	611	0	89	4	2	2	0	1	1	431
62	2	497	0	203	4	2	2	0	1	1	619
63	0	401	0	299	3	2	2	0	1	1	516
64	2	432	0	268	2	1	1	0	1	1	466

nb trial with correct rep:63
nb trial with no rep:0
nb trial with incorrect rep:1
dont nb trial with multip rep:0
dont nb trial with FA:0
Average RT:490
