Subject: fc1
Blockt: 2

N	Cue	D1 	Dis	D2 	Tar	ER	SR	FA	MR	HIT	RT
1	1	73	0	627	3	2	2	0	1	1	712
2	1	629	0	71	1	1	1	0	1	1	744
3	0	576	0	124	1	1	1	0	1	1	672
4	0	429	2	271	4	2	2	0	1	1	1003
5	0	444	0	256	4	2	2	0	1	1	595
6	0	547	2	153	1	1	1	0	1	1	779
7	2	323	0	377	4	2	2	0	1	1	1388
8	0	233	1	467	1	1	1	0	1	1	678
9	0	478	0	222	1	1	1	0	1	1	651
10	0	520	0	180	3	2	2	0	2	0	660
11	1	437	2	263	3	2	2	0	1	1	887
12	2	291	1	409	4	2	2	0	1	1	1001
13	2	402	0	298	2	1	1	0	1	1	763
14	0	139	0	561	4	2	2	0	1	1	835
15	0	303	0	397	3	2	2	0	1	1	725
16	1	153	0	547	1	1	1	0	1	1	867
17	0	632	2	68	2	1	1	0	1	1	956
18	2	110	1	590	2	1	1	0	1	1	624
19	1	212	0	488	3	2	2	0	1	1	869
20	1	451	0	249	3	2	2	0	1	1	440
21	0	463	0	237	3	2	2	0	1	1	636
22	0	198	0	502	2	1	1	0	1	1	645
23	2	95	0	605	2	1	1	0	1	1	686
24	0	119	1	581	2	1	1	0	1	1	621
25	0	343	0	357	3	2	2	0	1	1	617
26	0	267	0	433	1	1	1	0	1	1	576
27	2	466	0	234	4	2	2	0	1	1	823
28	0	77	0	623	4	2	2	0	1	1	1102
29	2	442	0	258	4	2	2	0	1	1	856
30	0	484	0	216	4	2	2	0	1	1	1039
31	2	562	0	138	4	2	2	0	1	1	604
32	1	61	1	639	3	2	2	0	1	1	724
33	1	384	0	316	3	2	2	0	1	1	655
34	0	189	1	511	4	2	2	0	1	1	672
35	2	563	0	137	2	1	1	0	1	1	623
36	2	231	0	469	4	2	2	0	1	1	982
37	0	296	0	404	4	2	2	0	1	1	991
38	1	499	0	201	1	1	1	0	1	1	745
39	1	229	0	471	3	2	2	0	1	1	606
40	2	161	0	539	2	1	1	0	1	1	671
41	0	263	0	437	3	2	2	0	1	1	1544
42	1	234	0	466	1	1	1	0	1	1	666
43	2	366	0	334	2	1	1	0	1	1	946
44	0	517	0	183	2	1	1	0	1	1	445
45	0	485	0	215	4	2	2	0	1	1	748
46	0	645	2	55	3	2	2	0	1	1	1129
47	1	591	0	109	3	2	2	0	1	1	635
48	2	290	0	410	2	1	1	0	1	1	1093
49	0	363	0	337	2	1	1	0	1	1	1428
50	0	563	0	137	1	1	1	0	1	1	634
51	1	572	2	128	1	1	1	0	1	1	954
52	0	239	0	461	2	1	1	0	1	1	704
53	1	220	0	480	1	1	1	0	1	1	620
54	0	356	0	344	3	2	2	0	1	1	614
55	0	511	0	189	2	1	1	0	1	1	943
56	2	595	2	105	4	2	2	0	1	1	988
57	0	315	0	385	1	1	1	0	1	1	726
58	1	644	0	56	1	1	1	0	1	1	600
59	0	330	0	370	1	1	1	0	1	1	618
60	2	99	0	601	4	2	2	0	1	1	582
61	2	362	2	338	2	1	1	0	1	1	914
62	1	217	1	483	1	1	1	0	1	1	844
63	0	291	0	409	2	1	1	0	1	1	603
64	0	182	1	518	3	2	2	0	1	1	672

nb trial with correct rep:63
nb trial with no rep:0
nb trial with incorrect rep:0
dont nb trial with multip rep:1
dont nb trial with FA:0
Average RT:789
