Subject: fc3
Blockt: 4

N	Cue	D1 	Dis	D2 	Tar	ER	SR	FA	MR	HIT	RT
1	0	357	0	343	1	1	0	0	0	0	0
2	1	386	2	314	3	2	0	0	0	0	0
3	1	241	0	459	1	1	0	0	0	0	0
4	2	311	0	389	4	2	0	0	0	0	0
5	0	624	0	76	3	2	0	0	0	0	0
6	0	306	0	394	2	1	0	0	0	0	0
7	2	262	0	438	2	1	0	0	0	0	0
8	2	345	1	355	2	1	0	0	0	0	0
9	0	518	2	182	1	1	0	0	0	0	0
10	1	82	0	618	1	1	0	0	0	0	0
11	0	281	0	419	2	1	0	0	0	0	0
12	0	610	0	90	4	2	0	0	0	0	0
13	0	208	0	492	2	1	0	0	0	0	0
14	0	391	2	309	3	2	0	0	0	0	0
15	0	370	0	330	4	2	0	0	0	0	0
16	1	144	1	556	3	2	0	0	0	0	0
17	0	171	0	529	4	2	0	0	0	0	0
18	1	408	0	292	1	1	0	0	0	0	0
