Subject: fc3
Blockt: 4

N	Cue	D1 	Dis	D2 	Tar	ER	SR	FA	MR	HIT	RT
1	0	357	0	343	1	1	1	0	1	1	538
2	1	386	2	314	3	2	2	0	1	1	484
3	1	241	0	459	1	1	1	0	1	1	304
4	2	311	0	389	4	2	2	0	1	1	532
5	0	624	0	76	3	2	2	0	1	1	848
6	0	306	0	394	2	1	1	0	3	0	355
7	2	262	0	438	2	1	0	0	0	0	0
8	2	345	1	355	2	1	1	0	1	1	1177
9	0	518	2	182	1	1	1	0	19	0	779
10	1	82	0	618	1	1	1	8	23	0	78
11	0	281	0	419	2	1	1	8	21	0	15
12	0	610	0	90	4	2	1	7	19	0	135
13	0	208	0	492	2	1	1	7	22	0	26
14	0	391	2	309	3	2	1	7	22	0	37
15	0	370	0	330	4	2	1	8	24	0	35
16	1	144	1	556	3	2	1	8	24	0	66
17	0	171	0	529	4	2	1	9	24	0	68
18	1	408	0	292	1	1	1	9	26	0	31
19	0	608	0	92	2	1	1	9	26	0	85
20	1	531	0	169	3	2	1	9	28	0	19
21	2	480	0	220	2	1	1	10	30	0	81
