Subject: yc24
Blockt: 10

N	Cue	D1 	Dis	D2 	Tar	ER	SR	FA	MR	HIT	RT
1	1	171	0	529	3	2	2	0	1	1	365
2	2	77	0	623	2	1	1	0	1	1	366
3	2	586	0	114	4	2	2	0	1	1	454
4	1	240	1	460	1	1	1	0	1	1	521
5	2	486	2	214	2	1	1	0	1	1	537
6	0	544	0	156	3	2	2	0	1	1	393
7	1	103	0	597	3	2	2	0	1	1	399
8	2	557	0	143	2	1	1	0	1	1	383
9	0	318	0	382	3	2	2	0	1	1	515
10	0	597	0	103	1	1	1	0	1	1	605
11	0	610	2	90	3	2	2	0	1	1	513
12	0	267	1	433	2	1	1	0	1	1	371
13	0	436	0	264	4	2	2	0	1	1	684
14	0	241	0	459	1	1	1	0	1	1	600
15	0	645	0	55	2	1	1	0	1	1	637
16	2	292	0	408	2	1	1	0	1	1	505
17	0	221	1	479	1	1	1	0	1	1	488
18	0	488	0	212	1	1	1	0	1	1	448
19	0	190	0	510	2	1	1	0	1	1	581
20	0	430	2	270	4	2	2	0	1	1	956
21	0	83	1	617	4	2	2	0	1	1	512
22	0	124	0	576	4	2	2	0	1	1	539
23	1	280	0	420	1	1	1	0	1	1	1181
24	2	273	0	427	4	2	2	0	1	1	301
25	1	584	0	116	1	1	1	0	1	1	443
26	0	326	0	374	1	1	1	0	1	1	551
27	0	576	2	124	1	1	1	0	1	1	492
28	1	65	1	635	3	2	2	0	1	1	400
29	1	370	0	330	3	2	2	0	1	1	382
30	2	150	0	550	4	2	2	0	1	1	548
31	2	517	0	183	2	1	1	0	1	1	372
32	0	600	0	100	4	2	2	0	1	1	519
33	1	306	0	394	3	2	2	0	1	1	401
34	0	267	0	433	4	2	2	0	1	1	490
35	0	340	1	360	3	2	2	0	1	1	408
36	1	554	2	146	3	2	2	0	1	1	449
37	2	419	0	281	4	2	2	0	1	1	544
38	0	507	2	193	2	1	1	0	1	1	498
39	0	72	0	628	3	2	2	0	1	1	644
40	0	618	0	82	3	2	2	0	1	1	410
41	1	525	0	175	3	2	2	0	1	1	419
42	0	647	0	53	4	2	2	0	1	1	449
43	0	300	0	400	2	1	1	0	1	1	371
44	2	277	0	423	2	1	1	0	1	1	384
45	1	379	2	321	1	1	1	0	1	1	455
46	1	277	0	423	1	1	1	0	1	1	352
47	0	497	0	203	2	1	1	0	1	1	374
48	2	309	1	391	2	1	1	0	1	1	530
49	0	566	0	134	2	1	1	0	1	1	421
50	0	323	0	377	4	2	2	0	1	1	584
51	2	449	2	251	4	2	2	0	1	1	661
52	0	100	0	600	2	1	1	0	1	1	475
53	2	56	0	644	4	2	2	0	1	1	401
54	1	179	0	521	1	1	1	0	1	1	500
55	2	85	1	615	4	2	2	0	1	1	445
56	2	380	0	320	2	1	1	0	1	1	560
57	0	461	0	239	3	2	2	0	1	1	353
58	0	217	0	483	1	1	1	0	1	1	584
59	0	630	0	70	1	1	1	0	1	1	573
60	0	294	0	406	3	2	2	0	1	1	450
61	2	406	0	294	4	2	2	0	1	1	472
62	1	486	0	214	1	1	1	0	1	1	667
63	1	443	0	257	3	2	2	0	1	1	438
64	1	357	0	343	1	1	1	0	1	1	639

nb trial with correct rep:64
nb trial with no rep:0
nb trial with incorrect rep:0
dont nb trial with multip rep:0
dont nb trial with FA:0
Average RT:499
