Scenario - SeuilAuditif
Logfile written - 06/27/2017 15:07:10

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

mirma	2	Sound	L_tarson_Left_0.7	388	57	1			0		other	0
mirma	3	Sound	L_tarson_Left_0.65	10535	38	1			0		other	0
mirma	4	Sound	L_tarson_Left_0.6	20712	49	1			0		other	0
mirma	5	Sound	L_tarson_Left_0.55	30859	31	1			0		other	0
mirma	6	Sound	L_tarson_Left_0.5	41036	42	1			0		other	0
mirma	7	Sound	L_tarson_Left_0.45	51213	53	1			0		other	0
mirma	8	Sound	L_tarson_Left_0.4	61359	34	2			0		other	0
mirma	9	Sound	L_tarson_Left_0.35	71536	45	1			0		other	0
mirma	10	Sound	L_tarson_Left_0.3	81713	57	1			0		other	0
mirma	11	Sound	L_tarson_Left_0.25	91860	38	1			0		other	0
mirma	12	Sound	L_tarson_Left_0.2	102037	49	1			0		other	0
mirma	13	Sound	L_tarson_Left_0.15	112184	31	1			0		other	0
mirma	14	Sound	L_tarson_Left_9.99999999999999e-002	122361	42	1			0		other	0
mirma	15	Sound	L_tarson_Left_4.99999999999999e-002	132538	53	1			0		other	0
mirma	16	Sound	L_tarson-Left-0	142685	35	1			0		other	0
mirma	17	Sound	L_tarson_Left_0	152861	45	2			0		other	0
mirma	18	Sound	L_tarson_Left_5.e-002	163038	56	2			0		other	0
mirma	19	Sound	L_tarson_Left_0.1	173185	38	1			0		other	0
mirma	20	Sound	L_tarson_Left_0.15	183362	49	1			0		other	0
mirma	21	Sound	L_tarson_Left_0.2	193509	30	1			0		other	0
mirma	22	Sound	L_tarson_Left_0.25	203686	41	1			0		other	0
mirma	23	Sound	L_tarson_Left_0.3	213863	53	1			0		other	0
mirma	24	Sound	L_tarson_Left_0.35	224010	34	1			0		other	0
mirma	25	Sound	L_tarson_Left_0.4	234187	45	1			0		other	0
mirma	26	Sound	L_tarson_Left_0.45	244363	56	2			0		other	0
mirma	27	Sound	L_tarson_Left_0.5	254510	37	2			0		other	0
mirma	28	Sound	L_tarson_Left_0.55	264687	48	2			0		other	0
mirma	29	Sound	L_tarson_Left_0.6	274834	30	1			0		other	0
mirma	30	Sound	L_tarson_Left_0.65	285011	41	1			0		other	0
mirma	31	Sound	L_tarson_Left_0.7	295188	53	1			0		other	0
mirma	32	Sound	L_tarson_Left_0.75	305335	34	1			0		other	0
mirma	33	Sound	L_tarson_Left_0.8	315512	45	1			0		other	0
mirma	34	Sound	L_tarson_Left_0.85	325689	57	1			0		other	0
mirma	35	Sound	L_tarson_Left_0.9	335836	38	1			0		other	0
mirma	36	Sound	L_tarson_Left_0.95	346013	49	1			0		other	0
mirma	37	Sound	L_tarson-Left-1	356159	30	2			0		other	0
mirma	38	Sound	L_tarson_Left_1	366336	41	1			0		other	0
