Subject: fc5
Blockt: 7

N	Cue	D1 	Dis	D2 	Tar	ER	SR	FA	MR	HIT	RT
1	0	317	1	383	2	1	1	0	1	1	536
2	0	89	0	611	3	2	2	0	1	1	558
3	0	630	2	70	2	1	1	0	1	1	634
4	2	272	0	428	4	2	2	0	1	1	629
5	2	402	0	298	4	2	2	0	1	1	626
6	0	560	0	140	2	1	1	0	1	1	466
7	0	191	0	509	2	1	1	0	1	1	378
8	2	625	0	75	4	2	2	0	1	1	512
9	0	261	0	439	1	1	1	0	1	1	433
10	1	513	2	187	3	2	2	0	1	1	707
11	1	82	0	618	3	2	2	0	1	1	457
12	0	270	1	430	1	1	1	0	1	1	693
13	2	459	0	241	2	1	1	0	1	1	372
14	2	120	0	580	4	2	2	0	1	1	573
15	1	320	0	380	1	1	1	0	1	1	598
16	0	155	0	545	4	2	2	0	1	1	657
17	0	93	0	607	1	1	1	0	1	1	454
18	0	571	0	129	1	1	1	0	1	1	444
19	1	406	0	294	3	2	2	0	1	1	402
20	2	606	0	94	2	1	1	0	1	1	408
21	1	350	0	350	3	2	2	0	1	1	549
22	0	470	0	230	2	1	1	0	1	1	524
23	2	67	0	633	4	2	2	0	1	1	488
24	1	295	0	405	3	2	2	0	1	1	618
25	1	627	0	73	1	1	1	0	1	1	449
26	0	155	0	545	3	2	2	0	1	1	541
27	1	376	0	324	3	2	2	0	1	1	547
28	0	448	2	252	3	2	2	0	1	1	801
29	0	435	2	265	4	2	2	0	1	1	613
30	0	639	0	61	3	2	2	0	1	1	648
31	0	239	0	461	4	2	2	0	1	1	470
32	0	154	0	546	2	1	1	0	1	1	480
33	2	392	0	308	2	1	1	0	1	1	526
34	1	520	0	180	1	1	1	0	1	1	544
35	0	397	0	303	4	2	2	0	1	1	586
36	2	269	1	431	2	1	1	0	1	1	541
37	1	306	0	394	1	1	1	0	1	1	592
38	0	194	0	506	1	1	1	0	1	1	539
39	2	417	2	283	4	2	2	0	1	1	549
40	0	147	1	553	3	2	2	0	1	1	540
41	1	582	0	118	1	1	1	0	1	1	436
42	0	471	0	229	2	1	1	0	1	1	387
43	1	372	2	328	1	1	1	0	1	1	358
44	2	190	0	510	2	1	1	0	1	1	560
45	0	394	0	306	4	2	2	0	1	1	586
46	0	560	0	140	3	2	2	0	1	1	749
47	0	97	0	603	2	1	1	0	1	1	538
48	2	633	2	67	2	1	1	0	1	1	432
49	1	254	0	446	1	1	1	0	1	1	463
50	1	553	0	147	3	2	2	0	1	1	642
51	1	90	1	610	1	1	1	0	1	1	627
52	2	645	0	55	4	2	2	0	1	1	502
53	0	256	1	444	4	2	2	0	1	1	546
54	0	311	0	389	3	2	2	0	1	1	581
55	2	192	0	508	2	1	1	0	1	1	377
56	0	418	0	282	3	2	2	0	1	1	470
57	0	96	0	604	4	2	2	0	1	1	606
58	1	297	1	403	3	2	2	0	1	1	419
59	0	379	0	321	1	1	1	0	1	1	741
60	0	578	2	122	1	1	1	0	1	1	560
61	0	400	0	300	1	1	1	0	1	1	486
62	2	60	1	640	4	2	2	0	1	1	504
63	0	412	0	288	4	2	2	0	1	1	747
64	2	217	0	483	2	1	1	0	1	1	463

nb trial with correct rep:64
nb trial with no rep:0
nb trial with incorrect rep:0
dont nb trial with multip rep:0
dont nb trial with FA:0
Average RT:538
