Scenario - SeuilAuditif
Logfile written - 07/19/2017 14:40:36

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

renvi	2	Sound	L_tarson_Left_0.7	871	40	3			0		other	0
renvi	2	Response	1	6180	5349	2
renvi	3	Sound	L_tarson-Left-0.65	11048	52	1			0		other	0
renvi	4	Sound	L_tarson_Left_0.65	21195	34	1			0		other	0
renvi	5	Sound	L_tarson_Left_0.7	31372	46	1			0		other	0
renvi	6	Sound	L_tarson_Left_0.75	41549	57	1			0		other	0
renvi	7	Sound	L_tarson_Left_0.8	51696	38	1			0		other	0
renvi	8	Sound	L_tarson_Left_0.85	61872	48	2			0		other	0
renvi	9	Sound	L_tarson_Left_0.9	72050	60	1			0		other	0
renvi	10	Sound	L_tarson_Left_0.95	82196	40	2			0		other	0
renvi	11	Sound	L_tarson-Left-1	92373	51	2			0		other	0
renvi	12	Sound	L_tarson_Left_1	102520	32	2			0		other	0
renvi	13	Sound	L_tarson_Left_0.98	112697	44	2			0		other	0
renvi	14	Sound	L_tarson_Left_0.96	122874	55	2			0		other	0
renvi	15	Sound	L_tarson_Left_0.94	133021	36	2			0		other	0
renvi	16	Sound	L_tarson_Left_0.92	143198	48	2			0		other	0
renvi	17	Sound	L_tarson_Left_0.9	153375	60	2			0		other	0
renvi	18	Sound	L_tarson_Left_0.88	163522	40	2			0		other	0
renvi	19	Sound	L_tarson_Left_0.86	173699	52	2			0		other	0
renvi	20	Sound	L_tarson_Left_0.84	183846	32	2			0		other	0
renvi	21	Sound	L_tarson_Left_0.82	194023	44	3			0		other	0
renvi	22	Sound	L_tarson_Left_0.8	204200	56	2			0		other	0
renvi	23	Sound	L_tarson_Left_0.78	214347	36	2			0		other	0
renvi	24	Sound	L_tarson_Left_0.76	224524	48	2			0		other	0
renvi	25	Sound	L_tarson_Left_0.74	234700	59	2			0		other	0
renvi	26	Sound	L_tarson_Left_0.72	244848	41	1			0		other	0
renvi	27	Sound	L_tarson_Left_0.7	255025	52	4			0		other	0
renvi	28	Sound	L_tarson_Left_0.68	265172	33	1			0		other	0
renvi	29	Sound	L_tarson_Left_0.66	275349	45	5			0		other	0
renvi	30	Sound	L_tarson_Left_0.64	285526	55	3			0		other	0
renvi	31	Sound	L_tarson_Left_0.62	295673	37	1			0		other	0
renvi	32	Sound	L_tarson_Left_0.6	305849	48	2			0		other	0
renvi	33	Sound	L_tarson_Left_0.58	316026	59	2			0		other	0
renvi	34	Sound	L_tarson_Left_0.56	326174	41	1			0		other	0
renvi	35	Sound	L_tarson_Left_0.54	336351	52	1			0		other	0
renvi	36	Sound	L_tarson_Left_0.52	346497	33	2			0		other	0
renvi	37	Sound	L_tarson_Left_0.5	356674	44	2			0		other	0
renvi	38	Sound	L_tarson_Left_0.48	366851	56	2			0		other	0
renvi	39	Sound	L_tarson_Left_0.46	376998	36	2			0		other	0
renvi	40	Sound	L_tarson_Left_0.44	387175	48	2			0		other	0
renvi	41	Sound	L_tarson_Left_0.419999999999999	397352	60	2			0		other	0
renvi	42	Sound	L_tarson_Left_0.399999999999999	407499	119	1			0		other	0
renvi	43	Sound	L_tarson_Left_0.379999999999999	417676	52	2			0		other	0
renvi	44	Sound	L_tarson_Left_0.359999999999999	427823	33	1			0		other	0
renvi	45	Sound	L_tarson_Left_0.339999999999999	438000	45	2			0		other	0
renvi	46	Sound	L_tarson_Left_0.319999999999999	448177	57	1			0		other	0
renvi	47	Sound	L_tarson_Left_0.299999999999999	458324	37	2			0		other	0
renvi	48	Sound	L_tarson_Left_0.279999999999999	468500	113	2			0		other	0
renvi	49	Sound	L_tarson_Left_0.259999999999999	478678	60	1			0		other	0
renvi	50	Sound	L_tarson_Left_0.239999999999999	488824	40	2			0		other	0
renvi	51	Sound	L_tarson_Left_0.219999999999999	499001	51	2			0		other	0
renvi	52	Sound	L_tarson_Left_0.199999999999999	509148	32	2			0		other	0
renvi	53	Sound	L_tarson_Left_0.179999999999999	519325	44	2			0		other	0
renvi	54	Sound	L_tarson_Left_0.159999999999999	529502	110	2			0		other	0
renvi	55	Sound	L_tarson_Left_0.139999999999999	539650	37	1			0		other	0
renvi	56	Sound	L_tarson_Left_0.119999999999999	549826	48	2			0		other	0
renvi	57	Sound	L_tarson_Left_9.99999999999994e-002	560004	61	1			0		other	0
renvi	58	Sound	L_tarson_Left_7.99999999999994e-002	570180	124	2			0		other	0
renvi	59	Sound	L_tarson_Left_5.99999999999994e-002	580328	52	3			0		other	0
renvi	60	Sound	L_tarson_Left_3.99999999999994e-002	590504	62	2			0		other	0
renvi	61	Sound	L_tarson_Left_1.99999999999994e-002	600651	43	2			0		other	0
renvi	62	Sound	L_tarson-Left-0	610828	55	2			0		other	0
renvi	63	Sound	L_tarson_Left_0	620975	37	2			0		other	0
renvi	64	Sound	L_tarson_Left_2.e-002	631152	48	2			0		other	0
renvi	65	Sound	L_tarson_Left_4.e-002	641329	60	2			0		other	0
renvi	66	Sound	L_tarson_Left_6.e-002	651476	39	1			0		other	0
renvi	67	Sound	L_tarson_Left_8.e-002	661653	51	1			0		other	0
renvi	68	Sound	L_tarson_Left_0.1	671800	33	1			0		other	0
renvi	69	Sound	L_tarson_Left_0.12	681977	43	1			0		other	0
renvi	70	Sound	L_tarson_Left_0.14	692154	55	1			0		other	0
renvi	71	Sound	L_tarson_Left_0.16	702301	37	1			0		other	0
renvi	72	Sound	L_tarson_Left_0.18	712478	48	1			0		other	0
renvi	73	Sound	L_tarson_Left_0.2	722654	59	2			0		other	0
renvi	74	Sound	L_tarson_Left_0.22	732802	40	1			0		other	0
renvi	75	Sound	L_tarson_Left_0.24	742979	51	1			0		other	0
renvi	76	Sound	L_tarson_Left_0.26	753155	61	2			0		other	0
renvi	77	Sound	L_tarson_Left_0.28	763302	43	2			0		other	0
renvi	78	Sound	L_tarson_Left_0.3	773479	54	2			0		other	0
renvi	79	Sound	L_tarson_Left_0.32	783626	35	2			0		other	0
renvi	80	Sound	L_tarson_Left_0.34	793804	48	3			0		other	0
renvi	81	Sound	L_tarson_Left_0.36	803980	59	2			0		other	0
renvi	82	Sound	L_tarson_Left_0.38	814128	41	1			0		other	0
renvi	83	Sound	L_tarson_Left_0.4	824304	50	2			0		other	0
renvi	83	Response	1	832244	7990	1
renvi	84	Sound	L_tarson-Left-0.42	834631	45	1			0		other	0
renvi	85	Sound	L_tarson_Left_0.42	844808	57	1			0		other	0
renvi	86	Sound	L_tarson_Left_0.4	854955	38	1			0		other	0
renvi	87	Sound	L_tarson_Left_0.38	865132	50	1			0		other	0
renvi	88	Sound	L_tarson_Left_0.36	875309	60	1			0		other	0
renvi	89	Sound	L_tarson_Left_0.34	885456	42	1			0		other	0
renvi	90	Sound	L_tarson_Left_0.32	895632	52	2			0		other	0
renvi	90	Response	1	902413	6833	2
renvi	91	Sound	L_tarson-Left-0.3	905780	34	1			0		other	0
renvi	92	Sound	L_tarson_Left_0.3	915956	45	2			0		other	0
renvi	93	Sound	L_tarson_Left_0.32	926134	57	1			0		other	0
renvi	94	Sound	L_tarson_Left_0.34	936280	37	2			0		other	0
renvi	95	Sound	L_tarson_Left_0.36	946457	48	2			0		other	0
renvi	95	Response	1	952782	6373	1
renvi	97	Sound	H_tarson_Left_0.7	967290	51	2			0		other	0
renvi	97	Response	1	974308	7069	2
renvi	98	Sound	H_tarson-Left-0.65	977467	62	1			0		other	0
renvi	99	Sound	H_tarson_Left_0.65	987614	44	1			0		other	0
renvi	100	Sound	H_tarson_Left_0.7	997791	54	1			0		other	0
renvi	101	Sound	H_tarson_Left_0.75	1007938	35	1			0		other	0
renvi	102	Sound	H_tarson_Left_0.8	1018115	46	2			0		other	0
renvi	103	Sound	H_tarson_Left_0.85	1028291	56	2			0		other	0
renvi	104	Sound	H_tarson_Left_0.9	1038438	38	2			0		other	0
renvi	105	Sound	H_tarson_Left_0.95	1048616	51	1			0		other	0
renvi	106	Sound	H_tarson-Left-1	1058762	121	2			0		other	0
renvi	107	Sound	H_tarson_Left_1	1068914	17	3			0		other	0
