Scenario - SeuilAuditif
Logfile written - 03/30/2017 14:45:18

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

tutu	2	Sound	L_tarson_Left_0.7	388	57	1			0		other	0
tutu	3	Sound	L_tarson_Left_0.65	10535	38	1			0		other	0
tutu	4	Sound	L_tarson_Left_0.6	20712	49	1			0		other	0
tutu	5	Sound	L_tarson_Left_0.55	30859	31	1			0		other	0
tutu	6	Sound	L_tarson_Left_0.5	41036	42	1			0		other	0
tutu	7	Sound	L_tarson_Left_0.45	51213	53	1			0		other	0
tutu	8	Sound	L_tarson_Left_0.4	61360	35	1			0		other	0
tutu	9	Sound	L_tarson_Left_0.35	71537	46	1			0		other	0
tutu	10	Sound	L_tarson_Left_0.3	81713	56	2			0		other	0
tutu	11	Sound	L_tarson_Left_0.25	91860	38	1			0		other	0
tutu	12	Sound	L_tarson_Left_0.2	102037	49	1			0		other	0
tutu	13	Sound	L_tarson_Left_0.15	112184	30	1			0		other	0
tutu	14	Sound	L_tarson_Left_9.99999999999999e-002	122361	42	1			0		other	0
tutu	15	Sound	L_tarson_Left_4.99999999999999e-002	132538	53	1			0		other	0
tutu	16	Sound	L_tarson-Left-0	142685	34	1			0		other	0
tutu	17	Sound	L_tarson_Left_0	152862	46	1			0		other	0
tutu	18	Sound	L_tarson_Left_5.e-002	163039	57	1			0		other	0
tutu	19	Sound	L_tarson_Left_0.1	173186	38	1			0		other	0
tutu	20	Sound	L_tarson_Left_0.15	183362	49	2			0		other	0
tutu	21	Sound	L_tarson_Left_0.2	193509	30	1			0		other	0
tutu	22	Sound	L_tarson_Left_0.25	203686	41	1			0		other	0
tutu	23	Sound	L_tarson_Left_0.3	213863	53	1			0		other	0
tutu	24	Sound	L_tarson_Left_0.35	224010	34	1			0		other	0
tutu	25	Sound	L_tarson_Left_0.4	234187	45	1			0		other	0
tutu	26	Sound	L_tarson_Left_0.45	244364	58	1			0		other	0
tutu	27	Sound	L_tarson_Left_0.5	254511	38	1			0		other	0
tutu	28	Sound	L_tarson_Left_0.55	264688	50	1			0		other	0
tutu	29	Sound	L_tarson_Left_0.6	274835	31	1			0		other	0
tutu	30	Sound	L_tarson_Left_0.65	285011	41	2			0		other	0
tutu	31	Sound	L_tarson_Left_0.7	295188	53	1			0		other	0
tutu	32	Sound	L_tarson_Left_0.75	305335	34	1			0		other	0
tutu	33	Sound	L_tarson_Left_0.8	315512	45	1			0		other	0
tutu	34	Sound	L_tarson_Left_0.85	325689	57	1			0		other	0
tutu	35	Sound	L_tarson_Left_0.9	335836	38	1			0		other	0
tutu	36	Sound	L_tarson_Left_0.95	346013	49	1			0		other	0
tutu	37	Sound	L_tarson-Left-1	356160	31	1			0		other	0
tutu	38	Sound	L_tarson_Left_1	366336	41	2			0		other	0
tutu	39	Sound	L_tarson_Left_0.98	376514	53	1			0		other	0
tutu	40	Sound	L_tarson_Left_0.96	386660	33	2			0		other	0
tutu	41	Sound	L_tarson_Left_0.94	396837	45	1			0		other	0
tutu	42	Sound	L_tarson_Left_0.92	407014	56	1			0		other	0
tutu	43	Sound	L_tarson_Left_0.9	417161	37	1			0		other	0
tutu	44	Sound	L_tarson_Left_0.88	427338	49	1			0		other	0
tutu	45	Sound	L_tarson_Left_0.86	437485	30	1			0		other	0
tutu	46	Sound	L_tarson_Left_0.84	447662	42	1			0		other	0
tutu	47	Sound	L_tarson_Left_0.82	457839	53	1			0		other	0
tutu	48	Sound	L_tarson_Left_0.8	467986	34	1			0		other	0
tutu	49	Sound	L_tarson_Left_0.78	478162	45	2			0		other	0
tutu	50	Sound	L_tarson_Left_0.76	488339	56	2			0		other	0
tutu	51	Sound	L_tarson_Left_0.74	498486	38	1			0		other	0
tutu	52	Sound	L_tarson_Left_0.72	508663	49	1			0		other	0
tutu	53	Sound	L_tarson_Left_0.7	518810	30	1			0		other	0
tutu	54	Sound	L_tarson_Left_0.68	528987	41	1			0		other	0
tutu	55	Sound	L_tarson_Left_0.66	539164	53	1			0		other	0
tutu	56	Sound	L_tarson_Left_0.64	549311	34	1			0		other	0
tutu	57	Sound	L_tarson_Left_0.62	559488	46	1			0		other	0
tutu	58	Sound	L_tarson_Left_0.6	569665	57	1			0		other	0
tutu	59	Sound	L_tarson_Left_0.58	579811	37	2			0		other	0
tutu	60	Sound	L_tarson_Left_0.56	589988	48	1			0		other	0
tutu	61	Sound	L_tarson_Left_0.54	600135	30	1			0		other	0
tutu	62	Sound	L_tarson_Left_0.52	610312	41	1			0		other	0
tutu	63	Sound	L_tarson_Left_0.5	620489	52	1			0		other	0
tutu	64	Sound	L_tarson_Left_0.48	630636	34	1			0		other	0
tutu	65	Sound	L_tarson_Left_0.46	640813	45	1			0		other	0
tutu	66	Sound	L_tarson_Left_0.44	650990	56	1			0		other	0
tutu	67	Sound	L_tarson_Left_0.419999999999999	661137	38	1			0		other	0
tutu	68	Sound	L_tarson_Left_0.399999999999999	671313	48	2			0		other	0
tutu	69	Sound	L_tarson_Left_0.379999999999999	681460	30	2			0		other	0
tutu	70	Sound	L_tarson_Left_0.359999999999999	691637	41	1			0		other	0
tutu	71	Sound	L_tarson_Left_0.339999999999999	701814	52	1			0		other	0
tutu	72	Sound	L_tarson_Left_0.319999999999999	711961	34	1			0		other	0
tutu	73	Sound	L_tarson_Left_0.299999999999999	722138	45	1			0		other	0
tutu	74	Sound	L_tarson_Left_0.279999999999999	732315	56	1			0		other	0
tutu	75	Sound	L_tarson_Left_0.259999999999999	742462	38	1			0		other	0
tutu	76	Sound	L_tarson_Left_0.239999999999999	752639	49	1			0		other	0
tutu	77	Sound	L_tarson_Left_0.219999999999999	762786	30	1			0		other	0
tutu	78	Sound	L_tarson_Left_0.199999999999999	772962	41	2			0		other	0
tutu	79	Sound	L_tarson_Left_0.179999999999999	783139	52	2			0		other	0
tutu	80	Sound	L_tarson_Left_0.159999999999999	793286	33	2			0		other	0
tutu	81	Sound	L_tarson_Left_0.139999999999999	803463	45	1			0		other	0
tutu	82	Sound	L_tarson_Left_0.119999999999999	813640	56	1			0		other	0
tutu	83	Sound	L_tarson_Left_9.99999999999994e-002	823787	37	1			0		other	0
tutu	84	Sound	L_tarson_Left_7.99999999999994e-002	833964	49	1			0		other	0
tutu	85	Sound	L_tarson_Left_5.99999999999994e-002	844111	30	1			0		other	0
tutu	86	Sound	L_tarson_Left_3.99999999999994e-002	854288	41	1			0		other	0
tutu	87	Sound	L_tarson_Left_1.99999999999994e-002	864464	52	2			0		other	0
tutu	88	Sound	L_tarson-Left-0	874611	33	2			0		other	0
tutu	89	Sound	L_tarson_Left_0	884788	44	1			0		other	0
tutu	90	Sound	L_tarson_Left_2.e-002	894965	56	1			0		other	0
tutu	91	Sound	L_tarson_Left_4.e-002	905112	37	1			0		other	0
tutu	92	Sound	L_tarson_Left_6.e-002	915289	48	1			0		other	0
tutu	93	Sound	L_tarson_Left_8.e-002	925466	60	1			0		other	0
tutu	94	Sound	L_tarson_Left_0.1	935613	41	1			0		other	0
tutu	95	Sound	L_tarson_Left_0.12	945790	53	1			0		other	0
tutu	96	Sound	L_tarson_Left_0.14	955937	34	1			0		other	0
tutu	97	Sound	L_tarson_Left_0.16	966114	45	1			0		other	0
tutu	98	Sound	L_tarson_Left_0.18	976290	55	2			0		other	0
tutu	99	Sound	L_tarson_Left_0.2	986437	37	1			0		other	0
tutu	100	Sound	L_tarson_Left_0.22	996615	49	1			0		other	0
tutu	101	Sound	L_tarson_Left_0.24	1006761	30	1			0		other	0
tutu	102	Sound	L_tarson_Left_0.26	1016938	41	1			0		other	0
tutu	103	Sound	L_tarson_Left_0.28	1027115	52	1			0		other	0
tutu	104	Sound	L_tarson_Left_0.3	1037262	33	1			0		other	0
tutu	105	Sound	L_tarson_Left_0.32	1047439	45	1			0		other	0
tutu	106	Sound	L_tarson_Left_0.34	1057616	56	1			0		other	0
tutu	107	Sound	L_tarson_Left_0.36	1067763	38	1			0		other	0
tutu	108	Sound	L_tarson_Left_0.38	1077939	48	1			0		other	0
tutu	109	Sound	L_tarson_Left_0.4	1088086	29	1			0		other	0
tutu	110	Sound	L_tarson_Left_0.42	1098263	40	1			0		other	0
tutu	111	Sound	L_tarson_Left_0.44	1108440	52	1			0		other	0
