Scenario - 17_March_2015
Logfile written - 02/17/2017 11:39:49

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

yc22	1	Response	253	287091	296924	1
yc22	2	Picture	10	287135	0	1	20164	3	0	20000	other	0
yc22	3	Picture	10	307466	0	1	40162	3	0	40000	other	0
yc22	4	Picture	10	347795	0	1	40163	2	0	40000	other	0
yc22	5	Nothing	91	387959	0	1			0		other	0
yc22	6	Picture	202	418121	0	2	1999	4	0	1920	other	0
yc22	7	Sound	62	430121	0	2			0		miss	0
yc22	8	Picture	2	464783	0	2	2000	3	0	1920	other	0
yc22	9	Sound	62	476755	0	1			0		miss	0
yc22	10	Picture	113	511278	0	1	2000	2	0	1920	other	0
yc22	10	Sound	51	514597	3319	1			3320		other	0
yc22	11	Sound	63	523269	0	2			0		miss	0
yc22	12	Picture	1	558940	0	1	1999	3	0	1920	other	0
yc22	13	Sound	61	570921	0	1			0		miss	0
yc22	14	Picture	101	605601	0	2	2000	4	0	1920	other	0
yc22	15	Sound	61	617585	0	1			0		miss	0
yc22	16	Picture	212	653263	0	2	2000	3	0	1920	other	0
yc22	16	Sound	51	658122	4859	2			4860		other	0
yc22	17	Sound	62	665237	0	1			0		miss	0
yc22	18	Picture	2	700592	0	1	1999	3	0	1920	other	0
yc22	19	Sound	62	712589	0	1			0		miss	0
yc22	20	Picture	24	747420	0	1	2000	2	0	1920	other	0
yc22	20	Sound	52	754749	7329	2			7330		other	0
yc22	21	Sound	64	759402	0	2			0		miss	0
yc22	22	Picture	12	793748	0	2	2000	4	0	1920	other	0
yc22	22	Sound	51	798647	4899	2			4900		other	0
yc22	23	Sound	62	805737	0	1			0		miss	0
yc22	24	Picture	1	840910	0	2	2000	3	0	1920	other	0
yc22	25	Sound	61	852910	0	1			0		miss	0
yc22	26	Picture	2	888405	0	2	2000	3	0	1920	other	0
yc22	27	Sound	62	900382	0	1			0		miss	0
yc22	28	Picture	4	934567	0	2	2000	3	0	1920	other	0
yc22	29	Sound	64	946567	0	1			0		miss	0
yc22	30	Picture	111	981729	0	1	1999	3	0	1920	other	0
yc22	30	Sound	51	986658	4929	1			4930		other	0
yc22	31	Sound	61	993710	0	1			0		miss	0
yc22	32	Picture	204	1028057	0	2	2000	3	0	1920	other	0
yc22	33	Sound	64	1040044	0	1			0		miss	0
yc22	34	Picture	202	1075886	0	1	1999	3	0	1920	other	0
yc22	35	Sound	62	1087876	0	1			0		miss	0
yc22	36	Picture	3	1122547	0	2	2000	4	0	1920	other	0
yc22	37	Sound	63	1134539	0	2			0		miss	0
yc22	38	Picture	202	1169376	0	1	2000	2	0	1920	other	0
yc22	39	Sound	62	1181353	0	1			0		miss	0
yc22	40	Picture	2	1217204	0	2	2000	3	0	1920	other	0
yc22	41	Sound	62	1229184	0	1			0		miss	0
yc22	42	Picture	3	1263699	0	2	2000	4	0	1920	other	0
yc22	43	Sound	63	1275698	0	2			0		miss	0
yc22	44	Picture	101	1311361	0	1	2000	2	0	1920	other	0
yc22	45	Sound	61	1323350	0	1			0		miss	0
yc22	46	Picture	21	1359356	0	2	2000	3	0	1920	other	0
yc22	46	Sound	52	1365815	6459	2			6460		other	0
yc22	47	Sound	61	1371331	0	1			0		miss	0
yc22	48	Picture	204	1407018	0	1	2000	2	0	1920	other	0
yc22	49	Sound	64	1419012	0	2			0		miss	0
yc22	50	Picture	23	1453346	0	2	2000	3	0	1920	other	0
yc22	50	Sound	52	1459465	6119	1			6120		other	0
yc22	51	Sound	63	1465317	0	1			0		miss	0
yc22	52	Picture	3	1501008	0	1	2000	2	0	1920	other	0
yc22	53	Sound	63	1512999	0	1			0		miss	0
yc22	54	Picture	103	1547170	0	1	1999	3	0	1920	other	0
yc22	55	Sound	63	1559154	0	1			0		miss	0
yc22	56	Picture	103	1594165	0	1	2000	2	0	1920	other	0
yc22	57	Sound	63	1606147	0	1			0		miss	0
yc22	58	Picture	1	1640827	0	1	1999	3	0	1920	other	0
yc22	59	Sound	61	1652811	0	1			0		miss	0
yc22	60	Picture	4	1688322	0	1	1999	3	0	1920	other	0
yc22	61	Sound	64	1700313	0	1			0		miss	0
yc22	62	Picture	214	1734817	0	1	1999	3	0	1920	other	0
yc22	62	Sound	51	1739527	4710	1			4710		other	0
yc22	63	Sound	64	1746797	0	1			0		miss	0
yc22	64	Picture	204	1781978	0	2	2000	4	0	1920	other	0
yc22	65	Sound	64	1793970	0	1			0		miss	0
yc22	66	Picture	202	1829640	0	2	2000	3	0	1920	other	0
yc22	67	Sound	62	1841621	0	2			0		miss	0
yc22	68	Picture	101	1875969	0	1	2000	2	0	1920	other	0
yc22	69	Sound	61	1887956	0	1			0		miss	0
yc22	70	Picture	11	1922464	0	1	2000	2	0	1920	other	0
yc22	70	Sound	51	1925893	3429	1			3430		other	0
yc22	71	Sound	61	1934440	0	1			0		miss	0
yc22	72	Picture	222	1969459	0	1	2000	2	0	1920	other	0
yc22	72	Sound	52	1976558	7099	2			7100		other	0
yc22	73	Sound	62	1981433	0	2			0		miss	0
yc22	74	Picture	4	2016621	0	1	1999	3	0	1920	other	0
yc22	75	Sound	64	2028606	0	1			0		miss	0
yc22	76	Picture	3	2063116	0	1	1999	3	0	1920	other	0
yc22	77	Sound	63	2075090	0	2			0		miss	0
yc22	78	Picture	22	2109444	0	2	2000	4	0	1920	other	0
yc22	78	Sound	52	2116143	6699	2			6700		other	0
yc22	79	Sound	62	2121425	0	1			0		miss	0
yc22	80	Picture	202	2156606	0	1	2000	2	0	1920	other	0
yc22	81	Sound	62	2168598	0	1			0		miss	0
yc22	82	Picture	1	2204768	0	1	2000	2	0	1920	other	0
yc22	83	Sound	61	2216758	0	2			0		miss	0
yc22	84	Picture	204	2252596	0	1	2000	2	0	1920	other	0
yc22	85	Sound	64	2264589	0	2			0		miss	0
yc22	86	Picture	101	2298758	0	1	1999	3	0	1920	other	0
yc22	87	Sound	61	2310744	0	2			0		miss	0
yc22	88	Picture	101	2345420	0	1	1999	3	0	1920	other	0
yc22	89	Sound	61	2357408	0	2			0		miss	0
yc22	90	Picture	1	2393248	0	1	2000	2	0	1920	other	0
yc22	91	Sound	61	2405240	0	1			0		miss	0
yc22	92	Picture	4	2440743	0	1	2000	2	0	1920	other	0
yc22	93	Sound	64	2452741	0	2			0		miss	0
yc22	94	Picture	101	2487571	0	2	2000	3	0	1920	other	0
yc22	95	Sound	61	2499555	0	1			0		miss	0
yc22	96	Picture	3	2534566	0	2	2000	4	0	1920	other	0
yc22	97	Sound	63	2546548	0	1			0		miss	0
yc22	98	Picture	14	2582395	0	1	1999	3	0	1920	other	0
yc22	98	Sound	51	2587594	5199	2			5200		other	0
yc22	99	Sound	64	2594379	0	2			0		miss	0
yc22	100	Picture	103	2629723	0	2	2000	3	0	1920	other	0
yc22	101	Sound	63	2641702	0	1			0		miss	0
yc22	102	Picture	2	2676885	0	1	2000	2	0	1920	other	0
yc22	103	Sound	62	2688874	0	2			0		miss	0
yc22	104	Picture	4	2724547	0	1	2000	2	0	1920	other	0
yc22	105	Sound	64	2736526	0	1			0		miss	0
yc22	106	Picture	103	2771875	0	1	2000	2	0	1920	other	0
yc22	107	Sound	63	2783848	0	2			0		miss	0
yc22	108	Picture	121	2819536	0	2	2000	4	0	1920	other	0
yc22	108	Sound	52	2826445	6909	1			6910		other	0
yc22	109	Sound	61	2831530	0	1			0		miss	0
yc22	110	Picture	3	2866199	0	1	1999	3	0	1920	other	0
yc22	111	Sound	63	2878194	0	1			0		miss	0
yc22	112	Picture	202	2913860	0	2	2000	3	0	1920	other	0
yc22	113	Sound	62	2925846	0	1			0		miss	0
yc22	114	Picture	13	2960022	0	1	2000	2	0	1920	other	0
yc22	114	Sound	51	2962591	2569	2			2570		other	0
yc22	115	Sound	63	2972001	0	1			0		miss	0
yc22	116	Picture	123	3006350	0	2	2000	4	0	1920	other	0
yc22	116	Sound	52	3011929	5579	2			5580		other	0
yc22	117	Sound	63	3018335	0	1			0		miss	0
yc22	118	Picture	2	3054179	0	1	2000	2	0	1920	other	0
yc22	119	Sound	62	3066166	0	2			0		miss	0
yc22	120	Picture	204	3100507	0	2	2000	3	0	1920	other	0
yc22	121	Sound	64	3112501	0	1			0		miss	0
yc22	122	Picture	4	3147169	0	2	1999	4	0	1920	other	0
yc22	123	Sound	64	3159165	0	1			0		miss	0
yc22	124	Picture	224	3193831	0	1	2000	2	0	1920	other	0
yc22	124	Sound	52	3200161	6330	1			6330		other	0
yc22	125	Sound	64	3205829	0	1			0		miss	0
yc22	126	Picture	103	3241159	0	2	2000	4	0	1920	other	0
yc22	127	Sound	63	3253151	0	1			0		miss	0
yc22	128	Picture	1	3289321	0	1	2000	2	0	1920	other	0
yc22	129	Sound	61	3301312	0	1			0		miss	0
yc22	130	Picture	103	3336982	0	2	2000	4	0	1920	other	0
yc22	131	Sound	63	3348963	0	1			0		miss	0
yc22	132	Picture	204	3383811	0	1	1999	3	0	1920	other	0
yc22	133	Sound	64	3395807	0	1			0		miss	0
yc22	134	Quit		10896481	7464675


Event Type	Code	Type	Response	RT	RT Uncertainty	Time	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur

Picture	10	other				287135	1	20164	3	0	20000
Picture	10	other				307466	1	40162	3	0	40000
Picture	10	other				347795	1	40163	2	0	40000
Nothing	91	other				387959	1			0
Picture	202	other				418121	2	1999	4	0	1920
Sound	62	miss				430121	2			0
Picture	2	other				464783	2	2000	3	0	1920
Sound	62	miss				476755	1			0
Picture	113	other				511278	1	2000	2	0	1920
Sound	51	other				514597	1			3320
Sound	63	miss				523269	2			0
Picture	1	other				558940	1	1999	3	0	1920
Sound	61	miss				570921	1			0
Picture	101	other				605601	2	2000	4	0	1920
Sound	61	miss				617585	1			0
Picture	212	other				653263	2	2000	3	0	1920
Sound	51	other				658122	2			4860
Sound	62	miss				665237	1			0
Picture	2	other				700592	1	1999	3	0	1920
Sound	62	miss				712589	1			0
Picture	24	other				747420	1	2000	2	0	1920
Sound	52	other				754749	2			7330
Sound	64	miss				759402	2			0
Picture	12	other				793748	2	2000	4	0	1920
Sound	51	other				798647	2			4900
Sound	62	miss				805737	1			0
Picture	1	other				840910	2	2000	3	0	1920
