Subject: yc22
Blockt: 1

N	Cue	D1 	Dis	D2 	Tar	ER	SR	FA	MR	HIT	RT
1	2	69	0	631	2	1	0	0	0	0	0
2	0	80	0	620	2	1	0	0	0	0	0
3	1	138	1	562	3	2	0	0	0	0	0
4	0	253	0	447	1	1	0	0	0	0	0
5	1	572	0	128	1	1	0	0	0	0	0
6	2	292	1	408	2	1	0	0	0	0	0
7	0	115	0	585	2	1	0	0	0	0	0
8	0	539	2	161	4	2	0	0	0	0	0
9	0	296	1	404	2	1	0	0	0	0	0
10	0	332	0	368	1	1	0	0	0	0	0
11	0	600	0	100	2	1	0	0	0	0	0
12	0	387	0	313	4	2	0	0	0	0	0
13	1	299	1	401	1	1	0	0	0	0	0
14	2	319	0	381	4	2	0	0	0	0	0
15	2	85	0	615	2	1	0	0	0	0	0
16	0	480	0	220	3	2	0	0	0	0	0
17	2	519	0	181	2	1	0	0	0	0	0
18	0	606	0	94	2	1	0	0	0	0	0
19	0	546	0	154	3	2	0	0	0	0	0
20	1	504	0	196	1	1	0	0	0	0	0
21	0	452	2	248	1	1	0	0	0	0	0
22	2	355	0	345	4	2	0	0	0	0	0
23	0	418	2	282	3	2	0	0	0	0	0
24	0	530	0	170	3	2	0	0	0	0	0
25	1	561	0	139	3	2	0	0	0	0	0
26	1	174	0	526	3	2	0	0	0	0	0
27	0	496	0	204	1	1	0	0	0	0	0
28	0	646	0	54	4	2	0	0	0	0	0
29	2	277	1	423	4	2	0	0	0	0	0
30	2	643	0	57	4	2	0	0	0	0	0
31	2	452	0	248	2	1	0	0	0	0	0
32	1	259	0	441	1	1	0	0	0	0	0
33	0	149	1	551	1	1	0	0	0	0	0
34	2	516	2	184	2	1	0	0	0	0	0
35	0	265	0	435	4	2	0	0	0	0	0
36	0	102	0	598	3	2	0	0	0	0	0
37	0	476	2	224	2	1	0	0	0	0	0
38	2	540	0	160	2	1	0	0	0	0	0
39	0	612	0	88	1	1	0	0	0	0	0
40	2	146	0	554	4	2	0	0	0	0	0
41	1	117	0	583	1	1	0	0	0	0	0
42	1	404	0	296	1	1	0	0	0	0	0
43	0	117	0	583	1	1	0	0	0	0	0
44	0	461	0	239	4	2	0	0	0	0	0
45	1	323	0	377	1	1	0	0	0	0	0
46	0	95	0	605	3	2	0	0	0	0	0
47	0	326	1	374	4	2	0	0	0	0	0
48	1	309	0	391	3	2	0	0	0	0	0
49	0	401	0	299	2	1	0	0	0	0	0
50	0	121	0	579	4	2	0	0	0	0	0
51	1	575	0	125	3	2	0	0	0	0	0
52	1	497	2	203	1	1	0	0	0	0	0
53	0	213	0	487	3	2	0	0	0	0	0
54	2	306	0	394	2	1	0	0	0	0	0
55	0	63	1	637	3	2	0	0	0	0	0
56	1	364	2	336	3	2	0	0	0	0	0
57	0	255	0	445	2	1	0	0	0	0	0
58	2	72	0	628	4	2	0	0	0	0	0
59	0	342	0	358	4	2	0	0	0	0	0
60	2	439	2	261	4	2	0	0	0	0	0
61	1	150	0	550	3	2	0	0	0	0	0
62	0	555	0	145	1	1	0	0	0	0	0
63	1	383	0	317	3	2	0	0	0	0	0
64	2	388	0	312	4	2	0	0	0	0	0

nb trial with correct rep:0
nb trial with no rep:64
nb trial with incorrect rep:0
dont nb trial with multip rep:0
dont nb trial with FA:0
Average RT:0
