Subject: bpralus
Blockt: 2

N	Cue	D1 	Dis	D2 	Tar	ER	SR	FA	MR	HIT	RT
1	1	73	0	627	3	2	2	0	1	1	453
2	1	629	0	71	1	1	1	0	1	1	621
3	0	576	0	124	1	1	1	0	1	1	575
4	0	429	2	271	4	2	2	0	1	1	601
5	0	444	0	256	4	2	2	0	1	1	312
6	0	547	2	153	1	1	1	0	2	0	860
7	2	323	0	377	4	2	2	0	1	1	483
8	0	233	1	467	1	1	1	0	2	0	462
9	0	478	0	222	1	1	1	0	1	1	706
10	0	520	0	180	3	2	2	0	1	1	680
11	1	437	2	263	3	2	2	0	1	1	461
12	2	291	1	409	4	2	1	0	1	0	665
13	2	402	0	298	2	1	2	0	1	0	522
14	0	139	0	561	4	2	0	0	0	0	0
15	0	303	0	397	3	2	2	0	1	1	474
16	1	153	0	547	1	1	1	0	1	1	615
17	0	632	2	68	2	1	1	0	1	1	841
18	2	110	1	590	2	1	1	0	1	1	521
19	1	212	0	488	3	2	2	0	2	0	1247
20	1	451	0	249	3	2	2	0	1	1	1155
21	0	463	0	237	3	2	2	0	1	1	708
22	0	198	0	502	2	1	1	0	1	1	650
23	2	95	0	605	2	1	1	0	1	1	514
24	0	119	1	581	2	1	1	0	1	1	797
25	0	343	0	357	3	2	2	0	1	1	754
26	0	267	0	433	1	1	1	0	2	0	474
27	2	466	0	234	4	2	2	0	1	1	630
28	0	77	0	623	4	2	2	0	1	1	451
29	2	442	0	258	4	2	2	0	1	1	555
30	0	484	0	216	4	2	2	0	1	1	695
31	2	562	0	138	4	2	2	0	1	1	466
32	1	61	1	639	3	2	2	0	1	1	601
33	1	384	0	316	3	2	1	0	3	0	733
34	0	189	1	511	4	2	1	0	3	0	599
35	2	563	0	137	2	1	1	0	7	0	1104
36	2	231	0	469	4	2	2	4	1	1	538
37	0	296	0	404	4	2	2	0	1	1	534
38	1	499	0	201	1	1	1	0	1	1	704
39	1	229	0	471	3	2	2	0	1	1	485
40	2	161	0	539	2	1	1	0	4	0	652
41	0	263	0	437	3	2	2	0	1	1	565
42	1	234	0	466	1	1	1	0	1	1	842
43	2	366	0	334	2	1	1	0	1	1	630
44	0	517	0	183	2	1	1	0	8	0	539
45	0	485	0	215	4	2	2	0	2	0	511
46	0	645	2	55	3	2	1	0	1	0	1286
