Scenario - SeuilAuditif
Logfile written - 02/27/2017 15:09:52

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

yc23	2	Sound	L_tarson_Left_0.7	389	58	1			0		other	0
yc23	3	Sound	L_tarson_Left_0.65	10536	39	1			0		other	0
yc23	4	Sound	L_tarson_Left_0.6	20713	51	1			0		other	0
yc23	5	Sound	L_tarson_Left_0.55	30860	32	1			0		other	0
yc23	6	Sound	L_tarson_Left_0.5	41036	42	2			0		other	0
yc23	7	Sound	L_tarson_Left_0.45	51213	54	2			0		other	0
yc23	8	Sound	L_tarson_Left_0.4	61360	35	1			0		other	0
yc23	9	Sound	L_tarson_Left_0.35	71537	47	1			0		other	0
yc23	10	Sound	L_tarson_Left_0.3	81714	58	1			0		other	0
yc23	11	Sound	L_tarson_Left_0.25	91861	40	1			0		other	0
yc23	12	Sound	L_tarson_Left_0.2	102038	51	1			0		other	0
yc23	12	Response	1	108428	6441	1
yc23	13	Sound	L_tarson-Left-0.15	112184	31	2			0		other	0
yc23	14	Sound	L_tarson_Left_0.15	122361	43	1			0		other	0
yc23	15	Sound	L_tarson_Left_0.2	132538	54	1			0		other	0
yc23	16	Sound	L_tarson_Left_0.25	142685	36	1			0		other	0
yc23	17	Sound	L_tarson_Left_0.3	152862	47	1			0		other	0
yc23	18	Sound	L_tarson_Left_0.35	163039	59	1			0		other	0
yc23	19	Sound	L_tarson_Left_0.4	173185	39	2			0		other	0
yc23	20	Sound	L_tarson_Left_0.45	183362	50	1			0		other	0
yc23	21	Sound	L_tarson_Left_0.5	193509	32	1			0		other	0
yc23	22	Sound	L_tarson_Left_0.55	203686	43	1			0		other	0
yc23	22	Response	1	209106	5463	1
yc23	23	Sound	L_tarson-Left-0.6	213863	55	1			0		other	0
yc23	24	Sound	L_tarson_Left_0.6	224010	36	1			0		other	0
yc23	25	Sound	L_tarson_Left_0.58	234187	48	1			0		other	0
yc23	26	Sound	L_tarson_Left_0.56	244363	59	2			0		other	0
yc23	27	Sound	L_tarson_Left_0.54	254510	40	1			0		other	0
yc23	28	Sound	L_tarson_Left_0.52	264687	51	1			0		other	0
yc23	29	Sound	L_tarson_Left_0.5	274834	32	1			0		other	0
