Scenario - 17_March_2015
Logfile written - 02/07/2018 14:25:44

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

toto	1	Response	253	12061	21894	1
toto	2	Picture	10	12164	0	1	20164	3	0	20000	other	0
toto	3	Picture	10	32495	0	2	40163	3	0	40000	other	0
toto	4	Picture	10	72824	0	2	40163	4	0	40000	other	0
toto	5	Nothing	91	112989	0	1			0		other	0
toto	6	Picture	202	143151	0	2	2000	3	0	1920	other	0
toto	7	Sound	62	155137	0	1			0		miss	0
toto	8	Picture	2	189813	0	2	2000	4	0	1920	other	0
toto	9	Sound	62	201801	0	1			0		miss	0
toto	10	Picture	113	236476	0	1	1999	3	0	1920	other	0
toto	10	Sound	51	239795	3319	1			3320		other	0
toto	11	Sound	63	248465	0	1			0		miss	0
toto	12	Picture	1	284138	0	1	2000	2	0	1920	other	0
toto	13	Sound	61	296117	0	1			0		miss	0
toto	14	Picture	101	330800	0	1	2000	2	0	1920	other	0
toto	15	Sound	61	342781	0	1			0		miss	0
toto	16	Picture	212	378629	0	1	1999	3	0	1920	other	0
toto	16	Sound	51	383488	4859	2			4860		other	0
toto	17	Sound	62	390612	0	1			0		miss	0
toto	18	Picture	2	425958	0	1	1999	3	0	1920	other	0
toto	19	Sound	62	437935	0	1			0		miss	0
toto	20	Picture	24	472786	0	2	2000	4	0	1920	other	0
toto	20	Sound	52	480116	7330	1			7330		other	0
toto	21	Sound	64	484778	0	2			0		miss	0
toto	22	Picture	12	519282	0	1	2000	2	0	1920	other	0
toto	22	Sound	51	524181	4899	1			4900		other	0
toto	23	Sound	62	531263	0	1			0		miss	0
toto	24	Picture	1	566444	0	2	2000	3	0	1920	other	0
toto	25	Sound	61	578436	0	1			0		miss	0
toto	26	Picture	2	613939	0	2	2000	4	0	1920	other	0
toto	27	Sound	62	625938	0	1			0		miss	0
toto	28	Picture	4	660102	0	1	2000	2	0	1920	other	0
toto	29	Sound	64	672093	0	1			0		miss	0
toto	30	Picture	111	707264	0	2	2000	3	0	1920	other	0
toto	30	Sound	51	712193	4929	2			4930		other	0
toto	31	Sound	61	719236	0	1			0		miss	0
toto	32	Picture	204	753593	0	1	2000	2	0	1920	other	0
toto	33	Sound	64	765571	0	1			0		miss	0
toto	34	Picture	202	801422	0	1	2000	2	0	1920	other	0
toto	35	Sound	62	813402	0	2			0		miss	0
toto	36	Picture	3	848084	0	1	2000	2	0	1920	other	0
toto	37	Sound	63	860066	0	2			0		miss	0
toto	38	Picture	202	894913	0	1	1999	3	0	1920	other	0
toto	39	Sound	62	906910	0	1			0		miss	0
toto	40	Picture	2	942741	0	2	2000	4	0	1920	other	0
toto	41	Sound	62	954711	0	2			0		miss	0
toto	42	Picture	3	989237	0	1	2000	2	0	1920	other	0
toto	43	Sound	63	1001226	0	1			0		miss	0
toto	44	Picture	101	1036899	0	2	2000	3	0	1920	other	0
toto	45	Sound	61	1048878	0	1			0		miss	0
toto	46	Picture	21	1084894	0	2	2000	4	0	1920	other	0
toto	46	Sound	52	1091353	6459	2			6460		other	0
toto	47	Sound	61	1096889	0	1			0		miss	0
toto	48	Picture	204	1132556	0	2	2000	4	0	1920	other	0
toto	49	Sound	64	1144540	0	2			0		miss	0
toto	50	Picture	23	1178886	0	1	1999	3	0	1920	other	0
