Scenario - 17_March_2015
Logfile written - 07/05/2017 15:17:32

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

toto	1	Response	253	4604	14437	1
toto	2	Picture	10	4664	0	2	20165	3	0	20000	other	0
toto	3	Picture	10	24996	0	1	40162	2	0	40000	other	0
toto	4	Picture	10	65325	0	1	40162	3	0	40000	other	0
toto	5	Nothing	91	105490	0	1			0		other	0
toto	6	Picture	202	135651	0	1	2000	2	0	1920	other	0
toto	7	Sound	62	147632	0	1			0		miss	0
toto	8	Picture	123	181813	0	1	2000	2	0	1920	other	0
toto	8	Sound	52	187402	5589	1			5590		other	0
toto	9	Sound	63	193787	0	1			0		miss	0
toto	10	Picture	12	229308	0	2	2000	3	0	1920	other	0
toto	10	Sound	51	232067	2759	2			2760		other	0
toto	11	Sound	62	241289	0	1			0		miss	0
toto	12	Picture	1	276803	0	2	2000	4	0	1920	other	0
toto	13	Sound	61	288791	0	1			0		miss	0
toto	14	Picture	214	322965	0	2	2000	3	0	1920	other	0
toto	14	Sound	51	327724	4759	1			4760		other	0
toto	15	Sound	64	334946	0	1			0		miss	0
toto	16	Picture	224	370960	0	2	2000	4	0	1920	other	0
toto	16	Sound	52	376999	6039	1			6040		other	0
toto	17	Sound	64	382957	0	1			0		miss	0
toto	18	Picture	3	417456	0	1	1999	3	0	1920	other	0
toto	19	Sound	63	429441	0	1			0		miss	0
toto	20	Picture	21	464451	0	1	1999	3	0	1920	other	0
toto	20	Sound	52	472210	7759	2			7760		other	0
toto	21	Sound	61	476434	0	1			0		miss	0
toto	22	Picture	2	512279	0	2	2000	3	0	1920	other	0
toto	23	Sound	62	524265	0	1			0		miss	0
toto	24	Picture	1	559941	0	1	2000	2	0	1920	other	0
toto	25	Sound	61	571916	0	1			0		miss	0
toto	26	Picture	204	606436	0	2	2000	4	0	1920	other	0
toto	27	Sound	64	618430	0	2			0		miss	0
toto	28	Picture	101	653432	0	1	1999	3	0	1920	other	0
toto	29	Sound	61	665423	0	2			0		miss	0
toto	30	Picture	101	701427	0	1	1999	3	0	1920	other	0
toto	31	Sound	61	713404	0	2			0		miss	0
toto	32	Picture	113	747755	0	2	2000	3	0	1920	other	0
toto	32	Sound	51	752894	5139	2			5140		other	0
toto	33	Sound	63	759739	0	1			0		miss	0
toto	34	Picture	4	795750	0	2	2000	3	0	1920	other	0
toto	35	Sound	64	807749	0	2			0		miss	0
toto	36	Picture	23	842246	0	1	1999	3	0	1920	other	0
toto	36	Sound	52	848885	6639	2			6640		other	0
toto	37	Sound	63	854234	0	1			0		miss	0
toto	38	Picture	3	890241	0	1	2000	2	0	1920	other	0
toto	39	Sound	63	902214	0	2			0		miss	0
toto	40	Picture	22	937736	0	1	1999	3	0	1920	other	0
toto	40	Sound	52	943645	5909	2			5910		other	0
toto	41	Sound	62	949716	0	2			0		miss	0
toto	42	Picture	14	985731	0	2	2000	4	0	1920	other	0
toto	42	Sound	51	989780	4049	2			4050		other	0
toto	43	Sound	64	997727	0	1			0		miss	0
toto	44	Picture	4	1032226	0	2	2000	3	0	1920	other	0
toto	45	Sound	64	1044211	0	2			0		miss	0
toto	46	Picture	101	1078388	0	2	2000	3	0	1920	other	0
toto	47	Sound	61	1090366	0	1			0		miss	0
toto	48	Picture	202	1125716	0	2	2001	3	0	1920	other	0
toto	49	Sound	62	1137688	0	2			0		miss	0
toto	50	Picture	204	1173712	0	1	1999	3	0	1920	other	0
toto	51	Sound	64	1185699	0	1			0		miss	0
toto	52	Picture	2	1219874	0	1	2000	2	0	1920	other	0
toto	53	Sound	62	1231854	0	1			0		miss	0
toto	54	Picture	103	1266036	0	1	2000	2	0	1920	other	0
toto	55	Sound	63	1278009	0	1			0		miss	0
toto	56	Picture	204	1313198	0	1	1999	3	0	1920	other	0
toto	57	Sound	64	1325182	0	1			0		miss	0
toto	58	Picture	2	1360859	0	2	2000	3	0	1920	other	0
toto	59	Sound	62	1372833	0	1			0		miss	0
toto	60	Picture	1	1408355	0	1	1999	3	0	1920	other	0
toto	61	Sound	61	1420335	0	1			0		miss	0
toto	62	Picture	24	1456183	0	1	2000	2	0	1920	other	0
toto	62	Sound	52	1462512	6329	2			6330		other	0
toto	63	Sound	64	1468166	0	1			0		miss	0
toto	64	Picture	222	1503345	0	1	1999	3	0	1920	other	0
toto	64	Sound	52	1509004	5659	2			5660		other	0
toto	65	Sound	62	1515339	0	1			0		miss	0
toto	66	Picture	1	1549673	0	2	2000	3	0	1920	other	0
toto	67	Sound	61	1561673	0	2			0		miss	0
toto	68	Picture	204	1597335	0	2	2000	3	0	1920	other	0
toto	69	Sound	64	1609325	0	1			0		miss	0
toto	70	Picture	101	1645330	0	2	2000	3	0	1920	other	0
toto	71	Sound	61	1657306	0	1			0		miss	0
toto	72	Picture	3	1691492	0	2	2000	3	0	1920	other	0
toto	73	Sound	63	1703490	0	2			0		miss	0
toto	74	Picture	1	1738487	0	2	2000	4	0	1920	other	0
toto	75	Sound	61	1750484	0	1			0		miss	0
toto	76	Picture	204	1786149	0	2	2000	3	0	1920	other	0
toto	77	Sound	64	1798135	0	1			0		miss	0
toto	78	Picture	121	1832644	0	2	2000	3	0	1920	other	0
toto	78	Sound	52	1840683	8039	2			8040		other	0
toto	79	Sound	61	1844619	0	1			0		miss	0
toto	80	Picture	4	1879306	0	2	2000	3	0	1920	other	0
toto	81	Sound	64	1891283	0	1			0		miss	0
toto	82	Picture	2	1926968	0	2	2000	3	0	1920	other	0
toto	83	Sound	62	1938965	0	1			0		miss	0
toto	84	Picture	2	1973297	0	1	1999	3	0	1920	other	0
toto	85	Sound	62	1985269	0	1			0		miss	0
toto	86	Picture	202	2020959	0	1	1999	3	0	1920	other	0
toto	87	Sound	62	2032951	0	1			0		miss	0
toto	88	Picture	212	2068454	0	1	1999	3	0	1920	other	0
toto	88	Sound	51	2073333	4879	1			4880		other	0
toto	89	Sound	62	2080452	0	2			0		miss	0
toto	90	Picture	3	2114949	0	1	2000	2	0	1920	other	0
toto	91	Sound	63	2126937	0	1			0		miss	0
toto	92	Picture	3	2162278	0	1	1999	3	0	1920	other	0
toto	93	Sound	63	2174259	0	1			0		miss	0
toto	94	Picture	101	2209439	0	2	2000	3	0	1920	other	0
toto	95	Sound	61	2221431	0	2			0		miss	0
toto	96	Picture	103	2257601	0	1	2000	2	0	1920	other	0
toto	97	Sound	63	2269592	0	1			0		miss	0
toto	98	Picture	1	2305096	0	2	2000	3	0	1920	other	0
toto	99	Sound	61	2317094	0	1			0		miss	0
toto	100	Picture	103	2353091	0	2	2000	4	0	1920	other	0
toto	101	Sound	63	2365075	0	1			0		miss	0
toto	102	Picture	4	2399586	0	2	2000	4	0	1920	other	0
toto	103	Sound	64	2411559	0	1			0		miss	0
toto	104	Picture	202	2447582	0	1	1999	3	0	1920	other	0
toto	105	Sound	62	2459570	0	1			0		miss	0
toto	106	Picture	4	2493910	0	2	2000	4	0	1920	other	0
toto	107	Sound	64	2505904	0	1			0		miss	0
toto	108	Picture	202	2541905	0	2	2000	3	0	1920	other	0
toto	109	Sound	62	2553885	0	1			0		miss	0
toto	110	Picture	11	2589734	0	1	1999	3	0	1920	other	0
toto	110	Sound	51	2594903	5169	2			5170		other	0
toto	111	Sound	61	2601716	0	1			0		miss	0
toto	112	Picture	2	2637229	0	1	2000	2	0	1920	other	0
toto	113	Sound	62	2649218	0	1			0		miss	0
toto	114	Picture	103	2683391	0	1	2000	2	0	1920	other	0
toto	115	Sound	63	2695373	0	1			0		miss	0
toto	116	Picture	103	2730219	0	2	2000	3	0	1920	other	0
toto	117	Sound	63	2742216	0	1			0		miss	0
toto	118	Picture	3	2776881	0	2	2000	4	0	1920	other	0
toto	119	Sound	63	2788880	0	1			0		miss	0
toto	120	Picture	4	2824043	0	2	2000	3	0	1920	other	0
toto	121	Sound	64	2836023	0	1			0		miss	0
toto	122	Picture	202	2870538	0	2	2000	3	0	1920	other	0
toto	123	Sound	62	2882537	0	1			0		miss	0
toto	124	Picture	103	2917200	0	2	2000	4	0	1920	other	0
toto	125	Sound	63	2929171	0	1			0		miss	0
toto	126	Picture	111	2965362	0	2	2000	3	0	1920	other	0
toto	126	Sound	51	2967891	2529	2			2530		other	0
toto	127	Sound	61	2977361	0	1			0		miss	0
toto	128	Picture	13	3012190	0	2	2000	4	0	1920	other	0
toto	128	Sound	51	3016479	4289	1			4290		other	0
toto	129	Sound	63	3024174	0	2			0		miss	0
toto	130	Picture	204	3058519	0	1	2000	2	0	1920	other	0
toto	131	Sound	64	3070509	0	1			0		miss	0
toto	132	Picture	101	3105014	0	2	2000	3	0	1920	other	0
toto	133	Sound	61	3116993	0	1			0		miss	0
toto	134	Response	253	3191461	38785	1


Event Type	Code	Type	Response	RT	RT Uncertainty	Time	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur

Picture	10	other				4664	2	20165	3	0	20000
Picture	10	other				24996	1	40162	2	0	40000
Picture	10	other				65325	1	40162	3	0	40000
Nothing	91	other				105490	1			0
Picture	202	other				135651	1	2000	2	0	1920
Sound	62	miss				147632	1			0
Picture	123	other				181813	1	2000	2	0	1920
Sound	52	other				187402	1			5590
Sound	63	miss				193787	1			0
Picture	12	other				229308	2	2000	3	0	1920
Sound	51	other				232067	2			2760
Sound	62	miss				241289	1			0
Picture	1	other				276803	2	2000	4	0	1920
Sound	61	miss				288791	1			0
Picture	214	other				322965	2	2000	3	0	1920
Sound	51	other				327724	1			4760
Sound	64	miss				334946	1			0
Picture	224	other				370960	2	2000	4	0	1920
Sound	52	other				376999	1			6040
Sound	64	miss				382957	1			0
Picture	3	other				417456	1	1999	3	0	1920
Sound	63	miss				429441	1			0
Picture	21	other				464451	1	1999	3	0	1920
Sound	52	other				472210	2			7760
Sound	61	miss				476434	1			0
Picture	2	other				512279	2	2000	3	0	1920
