Scenario - SeuilAuditif
Logfile written - 05/09/2016 10:40:44

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

sd	2	Sound	L_tarson_Left_0.7	388	56	1			0		other	0
sd	3	Sound	L_tarson_Left_0.65	10535	38	1			0		other	0
sd	4	Sound	L_tarson_Left_0.6	20712	49	1			0		other	0
sd	5	Sound	L_tarson_Left_0.55	30859	30	1			0		other	0
sd	6	Sound	L_tarson_Left_0.5	41036	42	1			0		other	0
sd	7	Sound	L_tarson_Left_0.45	51213	53	1			0		other	0
sd	8	Sound	L_tarson_Left_0.4	61360	34	1			0		other	0
sd	9	Sound	L_tarson_Left_0.35	71537	46	1			0		other	0
sd	10	Sound	L_tarson_Left_0.3	81714	57	1			0		other	0
sd	11	Sound	L_tarson_Left_0.25	91861	38	1			0		other	0
sd	12	Sound	L_tarson_Left_0.2	102038	49	1			0		other	0
sd	13	Sound	L_tarson_Left_0.15	112185	30	1			0		other	0
sd	14	Sound	L_tarson_Left_9.99999999999999e-002	122362	42	1			0		other	0
sd	15	Sound	L_tarson_Left_4.99999999999999e-002	132539	53	1			0		other	0
sd	16	Sound	L_tarson-Left-0	142686	34	1			0		other	0
sd	17	Sound	L_tarson_Left_0	152863	46	1			0		other	0
sd	18	Sound	L_tarson_Left_5.e-002	163040	57	1			0		other	0
sd	19	Sound	L_tarson_Left_0.1	173187	38	1			0		other	0
sd	20	Sound	L_tarson_Left_0.15	183364	50	1			0		other	0
sd	21	Sound	L_tarson_Left_0.2	193511	31	1			0		other	0
sd	22	Sound	L_tarson_Left_0.25	203688	42	1			0		other	0
sd	23	Sound	L_tarson_Left_0.3	213865	53	1			0		other	0
sd	24	Sound	L_tarson_Left_0.35	224012	35	1			0		other	0
sd	25	Sound	L_tarson_Left_0.4	234189	46	1			0		other	0
sd	26	Sound	L_tarson_Left_0.45	244366	58	1			0		other	0
sd	27	Sound	L_tarson_Left_0.5	254513	39	1			0		other	0
sd	28	Sound	L_tarson_Left_0.55	264690	49	1			0		other	0
sd	29	Sound	L_tarson_Left_0.6	274837	31	1			0		other	0
sd	30	Sound	L_tarson_Left_0.65	285014	42	1			0		other	0
sd	31	Sound	L_tarson_Left_0.7	295191	53	1			0		other	0
sd	32	Sound	L_tarson_Left_0.75	305338	35	1			0		other	0
sd	33	Sound	L_tarson_Left_0.8	315515	46	1			0		other	0
sd	34	Sound	L_tarson_Left_0.85	325692	57	1			0		other	0
sd	35	Sound	L_tarson_Left_0.9	335839	38	1			0		other	0
sd	36	Sound	L_tarson_Left_0.95	346016	50	1			0		other	0
sd	37	Sound	L_tarson-Left-1	356163	31	2			0		other	0
sd	38	Sound	L_tarson_Left_1	366340	42	1			0		other	0
sd	39	Sound	L_tarson_Left_0.98	376517	54	1			0		other	0
sd	40	Sound	L_tarson_Left_0.96	386664	35	1			0		other	0
sd	41	Sound	L_tarson_Left_0.94	396841	46	1			0		other	0
sd	42	Sound	L_tarson_Left_0.92	407018	57	1			0		other	0
sd	43	Sound	L_tarson_Left_0.9	417165	39	1			0		other	0
sd	44	Sound	L_tarson_Left_0.88	427342	50	1			0		other	0
sd	45	Sound	L_tarson_Left_0.86	437489	31	1			0		other	0
sd	46	Sound	L_tarson_Left_0.84	447666	43	1			0		other	0
sd	47	Sound	L_tarson_Left_0.82	457843	54	1			0		other	0
sd	48	Sound	L_tarson_Left_0.8	467990	35	1			0		other	0
sd	49	Sound	L_tarson_Left_0.78	478167	46	1			0		other	0
sd	50	Sound	L_tarson_Left_0.76	488344	58	1			0		other	0
sd	51	Sound	L_tarson_Left_0.74	498491	39	1			0		other	0
