Scenario - 17_March_2015
Logfile written - 04/03/2017 10:16:34

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

toto	1	Response	253	28790	38623	2
toto	2	Picture	10	28829	0	1	20164	3	0	20000	other	0
toto	3	Picture	10	49160	0	1	40163	2	0	40000	other	0
toto	4	Picture	10	89489	0	2	40163	3	0	40000	other	0
toto	5	Nothing	91	129654	0	1			0		other	0
toto	6	Picture	202	159816	0	1	2000	2	0	1920	other	0
toto	7	Sound	62	171809	0	1			0		miss	0
toto	8	Picture	2	206478	0	1	2000	2	0	1920	other	0
toto	9	Sound	62	218472	0	2			0		miss	0
toto	10	Picture	113	252973	0	2	2000	4	0	1920	other	0
toto	10	Sound	51	256292	3319	1			3320		other	0
toto	11	Sound	63	264957	0	1			0		miss	0
toto	12	Picture	1	300635	0	2	2000	3	0	1920	other	0
toto	13	Sound	61	312608	0	2			0		miss	0
toto	14	Picture	101	347297	0	2	2000	3	0	1920	other	0
toto	15	Sound	61	359272	0	2			0		miss	0
toto	16	Picture	212	394959	0	2	2000	3	0	1920	other	0
toto	16	Sound	51	399818	4859	2			4860		other	0
toto	17	Sound	62	406954	0	1			0		miss	0
toto	18	Picture	2	442288	0	1	2000	2	0	1920	other	0
toto	19	Sound	62	454276	0	2			0		miss	0
toto	20	Picture	24	489117	0	1	1999	3	0	1920	other	0
toto	20	Sound	52	496446	7329	2			7330		other	0
toto	21	Sound	64	501090	0	1			0		miss	0
toto	22	Picture	12	535445	0	2	2000	3	0	1920	other	0
toto	22	Sound	51	540344	4899	1			4900		other	0
toto	23	Sound	62	547425	0	1			0		miss	0
toto	24	Picture	1	582607	0	2	2000	3	0	1920	other	0
toto	25	Sound	61	594598	0	1			0		miss	0
toto	26	Picture	2	630103	0	1	1999	3	0	1920	other	0
toto	27	Sound	62	642100	0	1			0		miss	0
toto	28	Picture	4	676265	0	1	1999	3	0	1920	other	0
toto	29	Sound	64	688255	0	1			0		miss	0
toto	30	Picture	111	723426	0	2	2000	4	0	1920	other	0
toto	30	Sound	51	728355	4929	2			4930		other	0
toto	31	Sound	61	735398	0	1			0		miss	0
toto	32	Picture	204	769755	0	2	2000	3	0	1920	other	0
toto	33	Sound	64	781732	0	1			0		miss	0
toto	34	Picture	202	817584	0	1	2000	2	0	1920	other	0
toto	35	Sound	62	829564	0	1			0		miss	0
toto	36	Picture	3	864246	0	1	2000	2	0	1920	other	0
toto	37	Sound	63	876227	0	2			0		miss	0
toto	38	Picture	202	911075	0	1	2000	3	0	1920	other	0
toto	39	Sound	62	923071	0	1			0		miss	0
toto	40	Picture	2	958903	0	2	2000	4	0	1920	other	0
toto	41	Sound	62	970902	0	2			0		miss	0
toto	42	Picture	3	1005399	0	1	1999	3	0	1920	other	0
toto	43	Sound	63	1017387	0	1			0		miss	0
toto	44	Picture	101	1053061	0	1	1999	3	0	1920	other	0
toto	45	Sound	61	1065038	0	2			0		miss	0
toto	46	Picture	21	1101056	0	2	2000	3	0	1920	other	0
toto	46	Sound	52	1107515	6459	2			6460		other	0
toto	47	Sound	61	1113049	0	1			0		miss	0
toto	48	Picture	204	1148718	0	1	2000	2	0	1920	other	0
toto	49	Sound	64	1160701	0	1			0		miss	0
toto	50	Picture	23	1195047	0	1	1999	3	0	1920	other	0
toto	50	Sound	52	1201166	6119	2			6120		other	0
toto	51	Sound	63	1207036	0	1			0		miss	0
toto	52	Picture	3	1242709	0	1	2000	2	0	1920	other	0
toto	53	Sound	63	1254687	0	2			0		miss	0
toto	54	Picture	103	1288870	0	2	2001	3	0	1920	other	0
toto	55	Sound	63	1300842	0	2			0		miss	0
toto	56	Picture	103	1335699	0	2	2000	4	0	1920	other	0
toto	57	Sound	63	1347686	0	1			0		miss	0
toto	58	Picture	1	1382362	0	2	1999	4	0	1920	other	0
toto	59	Sound	61	1394350	0	1			0		miss	0
toto	60	Picture	4	1429857	0	1	2000	2	0	1920	other	0
toto	61	Sound	64	1441852	0	1			0		miss	0
toto	62	Picture	214	1476352	0	2	2000	3	0	1920	other	0
toto	62	Sound	51	1481061	4709	2			4710		other	0
toto	63	Sound	64	1488336	0	1			0		miss	0
toto	64	Picture	204	1523514	0	2	2000	3	0	1920	other	0
toto	65	Sound	64	1535509	0	1			0		miss	0
toto	66	Picture	202	1571176	0	2	2000	3	0	1920	other	0
toto	67	Sound	62	1583161	0	1			0		miss	0
toto	68	Picture	101	1617505	0	1	2000	2	0	1920	other	0
toto	69	Sound	61	1629495	0	2			0		miss	0
toto	70	Picture	11	1664000	0	2	2000	4	0	1920	other	0
toto	70	Sound	51	1667429	3429	2			3430		other	0
toto	71	Sound	61	1675980	0	1			0		miss	0
toto	72	Picture	222	1710996	0	1	1999	3	0	1920	other	0
toto	72	Sound	52	1718095	7099	2			7100		other	0
toto	73	Sound	62	1722973	0	1			0		miss	0
toto	74	Picture	4	1758158	0	1	2000	2	0	1920	other	0
toto	75	Sound	64	1770146	0	1			0		miss	0
toto	76	Picture	3	1804653	0	2	2000	3	0	1920	other	0
toto	77	Sound	63	1816630	0	1			0		miss	0
toto	78	Picture	22	1850982	0	1	2000	2	0	1920	other	0
toto	78	Sound	52	1857681	6699	2			6700		other	0
toto	79	Sound	62	1862965	0	1			0		miss	0
toto	80	Picture	202	1898144	0	1	2000	2	0	1920	other	0
toto	81	Sound	62	1910137	0	2			0		miss	0
toto	82	Picture	1	1946306	0	1	2000	2	0	1920	other	0
toto	83	Sound	61	1958298	0	1			0		miss	0
toto	84	Picture	204	1994134	0	2	2000	3	0	1920	other	0
toto	85	Sound	64	2006129	0	1			0		miss	0
toto	86	Picture	101	2040296	0	2	2000	4	0	1920	other	0
toto	87	Sound	61	2052284	0	2			0		miss	0
toto	88	Picture	101	2086958	0	2	2000	4	0	1920	other	0
toto	89	Sound	61	2098948	0	2			0		miss	0
toto	90	Picture	1	2134787	0	1	2000	2	0	1920	other	0
toto	91	Sound	61	2146780	0	1			0		miss	0
