   "num"  "trialt"     "cue"  "codCUE"  "delay1"   "dis"  "codDIS"               "DIS"  "delay2"          "TAR"  "codTAR"    "bp" "ISIrand"; 
       1         0  "Barrow"        21       395       2        52        "telephone2"     305   "S_tarson_A"        61       1       160;
       2         0  "Barrow"         3       168       0        50               "nul"     532   "S_tarson_C"        63       2        77;
       3         0  "Barrow"         1        92       0        50               "nul"     608   "S_tarson_A"        61       1         4;
       4         1  "Larrow"       113        86       1        51             "ring8"     614   "S_tarson_C"        63       2        62;
       5         1  "Rarrow"       202       413       0        50               "nul"     287   "S_tarson_B"        62       1       185;
       6         0  "Barrow"         1       373       0        50               "nul"     327   "S_tarson_A"        61       1        43;
       7         0  "Barrow"         4       644       0        50               "nul"      56   "S_tarson_D"        64       2         7;
       8         1  "Larrow"       101       128       0        50               "nul"     572   "S_tarson_A"        61       1       177;
       9         0  "Barrow"         4       260       0        50               "nul"     440   "S_tarson_D"        64       2       120;
      10         0  "Barrow"         3       640       0        50               "nul"      60   "S_tarson_C"        63       2       175;
      11         1  "Rarrow"       224       440       2        52       "telephone17"     260   "S_tarson_D"        64       2        54;
      12         0  "Barrow"         4        85       0        50               "nul"     615   "S_tarson_D"        64       2       106;
      13         1  "Rarrow"       202       550       0        50               "nul"     150   "S_tarson_B"        62       1       197;
      14         1  "Rarrow"       202        97       0        50               "nul"     603   "S_tarson_B"        62       1       108;
      15         1  "Rarrow"       204       137       0        50               "nul"     563   "S_tarson_D"        64       2       104;
      16         1  "Larrow"       103       419       0        50               "nul"     281   "S_tarson_C"        63       2        22;
      17         1  "Rarrow"       202       468       0        50               "nul"     232   "S_tarson_B"        62       1       139;
      18         0  "Barrow"        22       594       2        52            "Alarm5"     106   "S_tarson_B"        62       1       106;
      19         1  "Rarrow"       202       102       0        50               "nul"     598   "S_tarson_B"        62       1       186;
      20         1  "Larrow"       103       175       0        50               "nul"     525   "S_tarson_C"        63       2       106;
      21         1  "Rarrow"       204       386       0        50               "nul"     314   "S_tarson_D"        64       2        18;
      22         0  "Barrow"        23       637       2        52           "reveil6"      63   "S_tarson_C"        63       2       155;
      23         1  "Larrow"       101       618       0        50               "nul"      82   "S_tarson_A"        61       1       166;
      24         0  "Barrow"         3       267       0        50               "nul"     433   "S_tarson_C"        63       2       128;
      25         0  "Barrow"         2       218       0        50               "nul"     482   "S_tarson_B"        62       1        63;
      26         0  "Barrow"         3       603       0        50               "nul"      97   "S_tarson_C"        63       2       150;
      27         1  "Larrow"       121       622       2        52           "alarme2"      78   "S_tarson_A"        61       1        49;
      28         0  "Barrow"         1       339       0        50               "nul"     361   "S_tarson_A"        61       1       177;
      29         0  "Barrow"         2       583       0        50               "nul"     117   "S_tarson_B"        62       1       136;
      30         1  "Larrow"       103       256       0        50               "nul"     444   "S_tarson_C"        63       2       163;
      31         1  "Rarrow"       222       372       2        52            "RINGIN"     328   "S_tarson_B"        62       1        30;
      32         0  "Barrow"        14       229       1        51        "telephone5"     471   "S_tarson_D"        64       2       107;
      33         0  "Barrow"         2       228       0        50               "nul"     472   "S_tarson_B"        62       1        75;
      34         1  "Larrow"       103       617       0        50               "nul"      83   "S_tarson_C"        63       2        45;
      35         1  "Larrow"       101       313       0        50               "nul"     387   "S_tarson_A"        61       1       167;
      36         1  "Larrow"       111       179       1        51       "PhoneRingIn"     521   "S_tarson_A"        61       1       124;
      37         1  "Rarrow"       202       346       0        50               "nul"     354   "S_tarson_B"        62       1       159;
      38         0  "Barrow"         1       392       0        50               "nul"     308   "S_tarson_A"        61       1        35;
      39         0  "Barrow"         4       423       0        50               "nul"     277   "S_tarson_D"        64       2        57;
      40         1  "Larrow"       101       155       0        50               "nul"     545   "S_tarson_A"        61       1        21;
      41         1  "Rarrow"       204        82       0        50               "nul"     618   "S_tarson_D"        64       2       144;
      42         0  "Barrow"        13       189       1        51       "telephone11"     511   "S_tarson_C"        63       2       166;
      43         0  "Barrow"        12       326       1        51          "TELEPH01"     374   "S_tarson_B"        62       1       143;
      44         1  "Rarrow"       204       156       0        50               "nul"     544   "S_tarson_D"        64       2       152;
      45         0  "Barrow"        11       157       1        51            "Alarm2"     543   "S_tarson_A"        61       1       109;
      46         0  "Barrow"         3       356       0        50               "nul"     344   "S_tarson_C"        63       2       129;
      47         1  "Rarrow"       212       253       1        51              "DING"     447   "S_tarson_B"        62       1       168;
      48         0  "Barrow"         1       544       0        50               "nul"     156   "S_tarson_A"        61       1        82;
      49         0  "Barrow"         2       585       0        50               "nul"     115   "S_tarson_B"        62       1       156;
      50         0  "Barrow"         1       163       0        50               "nul"     537   "S_tarson_A"        61       1       164;
      51         1  "Rarrow"       204       647       0        50               "nul"      53   "S_tarson_D"        64       2        79;
      52         1  "Larrow"       103       179       0        50               "nul"     521   "S_tarson_C"        63       2       126;
      53         0  "Barrow"         4       287       0        50               "nul"     413   "S_tarson_D"        64       2        26;
      54         1  "Rarrow"       204       516       0        50               "nul"     184   "S_tarson_D"        64       2       114;
      55         1  "Larrow"       101       536       0        50               "nul"     164   "S_tarson_A"        61       1        68;
      56         0  "Barrow"         4       541       0        50               "nul"     159   "S_tarson_D"        64       2        57;
      57         1  "Rarrow"       214       269       1        51             "ring7"     431   "S_tarson_D"        64       2       106;
      58         0  "Barrow"         2       302       0        50               "nul"     398   "S_tarson_B"        62       1        13;
      59         1  "Larrow"       103       575       0        50               "nul"     125   "S_tarson_C"        63       2        99;
      60         1  "Larrow"       101       536       0        50               "nul"     164   "S_tarson_A"        61       1        37;
      61         0  "Barrow"         2       459       0        50               "nul"     241   "S_tarson_B"        62       1       107;
      62         0  "Barrow"        24       442       2        52         "sonnette9"     258   "S_tarson_D"        64       2        76;
      63         1  "Larrow"       123       390       2        52          "AlarmMix"     310   "S_tarson_C"        63       2       192;
      64         0  "Barrow"         3       155       0        50               "nul"     545   "S_tarson_C"        63       2        18;
};
